成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-11-02,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,2室1厅,90.26,,77.0,8531.0
2025-10-23,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,2室1厅,75.0,,63.0,8400.0
2025-10-14,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,1室1厅,39.0,,46.0,11795.0
2025-08-24,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,2室1厅,71.95,,80.0,11119.0
2025-08-19,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,2室1厅,73.06,,72.0,9855.0
2025-08-11,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,2室1厅,75.0,,77.0,10334.0
2025-07-05,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,2室2厅,93.62,,80.0,8546.0
2025-06-26,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,,53.77,,52.0,9764.0
2025-06-21,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,2室2厅,73.5,,77.0,10477.0
2025-06-16,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,2室1厅,82.83,,97.0,11711.0
2025-05-30,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,,55.0,,70.0,12728.0
2025-05-28,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,3室1厅,70.15,,79.0,11262.0
2025-05-17,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,3室1厅,110.88,,123.0,11094.0
2025-02-26,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,2室1厅,67.89,,84.0,12373.0
2025-02-19,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,1室1厅,48.15,,65.0,13645.0
2025-01-19,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,2室2厅,85.15,,110.0,12919.0
2025-01-14,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,1室1厅,37.0,,58.0,15676.0
2024-12-30,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,3室1厅,105.69,,108.0,10219.0
2024-12-04,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,2室1厅,54.0,,72.0,13426.0
2024-11-22,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,2室1厅,91.2,,79.0,8663.0
2024-11-22,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,2室1厅,67.64,,81.0,12035.0
2024-08-08,内蒙古,包头,昆都仑区,钢铁大街,青8号街坊,1室1厅,37.22,,53.0,14455.0
2025-11-12,内蒙古,包头,昆都仑区,阿尔丁广场,国贸大厦,1室1厅,48.15,,15.0,3220.0
2025-10-12,内蒙古,包头,昆都仑区,阿尔丁广场,国贸大厦,1室1厅,48.15,,16.0,3469.0
