成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-09-21,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,133.57,,160,12017.0
2025-09-07,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,131.87,,159,12058.0
2025-08-26,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,175.0,,207,11858.0
2025-08-22,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,133.0,,174,13114.0
2025-07-06,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,132.75,,136,10268.0
2025-07-02,内蒙古,呼和浩特,赛罕区,,绿城润园,,174.0,,240,13794.0
2025-06-30,内蒙古,呼和浩特,赛罕区,,绿城润园,3室1厅,147.53,,174,11829.0
2025-06-20,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,175.0,,195,11143.0
2025-06-17,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,131.03,,163,12479.0
2025-05-10,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,127.93,,155,12156.0
2025-05-06,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,133.0,,173,13068.0
2025-05-04,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,142.0,,240,16902.0
2025-04-27,内蒙古,呼和浩特,赛罕区,,绿城润园,4室2厅,212.49,,258,12142.0
2025-03-25,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,131.39,,160,12178.0
2024-11-24,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,174.0,,209,12012.0
2024-09-04,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,170.0,,215,12648.0
2024-06-05,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,111.0,,136,12271.0
2024-05-25,内蒙古,呼和浩特,赛罕区,,绿城润园,4室2厅,214.32,,277,12925.0
2024-04-20,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,133.0,,170,12782.0
2024-04-18,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,118.52,,150,12657.0
2024-03-13,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,131.87,,175,13271.0
2024-02-27,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,133.0,,182,13685.0
2024-01-15,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,174.86,,225,12911.0
2023-11-30,内蒙古,呼和浩特,赛罕区,,绿城润园,4室2厅,214.32,,300,13998.0
2023-07-26,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,142.0,,224,15775.0
2023-07-14,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,173.64,,245,14110.0
2023-06-23,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,132.36,,169,12829.0
2023-06-21,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,133.0,,180,13534.0
2023-05-03,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,133.08,,178,13376.0
2023-04-01,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,173.0,,232,13411.0
2023-01-26,内蒙古,呼和浩特,赛罕区,,绿城润园,3室2厅,147.0,,224,15239.0
2025-10-10,内蒙古,呼和浩特,金川开发区,工业大学,花样年华,2室1厅,78.94,,20,2534.0
2025-10-05,内蒙古,呼和浩特,金川开发区,工业大学,花样年华,2室2厅,86.38,,32,3740.0
2025-09-20,内蒙古,呼和浩特,金川开发区,工业大学,花样年华,2室2厅,90.3,,28,3134.0
2025-09-10,内蒙古,呼和浩特,金川开发区,工业大学,花样年华,2室1厅,80.49,,25,3187.0
2025-09-01,内蒙古,呼和浩特,金川开发区,工业大学,花样年华,2室1厅,80.6,,32,4033.0
2025-06-30,内蒙古,呼和浩特,金川开发区,工业大学,花样年华,4室2厅,129.74,,42,3245.0
2025-06-09,内蒙古,呼和浩特,金川开发区,工业大学,花样年华,2室1厅,89.7,,33,3679.0
2025-03-14,内蒙古,呼和浩特,金川开发区,工业大学,花样年华,2室1厅,92.53,,31,3405.0
2024-11-05,内蒙古,呼和浩特,金川开发区,工业大学,花样年华,2室2厅,89.97,,40,4446.0
2024-09-01,内蒙古,呼和浩特,金川开发区,工业大学,花样年华,2室1厅,86.38,,36,4168.0
2024-08-11,内蒙古,呼和浩特,金川开发区,工业大学,花样年华,3室1厅,113.48,,52,4636.0
2024-07-24,内蒙古,呼和浩特,金川开发区,工业大学,花样年华,2室2厅,86.38,,36,4238.0
2024-05-29,内蒙古,呼和浩特,金川开发区,工业大学,花样年华,2室1厅,90.39,,44,4924.0
2023-12-10,内蒙古,呼和浩特,金川开发区,工业大学,花样年华,2室1厅,90.39,,49,5421.0
2023-06-29,内蒙古,呼和浩特,金川开发区,工业大学,花样年华,2室1厅,80.5,,30,3789.0
2023-04-04,内蒙古,呼和浩特,金川开发区,工业大学,花样年华,2室2厅,86.38,,58,6715.0
2023-02-15,内蒙古,呼和浩特,金川开发区,工业大学,花样年华,2室1厅,90.36,,43,4848.0
2025-10-21,内蒙古,呼和浩特,赛罕区,如意开发区,中南璞樾府,1室1厅,37.0,,21,5838.0
2025-06-30,内蒙古,呼和浩特,赛罕区,如意开发区,中南璞樾府,3室2厅,134.57,,127,9438.0
2025-06-19,内蒙古,呼和浩特,赛罕区,如意开发区,中南璞樾府,1室1厅,37.0,,20,5460.0
2025-05-17,内蒙古,呼和浩特,赛罕区,如意开发区,中南璞樾府,3室2厅,122.17,,118,9700.0
2025-05-10,内蒙古,呼和浩特,赛罕区,如意开发区,中南璞樾府,3室2厅,133.0,,125,9399.0
2025-04-24,内蒙古,呼和浩特,赛罕区,如意开发区,中南璞樾府,3室2厅,132.72,,120,9042.0
2025-04-21,内蒙古,呼和浩特,赛罕区,如意开发区,中南璞樾府,1室1厅,37.0,,20,5406.0
2025-04-19,内蒙古,呼和浩特,赛罕区,如意开发区,中南璞樾府,3室2厅,137.95,,140,10149.0
2025-03-06,内蒙古,呼和浩特,赛罕区,如意开发区,中南璞樾府,3室2厅,134.57,,132,9847.0
2024-12-13,内蒙古,呼和浩特,赛罕区,如意开发区,中南璞樾府,3室2厅,133.5,,130,9789.0
2025-10-26,内蒙古,呼和浩特,赛罕区,中海,中海紫御东郡,3室2厅,115.81,,111,9628.0
2025-10-21,内蒙古,呼和浩特,赛罕区,中海,中海紫御东郡,2室1厅,87.15,,71,8147.0
2025-09-26,内蒙古,呼和浩特,赛罕区,中海,中海紫御东郡,2室1厅,88.52,,69,7886.0
2025-09-20,内蒙古,呼和浩特,赛罕区,中海,中海紫御东郡,4室2厅,141.11,,126,8930.0
2025-09-18,内蒙古,呼和浩特,赛罕区,中海,中海紫御东郡,2室2厅,87.93,,90,10236.0
2025-08-26,内蒙古,呼和浩特,赛罕区,中海,中海紫御东郡,2室1厅,88.52,,71,8021.0
2025-08-24,内蒙古,呼和浩特,赛罕区,中海,中海紫御东郡,2室1厅,87.81,,82,9362.0
2025-08-06,内蒙古,呼和浩特,赛罕区,中海,中海紫御东郡,3室2厅,114.69,,112,9766.0
2025-07-20,内蒙古,呼和浩特,赛罕区,中海,中海紫御东郡,2室2厅,87.43,,71,8121.0
