成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2024-05-12,吉林,吉林省,二道区,亚泰,力旺东玺台,2室2厅,88.9,,111,12498.0
2024-04-07,吉林,吉林省,二道区,亚泰,力旺东玺台,2室2厅,89.67,,90,10138.0
2024-04-03,吉林,吉林省,二道区,亚泰,力旺东玺台,4室2厅,167.0,,203,12156.0
2024-01-23,吉林,吉林省,二道区,亚泰,力旺东玺台,2室2厅,88.51,,90,10237.0
2023-08-13,吉林,吉林省,二道区,亚泰,力旺东玺台,2室1厅,89.23,,102,11521.0
2023-07-23,吉林,吉林省,二道区,亚泰,力旺东玺台,2室1厅,88.1,,103,11749.0
2023-06-26,吉林,吉林省,二道区,亚泰,力旺东玺台,2室2厅,88.77,,88,10004.0
2024-06-16,吉林,吉林省,高新区,八一水库西,绿地城,3室2厅,115.0,,97,8479.0
2024-06-12,吉林,吉林省,高新区,八一水库西,绿地城,3室2厅,131.28,,127,9713.0
2024-05-08,吉林,吉林省,高新区,八一水库西,绿地城,2室2厅,89.0,,66,7484.0
2024-04-14,吉林,吉林省,高新区,八一水库西,绿地城,3室2厅,115.0,,98,8540.0
2024-03-03,吉林,吉林省,高新区,八一水库西,绿地城,3室2厅,108.0,,74,6899.0
2024-02-28,吉林,吉林省,高新区,八一水库西,绿地城,3室2厅,114.2,,102,8985.0
2024-01-20,吉林,吉林省,高新区,八一水库西,绿地城,2室1厅,88.7,,67,7610.0
2023-12-18,吉林,吉林省,高新区,八一水库西,绿地城,2室2厅,88.0,,76,8728.0
2023-11-17,吉林,吉林省,高新区,八一水库西,绿地城,2室2厅,88.57,,71,8107.0
2023-09-28,吉林,吉林省,高新区,八一水库西,绿地城,2室2厅,89.0,,74,8383.0
2023-09-23,吉林,吉林省,高新区,八一水库西,绿地城,2室2厅,88.56,,73,8300.0
2023-08-15,吉林,吉林省,高新区,八一水库西,绿地城,3室2厅,114.36,,109,9576.0
2023-06-11,吉林,吉林省,高新区,八一水库西,绿地城,3室2厅,116.0,,93,8087.0
2023-06-05,吉林,吉林省,高新区,八一水库西,绿地城,2室2厅,88.0,,83,9489.0
2023-06-05,吉林,吉林省,高新区,八一水库西,绿地城,3室2厅,115.61,,102,8867.0
2023-04-22,吉林,吉林省,高新区,八一水库西,绿地城,3室2厅,142.0,,137,9684.0
2023-04-21,吉林,吉林省,高新区,八一水库西,绿地城,2室2厅,90.23,,73,8146.0
2023-03-31,吉林,吉林省,高新区,八一水库西,绿地城,2室2厅,87.33,,71,8188.0
2023-03-11,吉林,吉林省,高新区,八一水库西,绿地城,2室2厅,88.0,,79,9000.0
2023-03-05,吉林,吉林省,高新区,八一水库西,绿地城,2室2厅,89.0,,81,9158.0
2023-03-04,吉林,吉林省,高新区,八一水库西,绿地城,3室1厅,115.0,,101,8853.0
2023-02-25,吉林,吉林省,高新区,八一水库西,绿地城,3室2厅,114.0,,127,11185.0
2023-02-21,吉林,吉林省,高新区,八一水库西,绿地城,3室2厅,115.0,,87,7609.0
2023-08-28,吉林,吉林省,净月区,长影世纪城,华润净月台,3室2厅,138.0,,152,11051.0
2023-07-01,吉林,吉林省,净月区,长影世纪城,华润净月台,5室3厅,412.0,,324,7865.0
2023-03-25,吉林,吉林省,净月区,长影世纪城,华润净月台,3室2厅,138.0,,165,12015.0
2023-04-30,吉林,吉林省,南关区,儿童公园,平治小区,3室2厅,103.0,,81,7865.0
2023-02-26,吉林,吉林省,南关区,儿童公园,平治小区,2室1厅,70.15,,45,6487.0
2024-07-01,吉林,吉林省,汽车产业开发区,国际汽车公园,保利中央公园,4室2厅,134.0,,106,7948.0
2024-06-15,吉林,吉林省,汽车产业开发区,国际汽车公园,保利中央公园,2室2厅,104.57,,73,7029.0
2024-02-04,吉林,吉林省,汽车产业开发区,国际汽车公园,保利中央公园,3室1厅,97.71,,73,7523.0
2023-12-15,吉林,吉林省,汽车产业开发区,国际汽车公园,保利中央公园,3室2厅,97.42,,76,7802.0
2023-12-01,吉林,吉林省,汽车产业开发区,国际汽车公园,保利中央公园,3室1厅,97.42,,74,7668.0
2023-11-05,吉林,吉林省,汽车产业开发区,国际汽车公园,保利中央公园,4室2厅,133.18,,106,7978.0
2023-04-04,吉林,吉林省,汽车产业开发区,国际汽车公园,保利中央公园,4室2厅,133.72,,111,8346.0
2024-06-24,吉林,吉林省,朝阳区,南湖南,南湖新村,4室1厅,106.0,,203,19151.0
2024-06-01,吉林,吉林省,朝阳区,南湖南,南湖新村,3室1厅,69.7,,163,23458.0
2024-05-28,吉林,吉林省,朝阳区,南湖南,南湖新村,2室1厅,56.55,,120,21309.0
2024-04-29,吉林,吉林省,朝阳区,南湖南,南湖新村,1室1厅,45.0,,114,25445.0
2024-04-22,吉林,吉林省,朝阳区,南湖南,南湖新村,2室1厅,47.23,,118,25090.0
2024-04-09,吉林,吉林省,朝阳区,南湖南,南湖新村,2室1厅,50.3,,142,28390.0
2024-03-25,吉林,吉林省,朝阳区,南湖南,南湖新村,2室1厅,61.31,,153,25037.0
2024-03-25,吉林,吉林省,朝阳区,南湖南,南湖新村,1室1厅,36.0,,136,37917.0
2024-03-19,吉林,吉林省,朝阳区,南湖南,南湖新村,2室1厅,54.5,,147,27065.0
2024-03-16,吉林,吉林省,朝阳区,南湖南,南湖新村,2室1厅,42.01,,146,34873.0
2024-03-07,吉林,吉林省,朝阳区,南湖南,南湖新村,1室1厅,36.0,,122,34028.0
2024-03-03,吉林,吉林省,朝阳区,南湖南,南湖新村,,46.21,,139,30189.0
2024-02-25,吉林,吉林省,朝阳区,南湖南,南湖新村,1室1厅,43.0,,135,31582.0
2024-02-22,吉林,吉林省,朝阳区,南湖南,南湖新村,1室1厅,37.33,,128,34423.0
2024-01-29,吉林,吉林省,朝阳区,南湖南,南湖新村,2室1厅,80.0,,130,16350.0
2024-01-14,吉林,吉林省,朝阳区,南湖南,南湖新村,1室1厅,51.0,,116,22844.0
2023-12-20,吉林,吉林省,朝阳区,南湖南,南湖新村,2室1厅,54.48,,143,26340.0
2023-12-10,吉林,吉林省,朝阳区,南湖南,南湖新村,2室1厅,55.5,,156,28199.0
2023-11-19,吉林,吉林省,朝阳区,南湖南,南湖新村,3室1厅,65.0,,155,23924.0
2023-11-18,吉林,吉林省,朝阳区,南湖南,南湖新村,3室1厅,96.71,,180,18634.0
2023-11-18,吉林,吉林省,朝阳区,南湖南,南湖新村,,42.0,,132,31548.0
2023-10-14,吉林,吉林省,朝阳区,南湖南,南湖新村,,29.22,,112,38502.0
2023-09-28,吉林,吉林省,朝阳区,南湖南,南湖新村,1室1厅,33.0,,127,38728.0
2023-09-23,吉林,吉林省,朝阳区,南湖南,南湖新村,2室1厅,90.0,,152,16945.0
2023-09-10,吉林,吉林省,朝阳区,南湖南,南湖新村,2室1厅,62.5,,166,26560.0
2023-09-03,吉林,吉林省,朝阳区,南湖南,南湖新村,2室1厅,65.0,,177,27277.0
2023-08-06,吉林,吉林省,朝阳区,南湖南,南湖新村,2室1厅,67.0,,166,24851.0
2023-07-09,吉林,吉林省,朝阳区,南湖南,南湖新村,2室1厅,79.2,,148,18750.0
