成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-11-15,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,2室2厅,108.28,,53.0,4895.0
2025-11-05,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,2室2厅,92.45,,33.0,3602.0
2025-10-31,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,1室1厅,56.0,,14.0,2554.0
2025-10-30,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,5室2厅,425.71,,351.0,8256.0
2025-09-16,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,1室1厅,53.09,,21.0,3956.0
2025-09-11,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,2室2厅,111.83,,50.0,4516.0
2025-08-31,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,3室1厅,137.0,,65.0,4745.0
2025-08-30,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,3室2厅,141.48,,68.0,4807.0
2025-08-23,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,3室2厅,137.8,,78.0,5661.0
2025-07-18,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,2室1厅,108.0,,40.0,3704.0
2025-06-13,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,2室2厅,96.0,,36.0,3750.0
2025-06-13,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,1室1厅,52.1,,21.0,4162.0
2025-06-04,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,5室4厅,341.45,,300.0,8787.0
2025-06-03,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,2室2厅,110.83,,58.0,5234.0
2025-06-02,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,2室1厅,82.06,,32.0,3900.0
2025-05-31,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,1室1厅,52.1,,20.0,3839.0
2025-05-30,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,2室2厅,110.8,,54.0,4874.0
2025-05-27,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,4室1厅,170.64,,138.0,8088.0
2025-05-20,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,1室1厅,52.1,,22.0,4319.0
2025-05-16,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,3室2厅,132.7,,69.0,5200.0
2025-05-15,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,3室1厅,175.58,,106.0,6038.0
2025-04-28,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,4室2厅,158.25,,86.0,5467.0
2025-04-26,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,4室2厅,158.11,,85.0,5377.0
2025-04-24,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,6室1厅,600.28,,1136.0,18925.0
2025-04-20,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,2室2厅,110.83,,51.0,4656.0
2025-03-26,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,1室1厅,53.0,,20.0,3774.0
2025-03-18,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,4室1厅,192.31,,109.0,5668.0
2025-03-09,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,1室1厅,52.1,,21.0,4185.0
2025-02-13,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,1室1厅,56.19,,17.0,3168.0
2025-02-12,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,1室1厅,52.33,,21.0,4013.0
2025-02-05,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,1室1厅,52.33,,20.0,3822.0
2025-01-24,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,6室3厅,568.14,,970.0,17074.0
2024-12-18,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,3室2厅,159.0,,96.0,6038.0
2024-11-15,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,1室1厅,52.33,,28.0,5485.0
2024-10-03,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,4室1厅,242.87,,142.0,5847.0
2024-08-25,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,4室2厅,158.11,,82.0,5187.0
2024-07-31,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,1室1厅,53.09,,25.0,4709.0
2024-07-04,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,3室2厅,156.0,,121.0,7757.0
2024-05-29,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,4室2厅,246.09,,216.0,8778.0
2024-04-30,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,5室2厅,530.0,,897.0,16925.0
2024-03-18,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,2室1厅,110.8,,62.0,5596.0
2024-02-29,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,4室1厅,243.26,,145.0,5961.0
2023-11-09,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,,53.0,,24.0,4680.0
2023-11-03,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,3室2厅,152.82,,95.0,6217.0
2023-10-25,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,5室1厅,293.0,,300.0,10239.0
2023-09-19,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,2室1厅,110.82,,68.0,6137.0
2023-08-09,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,4室1厅,299.0,,248.0,8322.0
2023-07-25,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,5室2厅,340.0,,280.0,8236.0
2023-05-24,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,1室1厅,52.0,,23.0,4583.0
2023-04-28,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,4室2厅,158.25,,94.0,5978.0
2023-03-12,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,1室1厅,54.1,,26.0,4806.0
2023-03-05,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,,62.9,,33.0,5247.0
2023-02-26,宁夏,银川市,贺兰县,德胜,天鹅湖小镇东区,2室2厅,108.28,,80.0,7389.0
2025-11-25,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,147.59,,8.0,6071.0
2025-11-15,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,148.64,,68.0,4575.0
2025-11-09,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,121.32,,71.0,5853.0
2025-09-05,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,147.5,,97.0,6577.0
2025-08-07,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,125.0,,95.0,7600.0
2025-05-18,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,139.5,,94.0,6739.0
2025-04-11,宁夏,银川市,贺兰县,德胜,君临天下,3室1厅,147.5,,76.0,5153.0
2025-03-05,宁夏,银川市,贺兰县,德胜,君临天下,4室2厅,154.96,,94.0,6099.0
2025-02-21,宁夏,银川市,贺兰县,德胜,君临天下,2室1厅,90.24,,52.0,5852.0
2025-01-13,宁夏,银川市,贺兰县,德胜,君临天下,3室1厅,148.64,,89.0,6042.0
2024-11-17,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,121.35,,82.0,6758.0
2024-11-15,宁夏,银川市,贺兰县,德胜,君临天下,4室2厅,154.96,,92.0,5970.0
2024-11-01,宁夏,银川市,贺兰县,德胜,君临天下,4室2厅,147.37,,90.0,6108.0
2024-10-21,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,121.0,,90.0,7439.0
2024-10-12,宁夏,银川市,贺兰县,德胜,君临天下,3室1厅,126.13,,68.0,5392.0
2024-09-24,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,141.3,,96.0,6795.0
2024-09-15,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,148.0,,98.0,6622.0
2024-08-14,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,125.52,,66.0,5259.0
2024-07-17,宁夏,银川市,贺兰县,德胜,君临天下,2室1厅,90.93,,48.0,5345.0
2024-05-24,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,132.92,,93.0,7020.0
2024-05-22,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,147.62,,101.0,6842.0
2024-04-04,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,128.35,,85.0,6623.0
2024-03-31,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,121.32,,86.0,7089.0
2024-03-28,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,148.12,,97.0,6549.0
2024-03-12,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,147.32,,123.0,8384.0
2024-01-27,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,149.9,,89.0,5998.0
2024-01-01,宁夏,银川市,贺兰县,德胜,君临天下,4室2厅,152.22,,101.0,6636.0
2023-12-22,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,147.14,,106.0,7205.0
2023-08-27,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,124.29,,90.0,7278.0
2023-07-12,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,146.97,,101.0,6873.0
2023-05-17,宁夏,银川市,贺兰县,德胜,君临天下,5室2厅,139.86,,101.0,7222.0
2023-05-12,宁夏,银川市,贺兰县,德胜,君临天下,4室2厅,156.08,,108.0,6952.0
2023-05-08,宁夏,银川市,贺兰县,德胜,君临天下,4室2厅,156.08,,108.0,6952.0
2023-04-29,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,148.01,,104.0,7027.0
2023-04-25,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,121.0,,96.0,8000.0
2023-03-21,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,121.32,,99.0,8161.0
2023-03-13,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,128.0,,104.0,8125.0
2023-03-05,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,121.83,,100.0,8209.0
2023-02-11,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,142.0,,102.0,7226.0
2023-02-06,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,142.56,,102.0,7155.0
2023-02-02,宁夏,银川市,贺兰县,德胜,君临天下,3室2厅,121.64,,90.0,7399.0
2025-11-15,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室1厅,85.0,,25.0,3012.0
2025-10-31,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室2厅,85.0,,20.0,2353.0
2025-10-09,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,3室2厅,95.0,,23.0,2422.0
2025-09-28,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室2厅,84.0,,24.0,2965.0
2025-09-27,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,3室2厅,114.86,,28.0,2482.0
2025-09-23,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室2厅,84.45,,31.0,3742.0
2025-08-28,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室1厅,84.28,,24.0,2955.0
2025-08-12,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,3室2厅,105.0,,21.0,2058.0
2025-08-05,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室2厅,84.0,,9.0,1155.0
2025-08-01,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室2厅,85.0,,24.0,2883.0
2025-07-22,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室2厅,84.28,,19.0,2326.0
2025-07-09,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,3室2厅,115.0,,26.0,2265.0
2025-06-27,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室2厅,84.28,,21.0,2492.0
2025-06-07,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室2厅,83.5,,31.0,3797.0
2025-05-23,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室2厅,85.0,,20.0,2353.0
2025-04-16,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室2厅,84.88,,11.0,1332.0
2025-04-13,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,3室2厅,104.65,,50.0,4778.0
2025-03-02,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室2厅,74.54,,22.0,2952.0
2025-03-02,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室2厅,84.48,,26.0,3102.0
2025-02-27,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,3室2厅,115.0,,36.0,3174.0
2025-02-24,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室2厅,84.5,,28.0,3338.0
2025-02-18,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,3室2厅,95.0,,20.0,2106.0
2025-02-08,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,3室2厅,115.0,,53.0,4609.0
2025-01-15,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室1厅,75.0,,33.0,4507.0
2025-01-08,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室2厅,84.43,,23.0,2753.0
2024-12-27,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室2厅,84.0,,17.0,2024.0
2024-12-16,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,3室1厅,104.65,,41.0,3918.0
2024-12-14,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,3室2厅,95.5,,37.0,3959.0
2024-12-05,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室2厅,84.5,,31.0,3669.0
2024-09-03,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室2厅,85.0,,32.0,3859.0
2024-08-29,宁夏,银川市,贺兰县,贺兰县城,祥和家苑,2室2厅,85.0,,35.0,4212.0
