成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-11-08,宁夏,银川,金凤区,新城,世茂倾城,2室1厅,79.62,,46.0,5778.0
2025-11-07,宁夏,银川,金凤区,新城,世茂倾城,3室1厅,87.19,,62.0,7111.0
2025-10-25,宁夏,银川,金凤区,新城,世茂倾城,3室2厅,102.81,,74.0,7276.0
2025-10-20,宁夏,银川,金凤区,新城,世茂倾城,2室1厅,80.0,,52.0,6563.0
2025-10-04,宁夏,银川,金凤区,新城,世茂倾城,3室2厅,89.89,,61.0,6842.0
2025-09-27,宁夏,银川,金凤区,新城,世茂倾城,3室1厅,87.8,,53.0,6128.0
2025-09-24,宁夏,银川,金凤区,新城,世茂倾城,3室1厅,89.28,,62.0,6945.0
2025-09-20,宁夏,银川,金凤区,新城,世茂倾城,3室2厅,103.18,,75.0,7328.0
2025-09-13,宁夏,银川,金凤区,新城,世茂倾城,2室1厅,80.0,,48.0,6100.0
2025-09-06,宁夏,银川,金凤区,新城,世茂倾城,3室1厅,87.99,,61.0,6990.0
2025-09-04,宁夏,银川,金凤区,新城,世茂倾城,3室2厅,87.54,,66.0,7540.0
2025-09-02,宁夏,银川,金凤区,新城,世茂倾城,2室1厅,75.22,,51.0,6847.0
2025-09-02,宁夏,银川,金凤区,新城,世茂倾城,1室1厅,261.2,,119.0,4576.0
2025-08-31,宁夏,银川,金凤区,新城,世茂倾城,2室1厅,75.22,,43.0,5717.0
2025-08-24,宁夏,银川,金凤区,新城,世茂倾城,3室1厅,89.18,,71.0,8052.0
2025-08-16,宁夏,银川,金凤区,新城,世茂倾城,2室1厅,74.65,,46.0,6243.0
2025-08-07,宁夏,银川,金凤区,新城,世茂倾城,2室1厅,80.0,,65.0,8125.0
2025-08-04,宁夏,银川,金凤区,新城,世茂倾城,3室2厅,87.28,,63.0,7322.0
2025-08-03,宁夏,银川,金凤区,新城,世茂倾城,2室2厅,75.61,,43.0,5793.0
2025-07-28,宁夏,银川,金凤区,新城,世茂倾城,2室1厅,74.65,,48.0,6464.0
2025-07-27,宁夏,银川,金凤区,新城,世茂倾城,3室1厅,95.65,,65.0,6859.0
2025-07-23,宁夏,银川,金凤区,新城,世茂倾城,2室1厅,84.29,,53.0,6288.0
2025-07-17,宁夏,银川,金凤区,新城,世茂倾城,3室1厅,87.9,,61.0,6974.0
2025-07-02,宁夏,银川,金凤区,新城,世茂倾城,2室1厅,74.56,,45.0,6036.0
2025-06-19,宁夏,银川,金凤区,新城,世茂倾城,2室2厅,78.95,,49.0,6270.0
2025-06-14,宁夏,银川,金凤区,新城,世茂倾城,3室2厅,103.67,,76.0,7351.0
2025-06-07,宁夏,银川,金凤区,新城,世茂倾城,3室2厅,91.62,,63.0,6931.0
2025-06-06,宁夏,银川,金凤区,新城,世茂倾城,2室1厅,78.25,,48.0,6211.0
2025-05-10,宁夏,银川,金凤区,新城,世茂倾城,3室1厅,87.28,,63.0,7253.0
2025-05-10,宁夏,银川,金凤区,新城,世茂倾城,3室1厅,109.67,,86.0,7870.0
2025-05-08,宁夏,银川,金凤区,新城,世茂倾城,3室1厅,109.67,,87.0,7943.0
2025-05-06,宁夏,银川,金凤区,新城,世茂倾城,3室2厅,88.82,,66.0,7542.0
2025-04-26,宁夏,银川,金凤区,新城,世茂倾城,2室2厅,78.26,,50.0,6389.0
2025-04-18,宁夏,银川,金凤区,新城,世茂倾城,3室2厅,89.89,,64.0,7120.0
2025-04-06,宁夏,银川,金凤区,新城,世茂倾城,3室1厅,87.54,,65.0,7501.0
2025-04-05,宁夏,银川,金凤区,新城,世茂倾城,2室1厅,74.37,,53.0,7235.0
