成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2024-04-17,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,3室2厅,113.68,,249,21904.0
2024-03-18,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,3室2厅,141.21,,370,26203.0
2024-03-17,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,2室1厅,94.04,,235,24990.0
2024-03-10,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,2室2厅,93.34,,191,20517.0
2024-03-08,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,3室1厅,108.32,,273,25204.0
2024-03-03,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,3室2厅,151.57,,315,20823.0
2024-02-19,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,2室2厅,95.45,,215,22525.0
2024-02-04,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,2室2厅,85.88,,183,21402.0
2023-12-10,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,3室2厅,118.69,,322,27130.0
2023-11-21,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,3室2厅,126.36,,349,27660.0
2023-11-15,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,2室2厅,94.27,,180,19148.0
2023-10-13,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,3室2厅,152.6,,410,26868.0
2023-10-10,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,4室2厅,152.41,,427,28017.0
2023-07-15,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,3室2厅,113.68,,268,23619.0
2023-06-12,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,5室2厅,221.98,,582,26219.0
2023-03-30,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,3室2厅,113.74,,317,27924.0
2023-03-28,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,3室2厅,91.11,,292,32116.0
2023-03-10,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,2室1厅,93.34,,241,25820.0
2023-02-27,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,4室2厅,89.54,,283,31606.0
2023-02-21,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,5室2厅,343.06,,543,15829.0
2023-02-21,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,3室2厅,143.47,,316,22026.0
2023-02-20,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,4室2厅,295.9,,395,13350.0
2023-02-19,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,2室2厅,91.97,,246,26803.0
2023-02-19,安徽,合肥市,包河,姚公庙十五里河,天下锦城温莎城,3室2厅,102.34,,245,23940.0
2024-03-23,安徽,合肥市,包河,包河工业园,九珑湾,2室2厅,85.24,,131,15439.0
2023-07-09,安徽,合肥市,包河,包河工业园,九珑湾,3室2厅,143.77,,303,21111.0
2023-05-27,安徽,合肥市,包河,包河工业园,九珑湾,3室2厅,128.77,,241,18716.0
2023-04-05,安徽,合肥市,包河,包河工业园,九珑湾,3室2厅,126.43,,261,20644.0
2023-02-03,安徽,合肥市,包河,包河工业园,九珑湾,2室2厅,89.95,,203,22569.0
2023-08-06,安徽,合肥市,包河,安徽体育场,贵都花园,4室2厅,160.0,,335,20938.0
2024-05-12,安徽,合肥市,包河,葛大店,淝河安百苑B区,4室2厅,145.07,,168,11581.0
2024-04-24,安徽,合肥市,包河,葛大店,淝河安百苑B区,3室2厅,96.72,,121,12532.0
2024-04-14,安徽,合肥市,包河,葛大店,淝河安百苑B区,2室1厅,78.37,,85,10910.0
2024-04-08,安徽,合肥市,包河,葛大店,淝河安百苑B区,2室1厅,76.02,,84,11155.0
2024-04-05,安徽,合肥市,包河,葛大店,淝河安百苑B区,3室2厅,123.47,,139,11299.0
2024-03-24,安徽,合肥市,包河,葛大店,淝河安百苑B区,2室1厅,76.4,,86,11375.0
