成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-08-10,山东,淄博,高新区,火炬公园,名士豪庭,2室2厅,80.19,,46,5737.0
2025-07-26,山东,淄博,高新区,火炬公园,名士豪庭,2室2厅,78.9,,46,5856.0
2025-07-21,山东,淄博,高新区,火炬公园,名士豪庭,2室2厅,79.78,,41,5202.0
2025-07-12,山东,淄博,高新区,火炬公园,名士豪庭,3室2厅,100.34,,56,5582.0
2025-07-08,山东,淄博,高新区,火炬公园,名士豪庭,3室2厅,110.0,,60,5482.0
2025-05-04,山东,淄博,高新区,火炬公园,名士豪庭,3室2厅,111.0,,72,6541.0
2025-02-10,山东,淄博,高新区,火炬公园,名士豪庭,2室2厅,77.39,,46,5944.0
2024-12-28,山东,淄博,高新区,火炬公园,名士豪庭,2室1厅,77.95,,52,6748.0
2024-12-22,山东,淄博,高新区,火炬公园,名士豪庭,2室2厅,80.19,,52,6547.0
2024-11-24,山东,淄博,高新区,火炬公园,名士豪庭,2室2厅,87.0,,56,6506.0
2024-10-25,山东,淄博,高新区,火炬公园,名士豪庭,3室2厅,112.03,,78,7008.0
2024-10-07,山东,淄博,高新区,火炬公园,名士豪庭,2室2厅,88.0,,54,6205.0
2024-08-30,山东,淄博,高新区,火炬公园,名士豪庭,3室2厅,111.59,,76,6883.0
2024-08-03,山东,淄博,高新区,火炬公园,名士豪庭,2室1厅,79.36,,46,5891.0
2024-07-12,山东,淄博,高新区,火炬公园,名士豪庭,3室2厅,111.0,,76,6847.0
2024-07-06,山东,淄博,高新区,火炬公园,名士豪庭,3室2厅,111.41,,82,7361.0
2024-06-24,山东,淄博,高新区,火炬公园,名士豪庭,3室2厅,111.2,,79,7150.0
2024-06-23,山东,淄博,高新区,火炬公园,名士豪庭,3室2厅,110.37,,78,7068.0
2024-06-02,山东,淄博,高新区,火炬公园,名士豪庭,2室2厅,79.78,,55,6894.0
2024-05-04,山东,淄博,高新区,火炬公园,名士豪庭,2室1厅,87.0,,63,7334.0
2024-05-04,山东,淄博,高新区,火炬公园,名士豪庭,2室2厅,80.19,,53,6647.0
2024-04-26,山东,淄博,高新区,火炬公园,名士豪庭,2室2厅,87.0,,62,7230.0
2024-04-02,山东,淄博,高新区,火炬公园,名士豪庭,2室2厅,80.0,,53,6675.0
2024-03-29,山东,淄博,高新区,火炬公园,名士豪庭,3室2厅,99.3,,70,7100.0
2024-03-27,山东,淄博,高新区,火炬公园,名士豪庭,3室2厅,100.0,,73,7300.0
2024-03-20,山东,淄博,高新区,火炬公园,名士豪庭,3室2厅,111.0,,83,7478.0
2024-02-28,山东,淄博,高新区,火炬公园,名士豪庭,2室2厅,88.0,,60,6819.0
2023-12-10,山东,淄博,高新区,火炬公园,名士豪庭,2室2厅,86.86,,61,7023.0
2023-11-22,山东,淄博,高新区,火炬公园,名士豪庭,3室2厅,111.0,,80,7253.0
2023-10-23,山东,淄博,高新区,火炬公园,名士豪庭,2室1厅,87.6,,62,7078.0
2023-10-13,山东,淄博,高新区,火炬公园,名士豪庭,3室2厅,110.56,,79,7218.0
2023-09-09,山东,淄博,高新区,火炬公园,名士豪庭,3室2厅,111.48,,89,8029.0
2023-08-25,山东,淄博,高新区,火炬公园,名士豪庭,3室2厅,110.59,,88,7974.0
2023-08-05,山东,淄博,高新区,火炬公园,名士豪庭,3室2厅,110.47,,91,8238.0
2023-07-09,山东,淄博,高新区,火炬公园,名士豪庭,2室2厅,86.84,,69,8038.0
2023-04-23,山东,淄博,高新区,火炬公园,名士豪庭,2室2厅,78.0,,66,8462.0
2023-04-01,山东,淄博,高新区,火炬公园,名士豪庭,2室2厅,79.0,,64,8102.0
2023-03-30,山东,淄博,高新区,火炬公园,名士豪庭,2室2厅,79.0,,68,8671.0
2023-03-29,山东,淄博,高新区,火炬公园,名士豪庭,2室2厅,78.1,,59,7619.0
2023-03-09,山东,淄博,高新区,火炬公园,名士豪庭,2室1厅,77.0,,60,7793.0
2023-03-02,山东,淄博,高新区,火炬公园,名士豪庭,3室2厅,99.6,,88,8836.0
2023-01-11,山东,淄博,高新区,火炬公园,名士豪庭,2室2厅,88.0,,76,8637.0
2025-05-08,山东,淄博,张店区,世纪大酒店,科技苑庭兰村,3室2厅,121.97,,81,6641.0
2024-12-08,山东,淄博,张店区,世纪大酒店,科技苑庭兰村,3室2厅,121.97,,77,6314.0
2024-10-07,山东,淄博,张店区,世纪大酒店,科技苑庭兰村,1室1厅,36.0,,27,7528.0
2024-09-19,山东,淄博,张店区,世纪大酒店,科技苑庭兰村,,36.0,,23,6389.0
2024-08-06,山东,淄博,张店区,世纪大酒店,科技苑庭兰村,2室1厅,79.25,,55,6941.0
2024-07-08,山东,淄博,张店区,世纪大酒店,科技苑庭兰村,3室2厅,115.41,,76,6638.0
2024-02-05,山东,淄博,张店区,世纪大酒店,科技苑庭兰村,3室2厅,121.97,,59,4903.0
2024-01-27,山东,淄博,张店区,世纪大酒店,科技苑庭兰村,3室2厅,115.26,,78,6811.0
2023-12-24,山东,淄博,张店区,世纪大酒店,科技苑庭兰村,3室2厅,115.0,,81,7087.0
2023-07-01,山东,淄博,张店区,世纪大酒店,科技苑庭兰村,3室2厅,139.0,,107,7698.0
2023-05-12,山东,淄博,张店区,世纪大酒店,科技苑庭兰村,3室2厅,115.49,,69,6018.0
2023-05-06,山东,淄博,张店区,世纪大酒店,科技苑庭兰村,2室2厅,79.25,,52,6562.0
2023-02-05,山东,淄博,张店区,世纪大酒店,科技苑庭兰村,3室2厅,144.5,,105,7267.0
2025-07-20,山东,淄博,张店区,凯瑞园,凯瑞溪园,3室2厅,158.04,,109,6897.0
2025-04-25,山东,淄博,张店区,凯瑞园,凯瑞溪园,3室2厅,159.82,,150,9386.0
2025-04-23,山东,淄博,张店区,凯瑞园,凯瑞溪园,4室2厅,184.57,,127,6881.0
2024-11-03,山东,淄博,张店区,凯瑞园,凯瑞溪园,3室2厅,135.96,,116,8554.0
2024-09-07,山东,淄博,张店区,凯瑞园,凯瑞溪园,3室2厅,123.97,,86,7002.0
2023-03-07,山东,淄博,张店区,凯瑞园,凯瑞溪园,3室2厅,135.0,,139,10341.0
2025-09-24,山东,淄博,淄川区,淄川,欧景华城,3室2厅,117.21,,52,4454.0
2025-06-25,山东,淄博,淄川区,淄川,欧景华城,3室2厅,119.02,,30,2521.0
2025-01-06,山东,淄博,淄川区,淄川,欧景华城,2室2厅,86.99,,20,2300.0
2024-11-01,山东,淄博,淄川区,淄川,欧景华城,3室2厅,98.0,,27,2756.0
2024-10-07,山东,淄博,淄川区,淄川,欧景华城,2室2厅,88.0,,30,3410.0
2024-07-19,山东,淄博,淄川区,淄川,欧景华城,2室1厅,76.74,,18,2346.0
2024-06-15,山东,淄博,淄川区,淄川,欧景华城,2室1厅,80.33,,28,3548.0
2024-04-20,山东,淄博,淄川区,淄川,欧景华城,2室2厅,87.0,,32,3679.0
2024-03-30,山东,淄博,淄川区,淄川,欧景华城,2室2厅,87.22,,22,2523.0
2024-01-10,山东,淄博,淄川区,淄川,欧景华城,4室2厅,151.41,,35,2312.0
2023-11-13,山东,淄博,淄川区,淄川,欧景华城,2室1厅,88.0,,25,2898.0
2023-11-06,山东,淄博,淄川区,淄川,欧景华城,2室2厅,88.17,,27,3131.0
2023-10-05,山东,淄博,淄川区,淄川,欧景华城,2室2厅,71.33,,23,3239.0
2023-09-10,山东,淄博,淄川区,淄川,欧景华城,2室2厅,74.06,,23,3106.0
2023-08-12,山东,淄博,淄川区,淄川,欧景华城,2室1厅,72.0,,19,2723.0
2025-07-18,山东,淄博,张店区,莲池小学,御景大厦,2室2厅,69.0,,28,4058.0
2025-03-28,山东,淄博,张店区,莲池小学,御景大厦,1室1厅,68.9,,28,4064.0
2024-10-07,山东,淄博,张店区,莲池小学,御景大厦,1室1厅,68.9,,31,4500.0
2023-10-19,山东,淄博,张店区,莲池小学,御景大厦,1室1厅,68.0,,34,5059.0
2023-08-06,山东,淄博,张店区,莲池小学,御景大厦,1室1厅,69.0,,42,6087.0
2023-08-06,山东,淄博,张店区,莲池小学,御景大厦,1室1厅,69.0,,40,5798.0
