成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-11-15,山西,太原市,尖草坪区,迎新街,保利滨河上院,3室2厅,122.5,,64.0,5225.0
2025-11-14,山西,太原市,尖草坪区,迎新街,保利滨河上院,3室2厅,123.0,,68.0,5570.0
2025-11-08,山西,太原市,尖草坪区,迎新街,保利滨河上院,3室2厅,123.26,,66.0,5355.0
2025-11-03,山西,太原市,尖草坪区,迎新街,保利滨河上院,3室2厅,122.4,,66.0,5434.0
2025-11-03,山西,太原市,尖草坪区,迎新街,保利滨河上院,3室2厅,110.84,,57.0,5188.0
2025-10-31,山西,太原市,尖草坪区,迎新街,保利滨河上院,3室2厅,110.56,,55.0,4975.0
2025-10-10,山西,太原市,尖草坪区,迎新街,保利滨河上院,3室2厅,122.4,,69.0,5679.0
2025-09-22,山西,太原市,尖草坪区,迎新街,保利滨河上院,3室2厅,110.56,,55.0,5048.0
2025-09-16,山西,太原市,尖草坪区,迎新街,保利滨河上院,3室2厅,123.0,,73.0,6000.0
2025-09-15,山西,太原市,尖草坪区,迎新街,保利滨河上院,3室2厅,110.0,,52.0,4728.0
2025-08-29,山西,太原市,尖草坪区,迎新街,保利滨河上院,3室2厅,122.4,,71.0,5801.0
2025-08-27,山西,太原市,尖草坪区,迎新街,保利滨河上院,3室2厅,110.0,,56.0,5164.0
2025-07-24,山西,太原市,尖草坪区,迎新街,保利滨河上院,3室2厅,123.0,,66.0,5366.0
2025-11-24,山西,太原市,尖草坪区,三给,优山美郡C区,2室2厅,97.63,,6.0,6545.0
2025-11-20,山西,太原市,尖草坪区,三给,优山美郡C区,3室1厅,149.59,,1.0,6685.0
2025-11-15,山西,太原市,尖草坪区,三给,优山美郡C区,2室1厅,98.0,,73.0,7449.0
2025-11-13,山西,太原市,尖草坪区,三给,优山美郡C区,2室1厅,92.12,,60.0,6557.0
2025-11-13,山西,太原市,尖草坪区,三给,优山美郡C区,4室2厅,204.0,,172.0,8475.0
2025-11-10,山西,太原市,尖草坪区,三给,优山美郡C区,2室2厅,92.12,,65.0,7111.0
2025-11-01,山西,太原市,尖草坪区,三给,优山美郡C区,3室2厅,157.35,,103.0,6603.0
2025-10-28,山西,太原市,尖草坪区,三给,优山美郡C区,3室2厅,154.09,,117.0,7593.0
2025-10-26,山西,太原市,尖草坪区,三给,优山美郡C区,2室2厅,95.59,,72.0,7533.0
2025-10-25,山西,太原市,尖草坪区,三给,优山美郡C区,2室2厅,95.25,,63.0,6615.0
2025-10-23,山西,太原市,尖草坪区,三给,优山美郡C区,2室2厅,95.4,,71.0,7495.0
2025-10-22,山西,太原市,尖草坪区,三给,优山美郡C区,2室1厅,91.95,,73.0,7994.0
2025-10-13,山西,太原市,尖草坪区,三给,优山美郡C区,3室1厅,94.58,,74.0,7825.0
2025-10-12,山西,太原市,尖草坪区,三给,优山美郡C区,2室1厅,94.25,,74.0,7916.0
2025-10-11,山西,太原市,尖草坪区,三给,优山美郡C区,2室2厅,98.13,,71.0,7236.0
2025-10-05,山西,太原市,尖草坪区,三给,优山美郡C区,2室1厅,89.49,,61.0,6850.0
2025-10-03,山西,太原市,尖草坪区,三给,优山美郡C区,2室2厅,92.12,,66.0,7187.0
2025-10-03,山西,太原市,尖草坪区,三给,优山美郡C区,3室2厅,124.3,,113.0,9132.0
2025-09-21,山西,太原市,尖草坪区,三给,优山美郡C区,3室2厅,124.47,,92.0,7392.0
2025-09-14,山西,太原市,尖草坪区,三给,优山美郡C区,3室2厅,126.55,,76.0,6046.0
2025-09-14,山西,太原市,尖草坪区,三给,优山美郡C区,3室2厅,152.92,,132.0,8632.0
2025-09-13,山西,太原市,尖草坪区,三给,优山美郡C区,3室1厅,125.84,,111.0,8861.0
2025-09-08,山西,太原市,尖草坪区,三给,优山美郡C区,3室1厅,118.49,,96.0,8102.0
2025-09-03,山西,太原市,尖草坪区,三给,优山美郡C区,3室1厅,125.84,,110.0,8758.0
2025-08-28,山西,太原市,尖草坪区,三给,优山美郡C区,2室2厅,89.49,,69.0,7740.0
2025-08-24,山西,太原市,尖草坪区,三给,优山美郡C区,5室2厅,204.21,,163.0,7982.0
2025-08-23,山西,太原市,尖草坪区,三给,优山美郡C区,2室1厅,95.08,,63.0,6626.0
2025-08-21,山西,太原市,尖草坪区,三给,优山美郡C区,2室1厅,102.66,,74.0,7257.0
2025-08-20,山西,太原市,尖草坪区,三给,优山美郡C区,2室2厅,105.49,,75.0,7110.0
2025-08-19,山西,太原市,尖草坪区,三给,优山美郡C区,2室1厅,104.01,,84.0,8096.0
2025-08-16,山西,太原市,尖草坪区,三给,优山美郡C区,3室2厅,124.44,,87.0,6992.0
2025-08-15,山西,太原市,尖草坪区,三给,优山美郡C区,2室1厅,91.65,,74.0,8102.0
2025-08-12,山西,太原市,尖草坪区,三给,优山美郡C区,2室2厅,103.27,,68.0,6585.0
2025-08-08,山西,太原市,尖草坪区,三给,优山美郡C区,2室2厅,95.4,,75.0,7862.0
2025-08-05,山西,太原市,尖草坪区,三给,优山美郡C区,4室2厅,211.45,,125.0,5912.0
2025-08-01,山西,太原市,尖草坪区,三给,优山美郡C区,2室1厅,97.42,,59.0,6057.0
2025-07-31,山西,太原市,尖草坪区,三给,优山美郡C区,2室1厅,106.45,,69.0,6529.0
2025-07-30,山西,太原市,尖草坪区,三给,优山美郡C区,2室2厅,93.26,,70.0,7549.0
2025-07-30,山西,太原市,尖草坪区,三给,优山美郡C区,2室1厅,103.01,,70.0,6844.0
2025-07-29,山西,太原市,尖草坪区,三给,优山美郡C区,3室2厅,156.7,,90.0,5744.0
2025-07-27,山西,太原市,尖草坪区,三给,优山美郡C区,2室2厅,95.08,,63.0,6711.0
2025-07-26,山西,太原市,尖草坪区,三给,优山美郡C区,3室2厅,124.3,,105.0,8480.0
2024-05-01,山西,太原市,尖草坪区,三给,优山美郡C区,2室1厅,102.25,,73.0,7189.0
2024-04-23,山西,太原市,尖草坪区,三给,优山美郡C区,2室2厅,102.37,,79.0,7786.0
2024-04-17,山西,太原市,尖草坪区,三给,优山美郡C区,2室2厅,104.01,,76.0,7384.0
2023-06-04,山西,太原市,尖草坪区,三给,优山美郡C区,2室1厅,92.34,,76.0,8272.0
2023-06-04,山西,太原市,尖草坪区,三给,优山美郡C区,2室2厅,97.79,,78.0,8048.0
2023-06-03,山西,太原市,尖草坪区,三给,优山美郡C区,2室1厅,105.49,,77.0,7337.0
2023-05-23,山西,太原市,尖草坪区,三给,优山美郡C区,3室2厅,95.0,,88.0,9316.0
