成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-09-20,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,2室1厅,83.54,,48.0,5842.0
2025-09-19,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,133.42,,80.0,5997.0
2025-09-14,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,133.42,,75.0,5622.0
2025-07-29,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,133.0,,73.0,5489.0
2025-07-11,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,105.75,,68.0,6478.0
2025-06-12,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,114.87,,60.0,5224.0
2025-06-05,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室1厅,133.0,,65.0,4888.0
2025-03-22,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,2室2厅,74.0,,45.0,6082.0
2025-02-17,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,2室2厅,82.4,,51.0,6190.0
2025-02-07,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,90.4,,65.0,7191.0
2024-12-03,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,2室2厅,83.63,,59.0,7055.0
2024-11-18,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室1厅,120.0,,77.0,6459.0
2024-11-16,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,109.0,,67.0,6147.0
2024-11-05,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,112.0,,78.0,7018.0
2024-10-29,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,127.83,,85.0,6650.0
2024-09-22,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,4室1厅,151.29,,89.0,5924.0
2024-09-18,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,,29.54,,3.0,1246.0
2024-08-13,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,120.0,,76.0,6334.0
2024-07-23,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,2室2厅,80.23,,53.0,6607.0
2024-07-17,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,110.0,,70.0,6364.0
2024-07-08,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,4室2厅,142.0,,118.0,8310.0
2024-06-16,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,2室2厅,84.0,,57.0,6786.0
2024-05-12,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,120.81,,83.0,6912.0
2024-03-28,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,2室2厅,82.29,,50.0,6077.0
2024-03-25,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,122.0,,85.0,6968.0
2024-02-22,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,122.0,,87.0,7173.0
2023-12-06,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,133.0,,94.0,7068.0
2023-11-22,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,2室2厅,88.36,,63.0,7187.0
2023-09-25,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,109.43,,76.0,6946.0
2023-08-23,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,134.0,,103.0,7687.0
2023-08-21,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室1厅,133.41,,120.0,8995.0
2023-08-12,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室1厅,106.0,,81.0,7642.0
2023-07-23,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,2室2厅,84.72,,63.0,7496.0
2023-07-06,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,103.0,,86.0,8350.0
2023-05-28,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,2室1厅,83.0,,67.0,8073.0
2023-05-23,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,2室1厅,81.35,,66.0,8114.0
2023-05-04,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,114.37,,94.0,8219.0
2023-05-03,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,2室2厅,81.32,,72.0,8916.0
2023-04-14,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,117.37,,92.0,7852.0
2023-03-18,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,4室2厅,142.0,,112.0,7950.0
2023-03-11,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,2室1厅,82.9,,62.0,7540.0
2023-03-09,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,120.67,,100.0,8288.0
2023-03-06,广西,南宁市,良庆区,大沙田片区,恒大绿洲3期,3室2厅,90.96,,81.0,8960.0
