成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-11-03,广西,柳州,鱼峰区,柳东,mi,2室1厅,59.19,,19,3211.0
2025-10-27,广西,柳州,鱼峰区,柳东,蟠龙苑小区,3室2厅,104.0,,28,2693.0
2025-10-22,广西,柳州,鱼峰区,柳东,蟠龙苑小区,3室1厅,60.25,,21,3536.0
2025-10-14,广西,柳州,鱼峰区,柳东,蟠龙苑小区,3室2厅,82.0,,27,3293.0
2025-06-19,广西,柳州,鱼峰区,柳东,蟠龙苑小区,1室1厅,47.0,,11,2383.0
2025-04-15,广西,柳州,鱼峰区,柳东,蟠龙苑小区,2室1厅,60.25,,22,3785.0
2025-02-24,广西,柳州,鱼峰区,柳东,蟠龙苑小区,3室2厅,98.23,,28,2932.0
2025-01-13,广西,柳州,鱼峰区,柳东,蟠龙苑小区,2室1厅,60.25,,18,2988.0
2024-11-08,广西,柳州,鱼峰区,柳东,蟠龙苑小区,2室1厅,59.17,,22,3719.0
2024-10-02,广西,柳州,鱼峰区,柳东,蟠龙苑小区,2室1厅,60.25,,17,2905.0
2024-06-19,广西,柳州,鱼峰区,柳东,蟠龙苑小区,2室1厅,70.0,,28,4072.0
2024-05-31,广西,柳州,鱼峰区,柳东,蟠龙苑小区,3室2厅,82.0,,33,4025.0
2024-05-17,广西,柳州,鱼峰区,柳东,蟠龙苑小区,3室1厅,82.0,,28,3415.0
2023-12-05,广西,柳州,鱼峰区,柳东,蟠龙苑小区,3室2厅,82.0,,30,3769.0
2023-10-26,广西,柳州,鱼峰区,柳东,蟠龙苑小区,2室1厅,60.25,,24,4083.0
2023-07-12,广西,柳州,鱼峰区,柳东,蟠龙苑小区,2室1厅,60.0,,23,3917.0
2023-06-28,广西,柳州,鱼峰区,柳东,蟠龙苑小区,3室1厅,82.0,,42,5122.0
2023-04-11,广西,柳州,鱼峰区,柳东,蟠龙苑小区,2室1厅,57.87,,25,4459.0
2023-03-11,广西,柳州,鱼峰区,柳东,蟠龙苑小区,3室2厅,80.32,,32,4059.0
2025-11-10,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,86.86,,44,5066.0
2025-09-21,广西,柳州,柳江区,拉堡镇,华韵上城,1室1厅,55.6,,25,4533.0
2025-09-20,广西,柳州,柳江区,拉堡镇,华韵上城,2室2厅,80.84,,33,4194.0
2025-09-20,广西,柳州,柳江区,拉堡镇,华韵上城,3室1厅,113.0,,51,4558.0
2025-09-18,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,98.62,,36,3651.0
2025-08-31,广西,柳州,柳江区,拉堡镇,华韵上城,2室2厅,84.48,,38,4558.0
2025-07-30,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,149.19,,52,3486.0
2025-07-29,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,122.0,,54,4427.0
2025-07-12,广西,柳州,柳江区,拉堡镇,华韵上城,2室2厅,81.88,,36,4397.0
2025-06-21,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,115.05,,48,4173.0
2025-06-15,广西,柳州,柳江区,拉堡镇,华韵上城,2室2厅,82.71,,33,3990.0
2025-06-11,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,107.84,,49,4544.0
2025-05-20,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,110.0,,60,5455.0
2025-05-19,广西,柳州,柳江区,拉堡镇,华韵上城,3室1厅,89.41,,48,5369.0
2025-05-18,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,104.68,,47,4490.0
2025-05-05,广西,柳州,柳江区,拉堡镇,华韵上城,4室2厅,136.49,,48,3554.0
2025-04-20,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,111.38,,52,4669.0
2025-04-17,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,107.84,,47,4359.0
2025-04-15,广西,柳州,柳江区,拉堡镇,华韵上城,1室1厅,53.07,,28,5371.0
2025-04-14,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,119.39,,49,4147.0
2025-03-21,广西,柳州,柳江区,拉堡镇,华韵上城,3室1厅,117.6,,50,4278.0
2025-03-16,广西,柳州,柳江区,拉堡镇,华韵上城,2室2厅,87.28,,43,4984.0
2025-03-09,广西,柳州,柳江区,拉堡镇,华韵上城,2室2厅,84.76,,43,5074.0
2025-02-17,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,113.18,,53,4754.0
2025-01-16,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,113.99,,45,3992.0
2024-12-14,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,109.17,,45,4123.0
2024-12-03,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,110.3,,62,5622.0
2024-11-25,广西,柳州,柳江区,拉堡镇,华韵上城,1室1厅,54.13,,26,4896.0
2024-11-25,广西,柳州,柳江区,拉堡镇,华韵上城,2室2厅,79.48,,39,4970.0
2024-10-26,广西,柳州,柳江区,拉堡镇,华韵上城,2室2厅,74.92,,34,4565.0
2024-10-05,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,116.45,,53,4578.0
2024-10-05,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,116.32,,52,4547.0
2024-09-29,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,100.45,,55,5526.0
2024-09-15,广西,柳州,柳江区,拉堡镇,华韵上城,3室1厅,119.94,,52,4336.0
2024-08-10,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,89.89,,51,5674.0
2024-08-01,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,104.68,,56,5427.0
2024-07-26,广西,柳州,柳江区,拉堡镇,华韵上城,2室2厅,84.76,,41,4897.0
2024-06-15,广西,柳州,柳江区,拉堡镇,华韵上城,2室2厅,79.38,,38,4788.0
2024-06-06,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,88.57,,50,5646.0
2024-06-06,广西,柳州,柳江区,拉堡镇,华韵上城,3室2厅,97.73,,54,5577.0
