成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2024-08-20,广西,桂林,象山区,联达,桂林橡胶机械厂宿舍,3室1厅,58.98,,17,2883.0
2024-05-10,广西,桂林,象山区,联达,桂林橡胶机械厂宿舍,3室2厅,95.64,,37,3932.0
2024-03-11,广西,桂林,象山区,联达,桂林橡胶机械厂宿舍,3室1厅,71.25,,30,4211.0
2023-11-17,广西,桂林,象山区,联达,桂林橡胶机械厂宿舍,3室1厅,76.0,,30,3948.0
2023-08-20,广西,桂林,象山区,联达,桂林橡胶机械厂宿舍,3室2厅,95.05,,35,3735.0
2023-06-23,广西,桂林,象山区,联达,桂林橡胶机械厂宿舍,2室1厅,48.38,,12,2626.0
2023-06-21,广西,桂林,象山区,联达,桂林橡胶机械厂宿舍,2室1厅,52.0,,14,2866.0
2025-10-10,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,96.96,,37,3905.0
2025-10-09,广西,桂林,临桂区,花生唐,彰泰欢乐颂,5室2厅,128.0,,64,5040.0
2025-10-09,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室2厅,115.48,,41,3568.0
2025-09-15,广西,桂林,临桂区,花生唐,彰泰欢乐颂,5室2厅,129.57,,50,3906.0
2025-09-04,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室2厅,114.0,,46,4053.0
2025-08-30,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室2厅,125.0,,56,4504.0
2025-08-17,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,88.33,,28,3227.0
2025-08-11,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,97.0,,41,4279.0
2025-07-30,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,94.49,,34,3652.0
2025-07-28,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,95.6,,47,4969.0
2025-07-26,广西,桂林,临桂区,花生唐,彰泰欢乐颂,5室2厅,130.0,,56,4308.0
2025-07-26,广西,桂林,临桂区,花生唐,彰泰欢乐颂,6室2厅,139.76,,78,5624.0
2025-07-20,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室2厅,114.41,,60,5245.0
2025-07-15,广西,桂林,临桂区,花生唐,彰泰欢乐颂,5室2厅,139.04,,58,4215.0
2025-07-11,广西,桂林,临桂区,花生唐,彰泰欢乐颂,5室2厅,139.0,,52,3742.0
2025-06-30,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,94.49,,36,3810.0
2025-06-28,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室2厅,114.0,,50,4386.0
2025-06-11,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室1厅,114.77,,45,3921.0
2025-06-09,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,96.4,,43,4461.0
2025-06-03,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,98.91,,38,3842.0
2025-05-28,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,96.0,,52,5417.0
2025-05-27,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室1厅,87.91,,37,4209.0
2025-05-26,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,88.0,,31,3580.0
2025-05-23,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室2厅,116.0,,51,4397.0
2025-05-22,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室2厅,116.0,,50,4380.0
2025-05-19,广西,桂林,临桂区,花生唐,彰泰欢乐颂,6室2厅,137.0,,79,5782.0
2025-05-14,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室2厅,114.0,,48,4255.0
2025-05-14,广西,桂林,临桂区,花生唐,彰泰欢乐颂,2室1厅,72.52,,27,3762.0
2025-05-12,广西,桂林,临桂区,花生唐,彰泰欢乐颂,5室2厅,129.0,,76,5892.0
2025-05-11,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,96.0,,38,4011.0
2025-05-08,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室2厅,114.0,,47,4123.0
2025-05-04,广西,桂林,临桂区,花生唐,彰泰欢乐颂,2室2厅,72.61,,27,3829.0
2025-05-04,广西,桂林,临桂区,花生唐,彰泰欢乐颂,5室1厅,128.0,,74,5844.0
2025-04-28,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室1厅,115.07,,43,3789.0
2025-04-28,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室2厅,115.0,,59,5131.0
2025-04-27,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室2厅,125.0,,72,5800.0
2025-04-23,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,96.0,,40,4167.0
2025-04-19,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室2厅,115.48,,49,4304.0
2025-04-14,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室2厅,114.25,,48,4202.0
2025-04-14,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,94.98,,42,4507.0
2025-04-13,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室1厅,88.0,,37,4262.0
2025-04-11,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,98.91,,41,4146.0
2025-04-08,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,96.4,,43,4471.0
2025-04-07,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,99.59,,37,3776.0
2025-04-07,广西,桂林,临桂区,花生唐,彰泰欢乐颂,5室2厅,131.0,,60,4581.0
2025-04-03,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,88.33,,46,5208.0
2025-03-21,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,88.15,,31,3574.0
2025-03-09,广西,桂林,临桂区,花生唐,彰泰欢乐颂,5室1厅,129.0,,50,3876.0
2025-03-08,广西,桂林,临桂区,花生唐,彰泰欢乐颂,5室2厅,131.51,,55,4183.0
2025-03-06,广西,桂林,临桂区,花生唐,彰泰欢乐颂,5室2厅,129.8,,56,4353.0
2025-03-04,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室2厅,115.0,,50,4400.0
2025-03-01,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,96.0,,39,4063.0
2025-02-24,广西,桂林,临桂区,花生唐,彰泰欢乐颂,5室2厅,128.93,,57,4422.0
2025-02-12,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,88.0,,45,5171.0
2025-01-01,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室1厅,88.5,,31,3503.0
2024-12-26,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,88.0,,30,3410.0
2024-12-24,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,87.0,,33,3851.0
2024-12-23,广西,桂林,临桂区,花生唐,彰泰欢乐颂,5室2厅,138.8,,63,4539.0
2024-12-23,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,96.0,,40,4167.0
2024-12-22,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,89.0,,31,3540.0
2024-12-20,广西,桂林,临桂区,花生唐,彰泰欢乐颂,2室1厅,72.48,,25,3450.0
2024-12-02,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,87.54,,33,3827.0
2024-11-30,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室2厅,114.0,,60,5264.0
2024-11-24,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室1厅,113.17,,49,4374.0
2024-11-22,广西,桂林,临桂区,花生唐,彰泰欢乐颂,5室1厅,139.0,,56,4029.0
2024-11-11,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室1厅,116.98,,51,4403.0
2024-11-05,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室1厅,114.0,,62,5439.0
2024-10-27,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室2厅,115.28,,61,5292.0
2024-10-27,广西,桂林,临桂区,花生唐,彰泰欢乐颂,5室2厅,131.12,,56,4310.0
2024-10-24,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室2厅,115.0,,50,4348.0
2024-10-23,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,95.0,,43,4590.0
2024-10-20,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室2厅,125.24,,55,4432.0
2024-10-15,广西,桂林,临桂区,花生唐,彰泰欢乐颂,4室1厅,116.18,,50,4373.0
2024-10-13,广西,桂林,临桂区,花生唐,彰泰欢乐颂,2室2厅,72.44,,46,6351.0
2024-10-12,广西,桂林,临桂区,花生唐,彰泰欢乐颂,3室2厅,97.0,,37,3846.0
