成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-08-01,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,113.66,,55.0,4892.0
2025-07-26,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,157.0,,110.0,7007.0
2025-07-18,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,2室2厅,90.59,,52.0,5807.0
2025-06-09,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,115.84,,60.0,5249.0
2025-06-06,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,117.25,,67.0,5766.0
2025-06-04,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,101.87,,65.0,6430.0
2025-05-16,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,124.0,,93.0,7500.0
2024-09-05,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,105.0,,63.0,6058.0
2024-08-26,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,2室2厅,90.0,,50.0,5556.0
2024-07-15,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,113.55,,58.0,5108.0
2024-06-18,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,117.0,,69.0,5898.0
2024-06-02,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,2室2厅,113.39,,72.0,6394.0
2024-04-29,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,95.58,,48.0,5075.0
2024-03-24,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室1厅,102.29,,59.0,5817.0
2024-03-08,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,125.49,,85.0,6774.0
2024-03-06,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,102.0,,63.0,6226.0
2024-02-28,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,96.47,,48.0,4997.0
2024-02-25,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,2室2厅,90.59,,56.0,6271.0
2024-01-01,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室1厅,113.0,,74.0,6549.0
2023-12-19,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,123.0,,83.0,6814.0
2023-12-15,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,99.02,,57.0,5757.0
2023-12-11,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,134.58,,101.0,7542.0
2023-12-08,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,2室2厅,78.56,,43.0,5474.0
2023-12-03,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,102.35,,66.0,6498.0
2023-11-28,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,2室2厅,94.0,,47.0,5086.0
2023-11-18,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,4室2厅,159.09,,110.0,6915.0
2023-11-08,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,2室2厅,93.81,,59.0,6343.0
2023-10-27,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,4室2厅,166.39,,113.0,6792.0
2023-10-14,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,2室2厅,91.0,,65.0,7198.0
2023-10-11,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,127.92,,78.0,6161.0
2023-10-04,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,125.49,,74.0,5897.0
2023-10-04,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,2室2厅,78.56,,45.0,5767.0
2023-09-28,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,134.58,,82.0,6094.0
2023-09-22,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,2室2厅,102.16,,60.0,5874.0
2023-09-20,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,2室2厅,78.56,,39.0,5029.0
2023-09-12,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,2室2厅,88.99,,43.0,4855.0
2023-09-12,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,133.19,,83.0,6277.0
2023-08-21,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,167.98,,110.0,6549.0
2023-08-14,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,123.36,,88.0,7134.0
2023-08-13,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,102.6,,61.0,5946.0
2023-07-22,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,102.35,,64.0,6302.0
2023-07-16,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,130.57,,84.0,6434.0
2023-07-10,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,2室2厅,90.84,,57.0,6330.0
2023-07-08,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,134.58,,77.0,5759.0
2023-06-28,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,113.0,,71.0,6362.0
2023-06-19,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,120.88,,82.0,6784.0
2023-06-14,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,4室1厅,272.83,,175.0,6415.0
2023-06-09,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,120.88,,83.0,6908.0
2023-06-02,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,2室2厅,94.1,,55.0,5920.0
2023-05-28,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,130.0,,86.0,6616.0
2023-05-28,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,2室2厅,98.78,,61.0,6226.0
2023-05-16,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,2室2厅,105.0,,63.0,6077.0
2023-05-06,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,118.2,,72.0,6143.0
2023-05-06,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,113.57,,61.0,5416.0
2023-05-02,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,2室2厅,78.56,,47.0,5983.0
2023-04-28,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,121.27,,68.0,5608.0
2023-04-13,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,2室2厅,92.6,,54.0,5832.0
2023-04-11,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,115.0,,83.0,7218.0
2023-04-03,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,117.25,,75.0,6397.0
2023-03-25,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,121.24,,67.0,5568.0
2023-03-22,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室1厅,121.86,,75.0,6155.0
2023-03-07,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,118.0,,75.0,6356.0
2023-02-26,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,125.0,,85.0,6856.0
2023-02-13,新疆,乌鲁木齐市,米东区,米东区周边,特变水木尚城,3室2厅,134.69,,87.0,6519.0
2025-08-01,新疆,乌鲁木齐市,天山区,幸福路,体育馆路体委家属院,3室1厅,90.75,,142.0,15648.0
2025-07-19,新疆,乌鲁木齐市,天山区,幸福路,体育馆路体委家属院,3室2厅,90.75,,140.0,15427.0
2024-01-28,新疆,乌鲁木齐市,天山区,幸福路,体育馆路体委家属院,2室1厅,56.87,,102.0,17936.0
2023-04-18,新疆,乌鲁木齐市,天山区,幸福路,体育馆路体委家属院,2室1厅,72.3,,135.0,18673.0
2025-08-01,新疆,乌鲁木齐市,新市区,北京北路,鸿祥雅轩,1室1厅,61.05,,39.0,6389.0
2025-04-19,新疆,乌鲁木齐市,新市区,北京北路,鸿祥雅轩,2室1厅,86.66,,65.0,7501.0
2025-01-26,新疆,乌鲁木齐市,新市区,北京北路,鸿祥雅轩,2室1厅,80.5,,15.0,1864.0
2024-11-27,新疆,乌鲁木齐市,新市区,北京北路,鸿祥雅轩,3室2厅,129.76,,106.0,8208.0
2025-11-25,新疆,乌鲁木齐市,新市区,美居,蓝调晶典,2室2厅,46.56,,3.0,6873.0
2025-11-09,新疆,乌鲁木齐市,新市区,美居,蓝调晶典,3室2厅,79.61,,68.0,8643.0
2025-10-27,新疆,乌鲁木齐市,新市区,美居,蓝调晶典,2室1厅,46.97,,39.0,8431.0
2025-10-19,新疆,乌鲁木齐市,新市区,美居,蓝调晶典,2室1厅,68.8,,55.0,7995.0
2025-09-29,新疆,乌鲁木齐市,新市区,美居,蓝调晶典,3室1厅,60.0,,57.0,9622.0
2025-09-21,新疆,乌鲁木齐市,新市区,美居,蓝调晶典,2室2厅,68.0,,32.0,4736.0
2025-09-07,新疆,乌鲁木齐市,新市区,美居,蓝调晶典,2室1厅,48.15,,40.0,8308.0
2025-08-28,新疆,乌鲁木齐市,新市区,美居,蓝调晶典,2室2厅,47.21,,57.0,12074.0
