成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-09-08,江西,九江,浔阳区,浔阳,朝阳巷5号,2室1厅,48.54,,69.0,14216.0
2025-07-16,江西,九江,浔阳区,浔阳,朝阳巷5号,1室1厅,30.55,,44.0,14665.0
2025-04-14,江西,九江,浔阳区,浔阳,朝阳巷5号,2室1厅,53.74,,65.0,12096.0
2025-03-24,江西,九江,浔阳区,浔阳,朝阳巷5号,2室1厅,56.3,,70.0,12434.0
2025-09-03,江西,九江,浔阳区,浔阳,东方花园,2室2厅,114.13,,77.0,6791.0
2025-05-19,江西,九江,浔阳区,浔阳,东方花园,3室2厅,137.0,,109.0,7957.0
2025-03-24,江西,九江,浔阳区,浔阳,东方花园,2室2厅,110.0,,73.0,6637.0
2024-12-16,江西,九江,浔阳区,浔阳,东方花园,3室2厅,139.0,,117.0,8418.0
2024-11-06,江西,九江,浔阳区,浔阳,东方花园,3室2厅,139.62,,116.0,8345.0
2024-11-02,江西,九江,浔阳区,浔阳,东方花园,3室2厅,139.06,,125.0,8989.0
2024-09-28,江西,九江,浔阳区,浔阳,东方花园,4室3厅,199.67,,193.0,9666.0
2024-09-24,江西,九江,浔阳区,浔阳,东方花园,3室2厅,130.0,,108.0,8308.0
2024-08-26,江西,九江,浔阳区,浔阳,东方花园,3室2厅,152.88,,116.0,7588.0
2024-06-18,江西,九江,浔阳区,浔阳,东方花园,3室2厅,137.47,,124.0,9079.0
2024-06-15,江西,九江,浔阳区,浔阳,东方花园,3室2厅,139.0,,118.0,8490.0
2024-05-18,江西,九江,浔阳区,浔阳,东方花园,3室2厅,139.82,,121.0,8654.0
2024-03-26,江西,九江,浔阳区,浔阳,东方花园,2室2厅,118.0,,107.0,9111.0
2024-02-19,江西,九江,浔阳区,浔阳,东方花园,4室3厅,175.4,,150.0,8552.0
2023-02-27,江西,九江,浔阳区,浔阳,东方花园,3室2厅,112.51,,128.0,11377.0
2023-02-12,江西,九江,浔阳区,浔阳,东方花园,3室2厅,139.6,,140.0,10029.0
2025-11-13,江西,九江,濂溪区,濂溪,浔安小区一期,2室2厅,75.12,,25.0,3329.0
2025-10-09,江西,九江,濂溪区,濂溪,浔安小区一期,4室2厅,124.0,,73.0,5888.0
2025-07-27,江西,九江,濂溪区,濂溪,浔安小区一期,4室2厅,123.7,,81.0,6549.0
2025-07-19,江西,九江,濂溪区,濂溪,浔安小区一期,3室2厅,123.39,,60.0,4863.0
2025-06-24,江西,九江,濂溪区,濂溪,浔安小区一期,3室2厅,120.04,,68.0,5665.0
2025-05-27,江西,九江,濂溪区,濂溪,浔安小区一期,2室2厅,79.8,,32.0,4011.0
2025-04-20,江西,九江,濂溪区,濂溪,浔安小区一期,2室2厅,60.64,,28.0,4618.0
2025-03-24,江西,九江,濂溪区,濂溪,浔安小区一期,3室2厅,120.0,,49.0,4150.0
2025-03-23,江西,九江,濂溪区,濂溪,浔安小区一期,2室1厅,70.36,,28.0,3980.0
2025-03-17,江西,九江,濂溪区,濂溪,浔安小区一期,3室2厅,120.0,,45.0,3750.0
2025-03-10,江西,九江,濂溪区,濂溪,浔安小区一期,3室2厅,93.91,,43.0,4579.0
2024-11-15,江西,九江,濂溪区,濂溪,浔安小区一期,3室2厅,100.0,,59.0,5930.0
2024-10-19,江西,九江,濂溪区,濂溪,浔安小区一期,2室2厅,90.0,,45.0,5000.0
2024-09-22,江西,九江,濂溪区,濂溪,浔安小区一期,2室1厅,59.16,,31.0,5274.0
2024-07-01,江西,九江,濂溪区,濂溪,浔安小区一期,3室2厅,94.54,,42.0,4475.0
2024-06-27,江西,九江,濂溪区,濂溪,浔安小区一期,3室2厅,91.0,,57.0,6264.0
2024-06-21,江西,九江,濂溪区,濂溪,浔安小区一期,3室2厅,94.54,,43.0,4633.0
2024-03-31,江西,九江,濂溪区,濂溪,浔安小区一期,2室2厅,70.65,,35.0,4954.0
2024-03-10,江西,九江,濂溪区,濂溪,浔安小区一期,2室2厅,70.6,,38.0,5383.0
2023-12-18,江西,九江,濂溪区,濂溪,浔安小区一期,3室2厅,103.0,,59.0,5806.0
2023-12-01,江西,九江,濂溪区,濂溪,浔安小区一期,2室1厅,60.8,,29.0,4770.0
2023-10-01,江西,九江,濂溪区,濂溪,浔安小区一期,2室1厅,75.46,,39.0,5169.0
2023-09-28,江西,九江,濂溪区,濂溪,浔安小区一期,2室1厅,60.0,,42.0,7000.0
2023-09-26,江西,九江,濂溪区,濂溪,浔安小区一期,3室2厅,140.0,,84.0,6000.0
2023-08-08,江西,九江,濂溪区,濂溪,浔安小区一期,3室2厅,99.77,,60.0,6034.0
2023-07-22,江西,九江,濂溪区,濂溪,浔安小区一期,3室3厅,123.0,,73.0,5935.0
2023-07-22,江西,九江,濂溪区,濂溪,浔安小区一期,3室2厅,140.18,,75.0,5351.0
2023-06-18,江西,九江,濂溪区,濂溪,浔安小区一期,3室2厅,102.78,,63.0,6196.0
2023-05-14,江西,九江,濂溪区,濂溪,浔安小区一期,2室1厅,60.6,,37.0,6238.0
2023-05-03,江西,九江,濂溪区,濂溪,浔安小区一期,3室2厅,94.54,,54.0,5712.0
2023-03-16,江西,九江,濂溪区,濂溪,浔安小区一期,3室1厅,102.78,,62.0,6081.0
2025-08-19,江西,九江,濂溪区,濂溪,德化小区东区,2室1厅,75.87,,21.0,2834.0
2025-06-16,江西,九江,濂溪区,濂溪,德化小区东区,3室2厅,89.58,,48.0,5359.0
2025-03-28,江西,九江,濂溪区,濂溪,德化小区东区,2室1厅,68.86,,34.0,4938.0
2025-03-27,江西,九江,濂溪区,濂溪,德化小区东区,2室2厅,67.58,,17.0,2634.0
2025-03-26,江西,九江,濂溪区,濂溪,德化小区东区,2室2厅,67.58,,17.0,2634.0
2025-03-24,江西,九江,濂溪区,濂溪,德化小区东区,2室1厅,68.97,,28.0,4176.0
2025-02-11,江西,九江,濂溪区,濂溪,德化小区东区,2室2厅,67.87,,37.0,5452.0
2024-11-14,江西,九江,濂溪区,濂溪,德化小区东区,2室1厅,89.0,,38.0,4360.0
2024-10-21,江西,九江,濂溪区,濂溪,德化小区东区,2室1厅,87.65,,36.0,4165.0
2024-09-22,江西,九江,濂溪区,濂溪,德化小区东区,3室2厅,106.66,,49.0,4670.0
2024-08-14,江西,九江,濂溪区,濂溪,德化小区东区,3室2厅,89.0,,54.0,6158.0
2024-07-18,江西,九江,濂溪区,濂溪,德化小区东区,2室2厅,68.86,,31.0,4633.0
2024-07-08,江西,九江,濂溪区,濂溪,德化小区东区,3室2厅,89.0,,57.0,6405.0
2024-03-06,江西,九江,濂溪区,濂溪,德化小区东区,2室1厅,67.58,,25.0,3729.0
2024-02-06,江西,九江,濂溪区,濂溪,德化小区东区,3室2厅,122.0,,52.0,4263.0
2023-09-21,江西,九江,濂溪区,濂溪,德化小区东区,3室2厅,121.3,,72.0,5986.0
2023-07-23,江西,九江,濂溪区,濂溪,德化小区东区,3室2厅,125.0,,72.0,5760.0
2023-07-22,江西,九江,濂溪区,濂溪,德化小区东区,3室2厅,89.58,,60.0,6765.0
2023-04-17,江西,九江,濂溪区,濂溪,德化小区东区,3室2厅,90.0,,60.0,6667.0
