成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-11-09,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.75,,75.0,6370.0
2025-11-09,江西,南昌,经开区,经开区,绿地悦公馆,3室1厅,117.15,,77.0,6573.0
2025-11-09,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.0,,75.0,6411.0
2025-11-02,江西,南昌,经开区,经开区,绿地悦公馆,4室2厅,163.36,,195.0,11937.0
2025-10-27,江西,南昌,经开区,经开区,绿地悦公馆,4室3厅,122.78,,133.0,10887.0
2025-10-27,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.76,,65.0,6718.0
2025-10-19,江西,南昌,经开区,经开区,绿地悦公馆,4室2厅,142.56,,121.0,8502.0
2025-10-15,江西,南昌,经开区,经开区,绿地悦公馆,3室1厅,117.15,,76.0,6556.0
2025-09-26,江西,南昌,经开区,经开区,绿地悦公馆,3室1厅,96.76,,72.0,7442.0
2025-09-19,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.76,,62.0,6408.0
2025-09-16,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.76,,62.0,6445.0
2025-09-15,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.15,,95.0,8152.0
2025-09-14,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.8,,76.0,7914.0
2025-09-11,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.15,,73.0,6300.0
2025-08-31,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.94,,75.0,6402.0
2025-08-29,江西,南昌,经开区,经开区,绿地悦公馆,3室1厅,97.14,,70.0,7268.0
2025-08-21,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.76,,66.0,6873.0
2025-08-19,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.8,,64.0,6695.0
2025-07-25,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,97.0,,73.0,7609.0
2025-07-02,江西,南昌,经开区,经开区,绿地悦公馆,3室1厅,122.78,,113.0,9269.0
2025-06-17,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.0,,92.0,7932.0
2025-06-06,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.2,,80.0,6869.0
2025-05-26,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.75,,92.0,7839.0
2025-05-25,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.59,,57.0,5902.0
2025-05-20,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.76,,66.0,6904.0
2025-05-18,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.53,,65.0,6734.0
2025-05-05,江西,南昌,经开区,经开区,绿地悦公馆,4室2厅,142.0,,126.0,8874.0
2025-05-02,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,97.14,,61.0,6332.0
2025-04-29,江西,南昌,经开区,经开区,绿地悦公馆,3室1厅,97.0,,66.0,6866.0
2025-04-06,江西,南昌,经开区,经开区,绿地悦公馆,4室2厅,142.45,,138.0,9688.0
2025-03-30,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,97.0,,70.0,7217.0
2025-03-28,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,97.62,,66.0,6761.0
2025-03-24,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.98,,66.0,6868.0
2025-03-16,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.33,,95.0,8097.0
2025-03-16,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.53,,77.0,7977.0
2025-03-15,江西,南昌,经开区,经开区,绿地悦公馆,3室1厅,117.0,,85.0,7317.0
2025-03-06,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,130.33,,111.0,8556.0
2025-02-27,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,122.78,,111.0,9074.0
2025-02-25,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,130.33,,105.0,8118.0
2025-02-24,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.8,,88.0,9153.0
2025-02-21,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.76,,81.0,8423.0
2025-02-19,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.15,,87.0,7444.0
2025-02-14,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.2,,95.0,8106.0
2025-01-25,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.15,,64.0,5464.0
2024-12-06,江西,南昌,经开区,经开区,绿地悦公馆,4室2厅,156.2,,189.0,12100.0
2024-12-04,江西,南昌,经开区,经开区,绿地悦公馆,4室2厅,156.1,,180.0,11570.0
2024-12-03,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.59,,68.0,7092.0
2024-12-01,江西,南昌,经开区,经开区,绿地悦公馆,4室2厅,163.23,,195.0,11947.0
2024-12-01,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.76,,70.0,7235.0
2024-11-30,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.28,,112.0,9550.0
2024-11-29,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,130.34,,142.0,10933.0
2024-11-19,江西,南昌,经开区,经开区,绿地悦公馆,4室2厅,142.56,,128.0,8979.0
2024-11-12,江西,南昌,经开区,经开区,绿地悦公馆,3室1厅,122.78,,123.0,10018.0
2024-11-09,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.98,,69.0,7115.0
2024-11-03,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,97.0,,72.0,7423.0
2024-10-27,江西,南昌,经开区,经开区,绿地悦公馆,3室1厅,117.21,,94.0,8020.0
2024-10-26,江西,南昌,经开区,经开区,绿地悦公馆,3室1厅,97.0,,73.0,7526.0
2024-10-18,江西,南昌,经开区,经开区,绿地悦公馆,4室2厅,163.36,,200.0,12243.0
2024-10-18,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.59,,88.0,9111.0
2024-10-15,江西,南昌,经开区,经开区,绿地悦公馆,3室1厅,96.63,,81.0,8383.0
2024-10-09,江西,南昌,经开区,经开区,绿地悦公馆,3室1厅,97.6,,75.0,7685.0
2024-10-01,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.25,,91.0,7794.0
2024-09-23,江西,南昌,经开区,经开区,绿地悦公馆,4室2厅,142.56,,140.0,9856.0
2024-09-12,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.15,,90.0,7683.0
2024-09-05,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,97.0,,81.0,8390.0
2024-09-05,江西,南昌,经开区,经开区,绿地悦公馆,4室2厅,163.35,,195.0,11938.0
2024-08-31,江西,南昌,经开区,经开区,绿地悦公馆,4室2厅,156.22,,250.0,16004.0
2024-08-08,江西,南昌,经开区,经开区,绿地悦公馆,3室1厅,96.8,,76.0,7914.0
2024-08-01,江西,南昌,经开区,经开区,绿地悦公馆,3室1厅,97.14,,76.0,7824.0
2024-07-28,江西,南昌,经开区,经开区,绿地悦公馆,4室2厅,142.56,,134.0,9435.0
2024-07-24,江西,南昌,经开区,经开区,绿地悦公馆,3室1厅,130.34,,142.0,10909.0
2024-07-11,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.0,,110.0,9477.0
2024-06-23,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,122.78,,131.0,10670.0
2024-06-23,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,122.78,,168.0,13684.0
2024-06-23,江西,南昌,经开区,经开区,绿地悦公馆,3室1厅,117.75,,102.0,8663.0
2024-06-03,江西,南昌,经开区,经开区,绿地悦公馆,4室2厅,163.36,,205.0,12549.0
2024-05-29,江西,南昌,经开区,经开区,绿地悦公馆,3室1厅,130.24,,132.0,10197.0
2024-05-18,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.0,,101.0,8633.0
2024-05-17,江西,南昌,经开区,经开区,绿地悦公馆,4室2厅,156.1,,185.0,11852.0
2024-05-15,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.53,,79.0,8236.0
2024-05-13,江西,南昌,经开区,经开区,绿地悦公馆,4室2厅,142.56,,136.0,9540.0
2024-05-08,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.75,,93.0,7967.0
2024-04-21,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,130.0,,130.0,10000.0
2024-04-12,江西,南昌,经开区,经开区,绿地悦公馆,4室2厅,142.56,,133.0,9365.0
2024-04-07,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,122.78,,141.0,11484.0
2024-04-06,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.8,,80.0,8265.0
2024-03-30,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.15,,109.0,9347.0
2024-03-26,江西,南昌,经开区,经开区,绿地悦公馆,4室2厅,142.45,,138.0,9688.0
2024-03-21,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.76,,79.0,8165.0
2024-03-18,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.75,,96.0,8153.0
2024-03-18,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,96.53,,77.0,8060.0
2024-03-16,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.2,,95.0,8106.0
2024-03-15,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.25,,104.0,8939.0
2024-03-05,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.21,,112.0,9624.0
2024-03-03,江西,南昌,经开区,经开区,绿地悦公馆,3室1厅,117.94,,92.0,7801.0
2024-02-29,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,117.2,,106.0,9122.0
2024-02-28,江西,南昌,经开区,经开区,绿地悦公馆,3室2厅,130.34,,132.0,10128.0
