成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-09-07,江西,赣州,南康区,南康,亚琦城市壹号,3室2厅,82.11,,24,2971.0
2025-08-06,江西,赣州,南康区,南康,亚琦城市壹号,3室2厅,68.44,,24,3624.0
2025-06-22,江西,赣州,南康区,南康,亚琦城市壹号,3室2厅,83.0,,26,3215.0
2025-02-17,江西,赣州,南康区,南康,亚琦城市壹号,3室1厅,77.19,,21,2773.0
2025-02-17,江西,赣州,南康区,南康,亚琦城市壹号,3室1厅,77.12,,21,2775.0
2024-07-09,江西,赣州,南康区,南康,亚琦城市壹号,2室2厅,77.32,,29,3751.0
2024-06-18,江西,赣州,南康区,南康,亚琦城市壹号,3室2厅,77.86,,25,3276.0
2023-06-16,江西,赣州,南康区,南康,亚琦城市壹号,3室1厅,83.0,,30,3615.0
2023-03-06,江西,赣州,南康区,南康,亚琦城市壹号,3室2厅,82.98,,36,4411.0
2023-02-26,江西,赣州,南康区,南康,亚琦城市壹号,3室1厅,83.0,,33,4037.0
2025-05-17,江西,赣州,章贡区,开发区,星洲湾,4室1厅,252.73,,242,9612.0
2024-09-27,江西,赣州,章贡区,开发区,星洲湾,6室3厅,274.79,,320,11646.0
2024-07-09,江西,赣州,章贡区,开发区,星洲湾,3室4厅,275.0,,343,12473.0
2025-11-03,江西,赣州,赣县区,赣县,保利嘉福领秀山,4室2厅,143.0,,89,6266.0
2025-11-02,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,108.0,,68,6352.0
2025-10-30,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,125.48,,61,4910.0
2025-10-25,江西,赣州,赣县区,赣县,保利嘉福领秀山,5室2厅,165.0,,111,6758.0
2025-10-23,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,108.68,,68,6276.0
2025-10-19,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,107.43,,69,6498.0
2025-10-07,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,125.08,,80,6420.0
2025-10-01,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,98.0,,50,5184.0
2025-09-22,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室1厅,108.0,,69,6445.0
2025-08-16,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,108.0,,67,6260.0
2025-08-09,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,98.0,,46,4715.0
2025-07-31,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,108.7,,72,6707.0
2025-07-16,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,98.0,,50,5164.0
2025-07-14,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,108.45,,73,6732.0
2025-07-09,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室1厅,108.0,,69,6389.0
2025-07-01,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,108.12,,69,6382.0
2025-06-26,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,98.0,,47,4866.0
2025-06-07,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,108.0,,69,6415.0
2025-05-30,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,126.0,,79,6349.0
2025-05-26,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,107.62,,70,6588.0
2025-05-21,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,107.85,,78,7233.0
2025-05-06,江西,赣州,赣县区,赣县,保利嘉福领秀山,4室2厅,146.0,,108,7453.0
2025-04-14,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室1厅,108.5,,75,6931.0
2025-03-25,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,108.0,,62,5797.0
2025-03-21,江西,赣州,赣县区,赣县,保利嘉福领秀山,4室2厅,140.01,,115,8214.0
2025-03-18,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,107.88,,72,6730.0
2025-03-08,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,107.88,,82,7627.0
2025-02-26,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,107.62,,58,5390.0
2025-02-25,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,108.0,,71,6630.0
2025-02-17,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,126.0,,66,5302.0
2025-02-15,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,98.2,,48,4950.0
2025-02-06,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,108.0,,73,6834.0
2025-02-06,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,106.15,,70,6595.0
2025-01-20,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,106.15,,74,7028.0
2025-01-18,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,107.85,,85,7882.0
2024-12-29,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,108.03,,58,5369.0
2024-12-08,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,108.0,,73,6815.0
2024-12-08,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,108.0,,52,4815.0
2024-11-14,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,125.4,,73,5894.0
2024-11-04,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,98.0,,53,5409.0
2024-10-14,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,125.41,,88,7017.0
2024-10-09,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,125.29,,63,5101.0
2024-09-02,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,126.0,,66,5278.0
2024-08-18,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,108.0,,55,5149.0
2024-07-19,江西,赣州,赣县区,赣县,保利嘉福领秀山,4室2厅,143.57,,108,7523.0
2024-07-09,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,111.0,,56,5127.0
2024-06-23,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,108.0,,58,5371.0
2024-06-19,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,107.34,,59,5572.0
2024-05-29,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,108.0,,63,5834.0
2024-05-27,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,108.0,,78,7223.0
2024-05-20,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,108.03,,58,5416.0
2024-05-03,江西,赣州,赣县区,赣县,保利嘉福领秀山,4室2厅,142.07,,120,8489.0
2024-03-27,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,125.0,,70,5600.0
2024-03-01,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,126.0,,75,5953.0
2023-11-28,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,98.0,,59,6103.0
2023-10-20,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,125.08,,81,6476.0
2023-10-17,江西,赣州,赣县区,赣县,保利嘉福领秀山,4室2厅,144.0,,92,6389.0
2023-09-20,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,126.0,,81,6453.0
2023-09-17,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,126.0,,73,5858.0
2023-08-13,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室1厅,108.0,,90,8408.0
2023-07-26,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,107.43,,66,6191.0
2023-07-05,江西,赣州,赣县区,赣县,保利嘉福领秀山,3室2厅,125.08,,82,6556.0
