成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-07-31,河南,新乡,红旗区,大学城,松江·帕提欧,4室2厅,166.0,,96,5814.0
2025-06-19,河南,新乡,红旗区,大学城,松江·帕提欧,4室2厅,158.0,,95,6013.0
2025-06-08,河南,新乡,红旗区,大学城,松江·帕提欧,4室2厅,166.0,,101,6085.0
2025-06-02,河南,新乡,红旗区,大学城,松江·帕提欧,4室2厅,158.49,,118,7446.0
2025-05-05,河南,新乡,红旗区,大学城,松江·帕提欧,5室2厅,170.45,,123,7258.0
2025-05-03,河南,新乡,红旗区,大学城,松江·帕提欧,3室2厅,88.98,,65,7306.0
2025-04-27,河南,新乡,红旗区,大学城,松江·帕提欧,4室2厅,170.45,,128,7510.0
2025-04-13,河南,新乡,红旗区,大学城,松江·帕提欧,1室1厅,48.8,,36,7378.0
2025-02-18,河南,新乡,红旗区,大学城,松江·帕提欧,3室1厅,90.0,,70,7778.0
2025-02-16,河南,新乡,红旗区,大学城,松江·帕提欧,4室2厅,165.0,,106,6425.0
2025-02-09,河南,新乡,红旗区,大学城,松江·帕提欧,3室2厅,89.0,,69,7753.0
2025-01-23,河南,新乡,红旗区,大学城,松江·帕提欧,3室2厅,123.63,,94,7604.0
2024-11-25,河南,新乡,红旗区,大学城,松江·帕提欧,3室2厅,89.0,,70,7866.0
2024-11-04,河南,新乡,红旗区,大学城,松江·帕提欧,1室1厅,33.0,,26,7879.0
2024-10-29,河南,新乡,红旗区,大学城,松江·帕提欧,4室2厅,123.4,,98,8007.0
2024-10-28,河南,新乡,红旗区,大学城,松江·帕提欧,1室1厅,49.0,,38,7756.0
2024-10-12,河南,新乡,红旗区,大学城,松江·帕提欧,3室2厅,128.63,,92,7153.0
2024-09-22,河南,新乡,红旗区,大学城,松江·帕提欧,3室2厅,123.0,,103,8374.0
2024-08-31,河南,新乡,红旗区,大学城,松江·帕提欧,3室2厅,131.96,,113,8586.0
2024-08-25,河南,新乡,红旗区,大学城,松江·帕提欧,3室2厅,94.82,,73,7784.0
2024-07-19,河南,新乡,红旗区,大学城,松江·帕提欧,2室2厅,89.0,,71,8034.0
2024-07-04,河南,新乡,红旗区,大学城,松江·帕提欧,4室2厅,142.0,,115,8099.0
2024-07-02,河南,新乡,红旗区,大学城,松江·帕提欧,,32.57,,26,8168.0
2024-06-18,河南,新乡,红旗区,大学城,松江·帕提欧,4室2厅,161.0,,112,6957.0
2024-06-04,河南,新乡,红旗区,大学城,松江·帕提欧,1室1厅,50.0,,37,7590.0
2024-05-30,河南,新乡,红旗区,大学城,松江·帕提欧,4室2厅,142.05,,135,9561.0
2024-05-20,河南,新乡,红旗区,大学城,松江·帕提欧,3室2厅,89.0,,70,7866.0
2024-05-09,河南,新乡,红旗区,大学城,松江·帕提欧,1室1厅,32.45,,27,8598.0
2024-03-30,河南,新乡,红旗区,大学城,松江·帕提欧,4室2厅,141.9,,96,6801.0
2024-03-21,河南,新乡,红旗区,大学城,松江·帕提欧,3室1厅,89.0,,71,7978.0
2024-03-12,河南,新乡,红旗区,大学城,松江·帕提欧,3室2厅,88.54,,72,8178.0
2024-03-10,河南,新乡,红旗区,大学城,松江·帕提欧,4室2厅,142.0,,120,8451.0
2024-01-30,河南,新乡,红旗区,大学城,松江·帕提欧,4室2厅,123.9,,108,8717.0
2023-12-02,河南,新乡,红旗区,大学城,松江·帕提欧,3室2厅,89.0,,73,8281.0
2023-11-24,河南,新乡,红旗区,大学城,松江·帕提欧,2室1厅,48.73,,39,8106.0
2023-11-22,河南,新乡,红旗区,大学城,松江·帕提欧,4室2厅,141.91,,116,8175.0
2023-11-11,河南,新乡,红旗区,大学城,松江·帕提欧,3室2厅,88.98,,76,8598.0
2023-10-28,河南,新乡,红旗区,大学城,松江·帕提欧,3室2厅,89.0,,79,8967.0
