成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-11-14,河南,洛阳,老城区,纱厂路,103中建二局家属院,2室1厅,69.89,,19.0,2719.0
2025-11-13,河南,洛阳,老城区,纱厂路,103中建二局家属院,2室1厅,62.07,,11.0,1926.0
2025-11-08,河南,洛阳,老城区,纱厂路,103中建二局家属院,2室1厅,47.54,,6.0,1263.0
2025-08-31,河南,洛阳,老城区,纱厂路,103中建二局家属院,2室1厅,73.0,,27.0,3794.0
2025-08-29,河南,洛阳,老城区,纱厂路,103中建二局家属院,2室2厅,73.2,,25.0,3416.0
2025-07-25,河南,洛阳,老城区,纱厂路,103中建二局家属院,2室2厅,63.05,,12.0,1904.0
2025-06-17,河南,洛阳,老城区,纱厂路,103中建二局家属院,,41.48,,16.0,3858.0
2025-04-27,河南,洛阳,老城区,纱厂路,103中建二局家属院,,41.95,,11.0,2623.0
2025-04-21,河南,洛阳,老城区,纱厂路,103中建二局家属院,1室1厅,42.27,,13.0,3076.0
2025-04-21,河南,洛阳,老城区,纱厂路,103中建二局家属院,2室1厅,47.56,,33.0,7002.0
2025-03-19,河南,洛阳,老城区,纱厂路,103中建二局家属院,2室2厅,73.22,,23.0,3142.0
2025-03-19,河南,洛阳,老城区,纱厂路,103中建二局家属院,2室1厅,41.95,,17.0,4124.0
2025-03-08,河南,洛阳,老城区,纱厂路,103中建二局家属院,1室1厅,47.56,,15.0,3323.0
2025-01-21,河南,洛阳,老城区,纱厂路,103中建二局家属院,1室1厅,41.77,,9.0,2203.0
2025-01-16,河南,洛阳,老城区,纱厂路,103中建二局家属院,2室1厅,54.34,,13.0,2441.0
2024-12-22,河南,洛阳,老城区,纱厂路,103中建二局家属院,2室1厅,42.8,,9.0,2314.0
2024-12-19,河南,洛阳,老城区,纱厂路,103中建二局家属院,1室1厅,41.95,,12.0,2980.0
2024-12-19,河南,洛阳,老城区,纱厂路,103中建二局家属院,,47.54,,12.0,2525.0
