成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2024-04-10,河南,郑州,郑东新区,黄河南路,永威东棠,2室2厅,91.63,,246,26902.0
2024-01-17,河南,郑州,郑东新区,黄河南路,永威东棠,2室1厅,92.31,,194,21017.0
2024-01-17,河南,郑州,郑东新区,黄河南路,永威东棠,5室2厅,252.83,,665,26303.0
2023-10-10,河南,郑州,郑东新区,黄河南路,永威东棠,4室2厅,166.2,,600,36102.0
2023-08-06,河南,郑州,郑东新区,黄河南路,永威东棠,2室1厅,88.25,,272,30879.0
2023-06-25,河南,郑州,郑东新区,黄河南路,永威东棠,2室2厅,91.0,,259,28462.0
2023-06-04,河南,郑州,郑东新区,黄河南路,永威东棠,2室2厅,89.23,,287,32165.0
2023-05-17,河南,郑州,郑东新区,黄河南路,永威东棠,2室1厅,88.61,,216,24433.0
2023-04-09,河南,郑州,郑东新区,黄河南路,永威东棠,2室2厅,90.71,,255,28112.0
2023-04-08,河南,郑州,郑东新区,黄河南路,永威东棠,2室2厅,90.71,,241,26569.0
2023-03-15,河南,郑州,郑东新区,黄河南路,永威东棠,2室2厅,89.89,,223,24809.0
2023-02-05,河南,郑州,郑东新区,黄河南路,永威东棠,2室1厅,87.56,,267,30494.0
2023-01-15,河南,郑州,郑东新区,黄河南路,永威东棠,2室2厅,89.08,,243,27347.0
2023-01-11,河南,郑州,郑东新区,黄河南路,永威东棠,2室2厅,91.63,,249,27240.0
2024-04-16,河南,郑州,荥阳,荥阳,新城尚郡,3室2厅,125.14,,69,5554.0
2024-03-03,河南,郑州,荥阳,荥阳,新城尚郡,3室2厅,110.27,,73,6693.0
2023-10-02,河南,郑州,荥阳,荥阳,新城尚郡,3室2厅,110.79,,68,6210.0
2023-09-24,河南,郑州,荥阳,荥阳,新城尚郡,3室2厅,110.27,,66,6031.0
2023-07-15,河南,郑州,荥阳,荥阳,新城尚郡,3室2厅,114.76,,73,6379.0
2023-06-16,河南,郑州,荥阳,荥阳,新城尚郡,3室2厅,93.0,,58,6302.0
2023-02-23,河南,郑州,荥阳,荥阳,新城尚郡,3室2厅,110.81,,74,6724.0
2023-02-10,河南,郑州,荥阳,荥阳,新城尚郡,3室1厅,106.15,,67,6331.0
2023-02-06,河南,郑州,荥阳,荥阳,新城尚郡,3室2厅,92.81,,58,6314.0
2023-01-31,河南,郑州,荥阳,荥阳,新城尚郡,3室2厅,127.11,,72,5704.0
2024-04-13,河南,郑州,金水区,文博广场,鑫苑世家,1室1厅,56.42,,113,20117.0
2024-04-07,河南,郑州,金水区,文博广场,鑫苑世家,1室1厅,52.0,,115,22193.0
2024-03-30,河南,郑州,金水区,文博广场,鑫苑世家,1室1厅,52.97,,123,23316.0
2024-03-19,河南,郑州,金水区,文博广场,鑫苑世家,4室2厅,141.64,,760,53658.0
2024-03-17,河南,郑州,金水区,文博广场,鑫苑世家,1室1厅,57.47,,121,21194.0
2024-03-09,河南,郑州,金水区,文博广场,鑫苑世家,1室1厅,50.46,,107,21245.0
2024-02-26,河南,郑州,金水区,文博广场,鑫苑世家,,39.95,,97,24406.0
2024-02-19,河南,郑州,金水区,文博广场,鑫苑世家,,47.62,,99,20895.0
2024-01-26,河南,郑州,金水区,文博广场,鑫苑世家,1室1厅,60.25,,133,22125.0
2023-12-21,河南,郑州,金水区,文博广场,鑫苑世家,2室1厅,80.33,,165,20603.0
2023-12-17,河南,郑州,金水区,文博广场,鑫苑世家,1室1厅,48.71,,114,23425.0
2023-12-09,河南,郑州,金水区,文博广场,鑫苑世家,1室1厅,55.61,,124,22389.0
2023-12-09,河南,郑州,金水区,文博广场,鑫苑世家,1室1厅,52.25,,123,23637.0
2023-11-16,河南,郑州,金水区,文博广场,鑫苑世家,1室1厅,56.74,,128,22648.0
2023-10-29,河南,郑州,金水区,文博广场,鑫苑世家,1室1厅,52.25,,121,23254.0
