成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2023-10-14,河南省,郑州市,二七区,古玩城,北福华铁银小区,3室1厅,67.49,,37,5557.0
2023-09-29,河南省,郑州市,二七区,古玩城,北福华铁银小区,2室2厅,80.29,,55,6888.0
2023-08-08,河南省,郑州市,二七区,古玩城,北福华铁银小区,2室1厅,61.54,,36,5980.0
2023-05-29,河南省,郑州市,二七区,古玩城,北福华铁银小区,2室1厅,59.35,,46,7835.0
2023-05-28,河南省,郑州市,二七区,古玩城,北福华铁银小区,2室1厅,61.2,,40,6634.0
2023-12-24,河南省,郑州市,二七区,市财政局,富田陇海花园,5室2厅,176.82,,153,8699.0
2023-11-14,河南省,郑州市,二七区,市财政局,富田陇海花园,,38.96,,24,6186.0
2023-04-30,河南省,郑州市,二七区,市财政局,富田陇海花园,5室2厅,205.3,,188,9182.0
2023-02-25,河南省,郑州市,二七区,市财政局,富田陇海花园,3室2厅,124.61,,169,13566.0
2023-02-25,河南省,郑州市,二七区,市财政局,富田陇海花园,4室3厅,169.6,,167,9877.0
2024-04-12,河南省,郑州市,二七区,万客来,金牛美景园,3室2厅,87.18,,76,8718.0
2024-04-10,河南省,郑州市,二七区,万客来,金牛美景园,2室1厅,85.55,,61,7236.0
2024-04-02,河南省,郑州市,二七区,万客来,金牛美景园,3室1厅,87.37,,62,7188.0
2024-02-25,河南省,郑州市,二七区,万客来,金牛美景园,2室2厅,86.38,,62,7236.0
2024-01-16,河南省,郑州市,二七区,万客来,金牛美景园,2室1厅,59.15,,45,7659.0
2024-01-08,河南省,郑州市,二七区,万客来,金牛美景园,2室1厅,58.38,,45,7863.0
2023-12-17,河南省,郑州市,二七区,万客来,金牛美景园,2室2厅,83.88,,66,7964.0
2023-12-04,河南省,郑州市,二七区,万客来,金牛美景园,3室1厅,87.37,,73,8424.0
2023-12-03,河南省,郑州市,二七区,万客来,金牛美景园,2室2厅,86.02,,71,8313.0
2023-11-25,河南省,郑州市,二七区,万客来,金牛美景园,2室2厅,87.49,,70,8036.0
2023-11-17,河南省,郑州市,二七区,万客来,金牛美景园,2室1厅,86.02,,71,8289.0
2023-10-25,河南省,郑州市,二七区,万客来,金牛美景园,3室1厅,84.96,,65,7745.0
2023-10-24,河南省,郑州市,二七区,万客来,金牛美景园,2室1厅,58.18,,48,8302.0
2023-09-20,河南省,郑州市,二七区,万客来,金牛美景园,2室2厅,87.1,,72,8324.0
2023-09-18,河南省,郑州市,二七区,万客来,金牛美景园,3室1厅,87.37,,66,7592.0
2023-08-21,河南省,郑州市,二七区,万客来,金牛美景园,2室1厅,87.49,,72,8287.0
2023-08-18,河南省,郑州市,二七区,万客来,金牛美景园,2室2厅,86.02,,72,8475.0
2023-08-07,河南省,郑州市,二七区,万客来,金牛美景园,3室1厅,87.55,,87,10029.0
2023-08-05,河南省,郑州市,二七区,万客来,金牛美景园,2室2厅,87.57,,66,7629.0
2023-06-18,河南省,郑州市,二七区,万客来,金牛美景园,3室2厅,85.94,,75,8786.0
2023-06-13,河南省,郑州市,二七区,万客来,金牛美景园,3室1厅,85.94,,79,9280.0
2023-05-18,河南省,郑州市,二七区,万客来,金牛美景园,2室1厅,85.97,,70,8178.0
2023-04-25,河南省,郑州市,二七区,万客来,金牛美景园,1室1厅,58.18,,44,7649.0
2023-04-19,河南省,郑州市,二七区,万客来,金牛美景园,2室2厅,87.25,,73,8425.0
2023-03-09,河南省,郑州市,二七区,万客来,金牛美景园,2室2厅,88.16,,80,9109.0
2024-03-04,河南省,郑州市,二七区,二七新城,正商城裕园2号院,3室2厅,130.38,,126,9703.0
