成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2023-02-25,浙江,宁波市,北仑区,大榭街镇,碧海蓝湾,2室2厅,88.48,,93.0,10568.0
2023-10-14,浙江,宁波市,北仑区,霞浦,宝业凤鸣壹号,1室1厅,56.27,,58.0,10397.0
2023-09-12,浙江,宁波市,北仑区,霞浦,宝业凤鸣壹号,1室1厅,33.83,,36.0,10790.0
2023-09-05,浙江,宁波市,北仑区,霞浦,宝业凤鸣壹号,1室1厅,39.66,,42.0,10717.0
2023-08-15,浙江,宁波市,北仑区,霞浦,宝业凤鸣壹号,1室1厅,51.86,,57.0,11107.0
2023-08-07,浙江,宁波市,北仑区,霞浦,宝业凤鸣壹号,1室1厅,51.86,,57.0,11030.0
2023-08-04,浙江,宁波市,北仑区,霞浦,宝业凤鸣壹号,1室1厅,37.19,,40.0,10783.0
2023-08-03,浙江,宁波市,北仑区,霞浦,宝业凤鸣壹号,1室1厅,59.54,,66.0,11186.0
2023-07-14,浙江,宁波市,北仑区,霞浦,宝业凤鸣壹号,1室1厅,52.79,,64.0,12219.0
2023-07-10,浙江,宁波市,北仑区,霞浦,宝业凤鸣壹号,1室1厅,33.83,,35.0,10583.0
2023-07-03,浙江,宁波市,北仑区,霞浦,宝业凤鸣壹号,1室1厅,37.0,,38.0,10487.0
2023-07-02,浙江,宁波市,北仑区,霞浦,宝业凤鸣壹号,1室1厅,59.89,,69.0,11605.0
2023-06-29,浙江,宁波市,北仑区,霞浦,宝业凤鸣壹号,1室1厅,28.14,,30.0,10875.0
2023-06-21,浙江,宁波市,北仑区,霞浦,宝业凤鸣壹号,1室1厅,51.88,,56.0,10949.0
2023-06-17,浙江,宁波市,北仑区,霞浦,宝业凤鸣壹号,1室1厅,51.88,,60.0,11720.0
2023-06-16,浙江,宁波市,北仑区,霞浦,宝业凤鸣壹号,,36.53,,40.0,11087.0
2023-06-06,浙江,宁波市,北仑区,霞浦,宝业凤鸣壹号,1室1厅,53.31,,62.0,11668.0
2023-05-29,浙江,宁波市,北仑区,霞浦,宝业凤鸣壹号,,38.99,,40.0,10331.0
2023-05-19,浙江,宁波市,北仑区,霞浦,宝业凤鸣壹号,1室1厅,53.33,,67.0,12695.0
2023-05-17,浙江,宁波市,北仑区,霞浦,宝业凤鸣壹号,1室1厅,51.86,,61.0,11859.0
2023-05-16,浙江,宁波市,北仑区,霞浦,宝业凤鸣壹号,1室1厅,59.98,,69.0,11604.0
2023-06-03,浙江,宁波市,海曙区,望春路,绿地观堂花苑,3室2厅,125.0,,320.0,25600.0
2023-06-03,浙江,宁波市,海曙区,望春路,绿地观堂花苑,4室2厅,123.76,,282.0,22827.0
2023-05-14,浙江,宁波市,海曙区,望春路,绿地观堂花苑,3室2厅,115.09,,226.0,19707.0
2023-05-12,浙江,宁波市,海曙区,望春路,绿地观堂花苑,4室1厅,146.18,,406.0,27809.0
2023-04-18,浙江,宁波市,海曙区,望春路,绿地观堂花苑,3室2厅,99.56,,235.0,23665.0
2023-04-07,浙江,宁波市,海曙区,望春路,绿地观堂花苑,3室2厅,100.49,,292.0,29058.0
2023-03-28,浙江,宁波市,海曙区,望春路,绿地观堂花苑,3室2厅,100.49,,275.0,27366.0
2023-03-25,浙江,宁波市,海曙区,望春路,绿地观堂花苑,4室2厅,160.4,,475.0,29614.0
2023-03-08,浙江,宁波市,海曙区,望春路,绿地观堂花苑,3室2厅,101.08,,259.0,25624.0
2023-03-08,浙江,宁波市,海曙区,望春路,绿地观堂花苑,3室2厅,123.99,,319.0,25793.0
2023-02-28,浙江,宁波市,海曙区,望春路,绿地观堂花苑,3室2厅,147.4,,408.0,27735.0
2023-02-27,浙江,宁波市,海曙区,望春路,绿地观堂花苑,4室2厅,161.85,,475.0,29349.0
2023-02-26,浙江,宁波市,海曙区,望春路,绿地观堂花苑,3室2厅,123.99,,304.0,24519.0
2023-02-13,浙江,宁波市,海曙区,望春路,绿地观堂花苑,4室2厅,124.62,,315.0,25342.0
2023-01-07,浙江,宁波市,海曙区,望春路,绿地观堂花苑,5室2厅,146.18,,432.0,29615.0
2023-10-17,浙江,宁波市,海曙区,青林湾,迪赛青苹果,1室1厅,41.17,,50.0,12267.0
2023-09-25,浙江,宁波市,海曙区,青林湾,迪赛青苹果,2室1厅,50.82,,66.0,13145.0
2023-09-07,浙江,宁波市,海曙区,青林湾,迪赛青苹果,2室1厅,53.88,,61.0,11415.0
2023-08-27,浙江,宁波市,海曙区,青林湾,迪赛青苹果,3室1厅,79.0,,97.0,12342.0
2023-07-25,浙江,宁波市,海曙区,青林湾,迪赛青苹果,2室1厅,54.9,,57.0,10474.0
2023-06-04,浙江,宁波市,海曙区,青林湾,迪赛青苹果,2室1厅,41.45,,61.0,14910.0
2023-05-08,浙江,宁波市,海曙区,青林湾,迪赛青苹果,1室1厅,41.17,,52.0,12801.0
2023-03-15,浙江,宁波市,海曙区,青林湾,迪赛青苹果,2室1厅,41.45,,72.0,17564.0
2023-02-01,浙江,宁波市,海曙区,青林湾,迪赛青苹果,3室1厅,41.45,,51.0,12425.0
2023-02-19,浙江,宁波市,海曙区,鄞州其他,洞桥明苑西区,3室2厅,91.94,,113.0,12332.0
2023-02-14,浙江,宁波市,海曙区,鄞州其他,洞桥明苑西区,3室2厅,104.61,,103.0,9856.0
2023-09-09,浙江,宁波市,海曙区,集士港,井亭家园,4室2厅,94.88,,134.0,14153.0
2023-09-03,浙江,宁波市,海曙区,集士港,井亭家园,2室2厅,75.35,,127.0,16868.0
2023-04-19,浙江,宁波市,海曙区,集士港,井亭家园,2室1厅,75.16,,165.0,22033.0
2023-04-06,浙江,宁波市,海曙区,集士港,井亭家园,3室2厅,94.23,,159.0,16938.0
2023-04-03,浙江,宁波市,海曙区,集士港,井亭家园,2室1厅,66.17,,145.0,21989.0
2023-03-20,浙江,宁波市,海曙区,集士港,井亭家园,2室2厅,77.26,,157.0,20386.0
2023-03-18,浙江,宁波市,海曙区,集士港,井亭家园,5室2厅,180.39,,259.0,14358.0
2023-03-08,浙江,宁波市,海曙区,集士港,井亭家园,3室2厅,73.7,,151.0,20598.0
2023-03-04,浙江,宁波市,海曙区,集士港,井亭家园,2室2厅,79.73,,158.0,19918.0
2023-02-22,浙江,宁波市,海曙区,集士港,井亭家园,2室1厅,51.7,,116.0,22455.0
2023-02-18,浙江,宁波市,海曙区,集士港,井亭家园,3室2厅,94.1,,177.0,18832.0
2023-02-13,浙江,宁波市,海曙区,集士港,井亭家园,3室2厅,109.08,,201.0,18427.0
2023-01-15,浙江,宁波市,海曙区,集士港,井亭家园,3室2厅,102.0,,160.0,15693.0
2023-09-21,浙江,宁波市,鄞州区,科技园区,招商雍景湾御江花苑,3室2厅,108.11,,302.0,27935.0
2023-05-03,浙江,宁波市,鄞州区,科技园区,招商雍景湾御江花苑,4室2厅,139.56,,476.0,34165.0
2023-03-28,浙江,宁波市,鄞州区,科技园区,招商雍景湾御江花苑,3室2厅,114.29,,383.0,33555.0
2023-03-27,浙江,宁波市,鄞州区,科技园区,招商雍景湾御江花苑,4室2厅,128.05,,419.0,32722.0
2023-03-19,浙江,宁波市,鄞州区,科技园区,招商雍景湾御江花苑,4室1厅,128.05,,421.0,32878.0
2023-03-04,浙江,宁波市,鄞州区,科技园区,招商雍景湾御江花苑,4室2厅,128.09,,434.0,33883.0
2023-03-05,浙江,宁波市,鄞州区,东部新城,水乡云锦府,3室1厅,115.76,,682.0,58915.0
2023-02-11,浙江,宁波市,鄞州区,东部新城,水乡云锦府,4室2厅,137.5,,823.0,59855.0
2023-05-22,浙江,宁波市,滨江区,浦沿,滨文苑,3室2厅,117.12,,292.0,24975.0
2023-04-27,浙江,宁波市,滨江区,浦沿,滨文苑,4室2厅,157.32,,415.0,26380.0
2023-02-21,浙江,宁波市,滨江区,浦沿,滨文苑,3室2厅,132.79,,299.0,22578.0
2023-02-25,浙江,宁波市,拱墅区,申花,碧桂园西江月,4室2厅,129.46,,739.0,57084.0
2023-01-15,浙江,宁波市,拱墅区,申花,碧桂园西江月,4室2厅,131.81,,789.0,59859.0
2024-10-26,浙江,宁波市,拱墅区,桥西,九龙仓碧玺,5室2厅,198.28,,980.0,49475.0
2023-07-03,浙江,宁波市,拱墅区,桥西,九龙仓碧玺,5室2厅,182.29,,938.0,51457.0
2023-06-30,浙江,宁波市,拱墅区,桥西,九龙仓碧玺,3室2厅,136.8,,655.0,47881.0
2023-06-25,浙江,宁波市,拱墅区,桥西,九龙仓碧玺,3室2厅,82.12,,567.0,69114.0
2023-05-14,浙江,宁波市,拱墅区,桥西,九龙仓碧玺,3室2厅,136.8,,665.0,48612.0
2023-05-13,浙江,宁波市,拱墅区,桥西,九龙仓碧玺,3室1厅,128.98,,834.0,64708.0
2023-04-22,浙江,宁波市,拱墅区,桥西,九龙仓碧玺,3室2厅,82.3,,522.0,63427.0
2023-04-14,浙江,宁波市,拱墅区,桥西,九龙仓碧玺,3室2厅,82.2,,552.0,67263.0
2023-04-03,浙江,宁波市,拱墅区,桥西,九龙仓碧玺,3室2厅,136.8,,650.0,47515.0
2023-02-19,浙江,宁波市,拱墅区,桥西,九龙仓碧玺,2室1厅,83.09,,591.0,71128.0
2023-08-29,浙江,宁波市,临安区,临安,湖山云台苑,4室2厅,126.01,,199.0,15833.0
2023-06-05,浙江,宁波市,临安区,临安,湖山云台苑,4室2厅,125.64,,201.0,15999.0
2023-05-22,浙江,宁波市,临安区,临安,湖山云台苑,3室2厅,97.68,,148.0,15203.0
2023-05-12,浙江,宁波市,临安区,临安,湖山云台苑,3室2厅,97.68,,149.0,15336.0
2023-03-10,浙江,宁波市,临安区,临安,湖山云台苑,3室2厅,92.54,,170.0,18466.0
2023-03-01,浙江,宁波市,临安区,临安,湖山云台苑,5室2厅,166.22,,265.0,15943.0
2023-02-28,浙江,宁波市,临安区,临安,湖山云台苑,4室2厅,125.64,,205.0,16317.0
2023-08-09,浙江,宁波市,临安区,青山湖,保亿阳光城丽光城,3室2厅,89.99,,144.0,16045.0
2023-03-09,浙江,宁波市,临安区,临安,樱花府第西园,4室2厅,87.51,,141.0,16170.0
2023-04-23,浙江,宁波市,临平区,星桥,星桥桂花城,2室2厅,85.04,,183.0,21626.0
2023-03-16,浙江,宁波市,临平区,星桥,星桥桂花城,3室2厅,89.01,,272.0,30649.0
2023-02-25,浙江,宁波市,临平区,星桥,星桥桂花城,2室2厅,85.04,,171.0,20167.0
2023-02-16,浙江,宁波市,临平区,星桥,星桥桂花城,2室2厅,83.03,,171.0,20692.0
2023-06-29,浙江,宁波市,临平区,乔司,金辉久尚云筑,3室2厅,96.09,,249.0,25914.0
2023-06-24,浙江,宁波市,临平区,乔司,金辉久尚云筑,3室2厅,96.67,,255.0,26379.0
2023-05-28,浙江,宁波市,临平区,乔司,金辉久尚云筑,3室2厅,100.17,,292.0,29161.0
2023-05-15,浙江,宁波市,临平区,乔司,金辉久尚云筑,3室2厅,96.09,,279.0,29036.0
2023-05-13,浙江,宁波市,临平区,乔司,金辉久尚云筑,3室2厅,97.21,,261.0,26850.0
2023-05-05,浙江,宁波市,临平区,乔司,金辉久尚云筑,3室2厅,96.96,,272.0,28136.0
2023-04-16,浙江,宁波市,临平区,乔司,金辉久尚云筑,4室2厅,121.51,,278.0,22920.0
2023-03-30,浙江,宁波市,临平区,乔司,金辉久尚云筑,3室2厅,96.09,,259.0,27017.0
2023-03-08,浙江,宁波市,临平区,乔司,金辉久尚云筑,3室2厅,98.8,,269.0,27227.0
2023-03-07,浙江,宁波市,临平区,乔司,金辉久尚云筑,3室1厅,96.67,,243.0,25138.0
2023-02-24,浙江,宁波市,临平区,乔司,金辉久尚云筑,4室2厅,122.82,,325.0,26462.0
2023-02-18,浙江,宁波市,临平区,乔司,金辉久尚云筑,3室2厅,96.09,,253.0,26413.0
2023-07-29,浙江,宁波市,临平区,丁桥,卓悦华庭（临平区）,4室2厅,123.23,,350.0,28403.0
2023-05-27,浙江,宁波市,临平区,丁桥,卓悦华庭（临平区）,4室2厅,119.56,,306.0,25661.0
2023-05-07,浙江,宁波市,临平区,丁桥,卓悦华庭（临平区）,4室2厅,123.57,,370.0,29943.0
2023-04-09,浙江,宁波市,临平区,丁桥,卓悦华庭（临平区）,4室2厅,122.96,,310.0,25212.0
2023-03-10,浙江,宁波市,临平区,丁桥,卓悦华庭（临平区）,4室2厅,122.98,,385.0,31306.0
2023-02-18,浙江,宁波市,临平区,丁桥,卓悦华庭（临平区）,4室2厅,120.75,,267.0,22112.0
2023-02-18,浙江,宁波市,临平区,丁桥,卓悦华庭（临平区）,4室2厅,119.69,,305.0,25483.0
2023-02-17,浙江,宁波市,临平区,丁桥,卓悦华庭（临平区）,3室2厅,88.39,,257.0,29076.0
2023-02-17,浙江,宁波市,临平区,丁桥,卓悦华庭（临平区）,3室2厅,88.93,,205.0,23052.0
2023-06-04,浙江,宁波市,临平区,塘栖,塘栖一小区,2室1厅,63.34,,100.0,15867.0
2023-05-21,浙江,宁波市,临平区,塘栖,塘栖一小区,3室2厅,79.65,,105.0,13246.0
2023-05-12,浙江,宁波市,临平区,塘栖,塘栖一小区,2室1厅,57.18,,80.0,14044.0
2023-02-24,浙江,宁波市,临平区,塘栖,塘栖一小区,2室1厅,63.34,,105.0,16609.0
2023-08-09,浙江,宁波市,临平区,临平,金都夏宫,3室1厅,121.07,,243.0,20072.0
2023-07-08,浙江,宁波市,临平区,临平,金都夏宫,2室1厅,66.5,,125.0,18843.0
2023-06-29,浙江,宁波市,临平区,临平,金都夏宫,3室2厅,89.36,,223.0,24956.0
2023-06-28,浙江,宁波市,临平区,临平,金都夏宫,2室2厅,74.12,,128.0,17337.0
2023-06-26,浙江,宁波市,临平区,临平,金都夏宫,3室1厅,87.55,,188.0,21565.0
2023-06-20,浙江,宁波市,临平区,临平,金都夏宫,4室1厅,121.48,,204.0,16793.0
2023-06-18,浙江,宁波市,临平区,临平,金都夏宫,4室2厅,121.07,,233.0,19246.0
2023-05-16,浙江,宁波市,临平区,临平,金都夏宫,3室2厅,133.75,,232.0,17406.0
2023-04-18,浙江,宁波市,临平区,临平,金都夏宫,3室1厅,136.25,,232.0,17087.0
2023-04-18,浙江,宁波市,临平区,临平,金都夏宫,3室2厅,136.25,,252.0,18555.0
2023-04-10,浙江,宁波市,临平区,临平,金都夏宫,2室2厅,83.17,,158.0,19094.0
2023-04-04,浙江,宁波市,临平区,临平,金都夏宫,3室2厅,88.79,,185.0,20870.0
2023-03-29,浙江,宁波市,临平区,临平,金都夏宫,3室2厅,89.11,,198.0,22310.0
2023-03-28,浙江,宁波市,临平区,临平,金都夏宫,2室2厅,77.26,,161.0,20956.0
2023-03-02,浙江,宁波市,临平区,临平,金都夏宫,4室2厅,144.17,,455.0,31560.0
2023-02-16,浙江,宁波市,临平区,临平,金都夏宫,3室2厅,88.51,,165.0,18675.0
2023-07-29,浙江,宁波市,临平区,丁桥,卓悦华庭（临平区）,4室2厅,123.23,,350.0,28403.0
2023-05-27,浙江,宁波市,临平区,丁桥,卓悦华庭（临平区）,4室2厅,119.56,,306.0,25661.0
2023-05-07,浙江,宁波市,临平区,丁桥,卓悦华庭（临平区）,4室2厅,123.57,,370.0,29943.0
2023-04-09,浙江,宁波市,临平区,丁桥,卓悦华庭（临平区）,4室2厅,122.96,,310.0,25212.0
2023-03-10,浙江,宁波市,临平区,丁桥,卓悦华庭（临平区）,4室2厅,122.98,,385.0,31306.0
