成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-09-30,湖北,襄阳市,樊城区,樊城,驼峰佳苑,2室2厅,99.93,,45,4504.0
2025-08-16,湖北,襄阳市,樊城区,樊城,驼峰佳苑,2室1厅,100.4,,59,5927.0
2025-08-05,湖北,襄阳市,樊城区,樊城,驼峰佳苑,2室1厅,100.14,,51,5173.0
2025-07-16,湖北,襄阳市,樊城区,樊城,驼峰佳苑,2室2厅,100.14,,60,6072.0
2025-05-29,湖北,襄阳市,樊城区,樊城,驼峰佳苑,2室2厅,100.14,,53,5293.0
2025-05-17,湖北,襄阳市,樊城区,樊城,驼峰佳苑,2室2厅,100.14,,66,6641.0
2025-05-06,湖北,襄阳市,樊城区,樊城,驼峰佳苑,3室1厅,151.19,,85,5623.0
2025-03-31,湖北,襄阳市,樊城区,樊城,驼峰佳苑,2室2厅,100.14,,64,6392.0
2025-03-16,湖北,襄阳市,樊城区,樊城,驼峰佳苑,2室2厅,99.93,,68,6805.0
2025-02-10,湖北,襄阳市,樊城区,樊城,驼峰佳苑,2室1厅,99.6,,68,6828.0
2025-01-26,湖北,襄阳市,樊城区,樊城,驼峰佳苑,2室2厅,99.6,,67,6727.0
2024-12-29,湖北,襄阳市,樊城区,樊城,驼峰佳苑,3室2厅,151.19,,87,5788.0
2024-09-06,湖北,襄阳市,樊城区,樊城,驼峰佳苑,2室2厅,100.14,,75,7540.0
2024-03-20,湖北,襄阳市,樊城区,樊城,驼峰佳苑,3室2厅,124.0,,104,8388.0
2024-01-05,湖北,襄阳市,樊城区,樊城,驼峰佳苑,3室2厅,151.19,,110,7276.0
2023-08-28,湖北,襄阳市,樊城区,樊城,驼峰佳苑,3室2厅,140.0,,125,8929.0
2023-05-25,湖北,襄阳市,樊城区,樊城,驼峰佳苑,3室2厅,124.55,,110,8832.0
2023-03-06,湖北,襄阳市,樊城区,樊城,驼峰佳苑,2室2厅,100.14,,89,8888.0
2025-10-08,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,3室2厅,110.19,,46,4175.0
2025-10-06,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,3室2厅,109.71,,39,3601.0
2025-10-04,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,2室2厅,98.02,,35,3571.0
2025-09-21,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,3室2厅,109.75,,43,3918.0
2025-08-04,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,2室1厅,87.69,,29,3308.0
2025-03-09,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,3室2厅,107.0,,46,4318.0
2025-02-14,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,2室1厅,98.02,,40,4081.0
2024-09-20,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,3室2厅,109.71,,47,4285.0
2024-09-17,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,3室2厅,132.74,,56,4257.0
2024-09-15,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,3室2厅,122.73,,60,4889.0
2024-09-02,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,3室2厅,107.13,,50,4668.0
2024-06-30,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,2室1厅,60.14,,33,5621.0
2024-06-25,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,2室2厅,94.89,,40,4290.0
2024-05-24,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,3室2厅,109.71,,60,5469.0
2024-05-13,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,3室2厅,122.73,,50,4140.0
2024-04-22,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,3室2厅,131.65,,58,4406.0
2024-04-16,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,3室1厅,107.13,,45,4201.0
2024-04-04,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,3室2厅,120.93,,51,4218.0
2024-03-10,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,2室2厅,88.31,,38,4360.0
2024-02-18,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,3室2厅,109.71,,64,5834.0
2024-01-28,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,2室2厅,98.02,,52,5306.0
2023-12-07,湖北,襄阳市,襄州区,襄州区,襄阳新城B区,3室1厅,110.22,,66,6043.0
