成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-07-09,湖南,岳阳,岳阳楼区,南湖,南湖·名門世家,4室2厅,141.77,,120,8465.0
2024-11-11,湖南,岳阳,岳阳楼区,南湖,南湖·名門世家,4室2厅,141.0,,139,9915.0
2024-06-23,湖南,岳阳,岳阳楼区,南湖,南湖·名門世家,3室2厅,123.63,,105,8494.0
2024-04-03,湖南,岳阳,岳阳楼区,南湖,巴陵石化南湖社区,4室2厅,109.73,,55,5086.0
2023-02-20,湖南,岳阳,岳阳楼区,南湖,巴陵石化南湖社区,2室2厅,88.0,,51,5853.0
2023-02-19,湖南,岳阳,岳阳楼区,南湖,巴陵石化南湖社区,3室2厅,89.0,,47,5281.0
2024-05-16,湖南,岳阳,岳阳楼区,天伦城,岳阳神驰保养厂家属区,3室2厅,112.67,,42,3728.0
2024-04-03,湖南,岳阳,岳阳楼区,天伦城,岳阳神驰保养厂家属区,3室2厅,77.29,,43,5564.0
2023-10-08,湖南,岳阳,岳阳楼区,天伦城,岳阳神驰保养厂家属区,3室2厅,77.49,,33,4361.0
2025-07-30,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,123.9,,58,4682.0
2025-07-16,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,128.09,,63,4919.0
2025-06-29,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,142.21,,70,4944.0
2025-06-27,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,88.54,,56,6416.0
2025-06-04,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,91.07,,43,4788.0
2025-04-01,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,118.92,,62,5281.0
2025-03-21,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,108.34,,58,5354.0
2025-02-11,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,2室2厅,90.18,,47,5212.0
2025-02-09,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,124.0,,60,4839.0
2025-01-23,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,142.21,,75,5274.0
2025-01-12,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,142.56,,69,4876.0
2024-12-05,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,123.9,,62,5005.0
2024-11-28,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,116.87,,72,6161.0
2024-11-17,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,119.85,,75,6258.0
2024-11-12,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,122.14,,68,5568.0
2024-11-08,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,142.21,,72,5063.0
2024-11-06,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,138.26,,66,4832.0
2024-10-21,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,2室2厅,119.22,,72,6040.0
2024-10-20,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,123.79,,61,4928.0
2024-10-12,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,132.49,,68,5133.0
2024-10-06,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,123.26,,65,5314.0
2024-10-04,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,123.0,,62,5041.0
2024-09-16,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,142.0,,78,5529.0
2024-09-07,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,2室2厅,85.83,,51,5942.0
2024-09-03,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,123.26,,69,5598.0
2024-08-19,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,123.79,,55,4508.0
2024-07-07,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,122.89,,66,5412.0
2024-06-20,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,123.79,,57,4670.0
2024-05-28,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,,129.11,,105,8133.0
2024-05-24,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,88.54,,51,5761.0
2024-05-22,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,132.0,,61,4660.0
2024-05-21,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,123.27,,75,6085.0
2024-05-14,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,128.0,,69,5415.0
2024-05-12,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,127.51,,69,5481.0
2024-04-22,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,123.79,,60,4847.0
2024-04-20,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,184.55,,153,8339.0
2024-04-19,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,142.56,,77,5402.0
2024-04-18,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,122.99,,62,5042.0
2024-04-03,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,123.25,,67,5437.0
2024-03-27,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,142.0,,92,6479.0
2024-03-03,湖南,岳阳,岳阳楼区,湖滨,滨水翡丽城,3室2厅,120.57,,61,5060.0
