成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-07-08,湖南,株洲,石峰区,石峰,金桂小区,2室1厅,74.02,,14.0,2000.0
2025-05-05,湖南,株洲,石峰区,石峰,金桂小区,1室1厅,45.21,,6.0,1544.0
2025-03-18,湖南,株洲,石峰区,石峰,金桂小区,2室1厅,65.88,,28.0,4327.0
2025-02-13,湖南,株洲,石峰区,石峰,金桂小区,2室1厅,65.8,,12.0,1900.0
2025-01-23,湖南,株洲,石峰区,石峰,金桂小区,2室2厅,60.0,,9.0,1614.0
2024-10-24,湖南,株洲,石峰区,石峰,金桂小区,2室1厅,65.88,,12.0,1898.0
2023-05-07,湖南,株洲,石峰区,石峰,金桂小区,2室1厅,60.0,,19.0,3167.0
2023-03-19,湖南,株洲,石峰区,石峰,金桂小区,2室1厅,70.0,,30.0,4286.0
2025-10-30,湖南,株洲,荷塘区,红旗广场,中梁建宁檀府,4室1厅,131.01,,46.0,3579.0
2025-10-19,湖南,株洲,荷塘区,红旗广场,中梁建宁檀府,4室2厅,145.77,,56.0,3897.0
2025-08-24,湖南,株洲,荷塘区,红旗广场,中梁建宁檀府,4室2厅,127.45,,43.0,3374.0
2025-08-21,湖南,株洲,荷塘区,红旗广场,中梁建宁檀府,3室2厅,107.62,,43.0,4070.0
2025-07-15,湖南,株洲,荷塘区,红旗广场,中梁建宁檀府,3室2厅,106.8,,38.0,3633.0
2025-07-10,湖南,株洲,荷塘区,红旗广场,中梁建宁檀府,4室2厅,133.55,,45.0,3370.0
2025-06-09,湖南,株洲,荷塘区,红旗广场,中梁建宁檀府,4室2厅,130.36,,46.0,3597.0
2025-05-05,湖南,株洲,荷塘区,红旗广场,中梁建宁檀府,4室2厅,130.36,,44.0,3437.0
2025-03-10,湖南,株洲,荷塘区,红旗广场,中梁建宁檀府,4室2厅,159.85,,56.0,3504.0
2025-03-09,湖南,株洲,荷塘区,红旗广场,中梁建宁檀府,3室2厅,125.96,,46.0,3652.0
2025-02-08,湖南,株洲,荷塘区,红旗广场,中梁建宁檀府,4室2厅,132.18,,60.0,4540.0
2024-12-21,湖南,株洲,荷塘区,红旗广场,中梁建宁檀府,4室2厅,130.4,,58.0,4516.0
