成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-11-11,福建,漳州,芗城区,江滨,建元南花园,,29.36,,44.0,15259.0
2025-10-23,福建,漳州,芗城区,江滨,建元南花园,4室1厅,133.12,,111.0,8399.0
2025-10-12,福建,漳州,芗城区,江滨,建元南花园,,38.26,,52.0,13801.0
2025-08-05,福建,漳州,芗城区,江滨,建元南花园,,29.36,,44.0,15259.0
2025-07-30,福建,漳州,芗城区,江滨,建元南花园,1室1厅,38.26,,57.0,14899.0
2025-05-29,福建,漳州,芗城区,江滨,建元南花园,4室1厅,135.36,,148.0,10934.0
2025-05-29,福建,漳州,芗城区,江滨,建元南花园,,33.69,,16.0,4898.0
2025-05-23,福建,漳州,芗城区,江滨,建元南花园,3室1厅,150.17,,149.0,9923.0
2025-04-01,福建,漳州,芗城区,江滨,建元南花园,3室2厅,111.39,,129.0,11600.0
2025-03-29,福建,漳州,芗城区,江滨,建元南花园,2室1厅,70.5,,83.0,11844.0
2025-03-09,福建,漳州,芗城区,江滨,建元南花园,4室2厅,187.67,,115.0,6128.0
2025-02-22,福建,漳州,芗城区,江滨,建元南花园,1室1厅,38.26,,52.0,13801.0
2024-11-21,福建,漳州,芗城区,江滨,建元南花园,3室2厅,141.03,,142.0,10100.0
2024-11-18,福建,漳州,芗城区,江滨,建元南花园,1室1厅,41.75,,62.0,14995.0
2024-08-08,福建,漳州,芗城区,江滨,建元南花园,3室2厅,157.73,,118.0,7520.0
2024-07-20,福建,漳州,芗城区,江滨,建元南花园,2室1厅,86.71,,76.0,8765.0
2024-07-12,福建,漳州,芗城区,江滨,建元南花园,,29.36,,46.0,15838.0
2024-07-10,福建,漳州,芗城区,江滨,建元南花园,3室1厅,116.15,,135.0,11623.0
2024-05-15,福建,漳州,芗城区,江滨,建元南花园,2室1厅,77.0,,105.0,13637.0
2024-05-05,福建,漳州,芗城区,江滨,建元南花园,1室1厅,42.0,,58.0,13950.0
2024-04-03,福建,漳州,芗城区,江滨,建元南花园,1室1厅,41.75,,58.0,14036.0
2024-03-26,福建,漳州,芗城区,江滨,建元南花园,3室2厅,132.66,,110.0,8292.0
2024-03-26,福建,漳州,芗城区,江滨,建元南花园,2室1厅,65.19,,86.0,13193.0
2024-03-05,福建,漳州,芗城区,江滨,建元南花园,3室1厅,95.87,,104.0,10911.0
2024-03-01,福建,漳州,芗城区,江滨,建元南花园,3室2厅,135.27,,150.0,11089.0
2023-12-22,福建,漳州,芗城区,江滨,建元南花园,3室2厅,130.94,,110.0,8401.0
2023-12-11,福建,漳州,芗城区,江滨,建元南花园,1室1厅,42.01,,60.0,14426.0
2023-12-01,福建,漳州,芗城区,江滨,建元南花园,,29.36,,43.0,14817.0
2023-11-04,福建,漳州,芗城区,江滨,建元南花园,2室2厅,95.46,,128.0,13409.0
2023-10-28,福建,漳州,芗城区,江滨,建元南花园,3室1厅,129.33,,155.0,12032.0
2023-10-20,福建,漳州,芗城区,江滨,建元南花园,1室1厅,42.11,,58.0,13845.0
2023-10-15,福建,漳州,芗城区,江滨,建元南花园,3室2厅,75.6,,97.0,12831.0
2023-09-14,福建,漳州,芗城区,江滨,建元南花园,2室1厅,81.0,,106.0,13087.0
2023-09-03,福建,漳州,芗城区,江滨,建元南花园,2室2厅,87.44,,77.0,8864.0
2023-08-11,福建,漳州,芗城区,江滨,建元南花园,1室1厅,44.56,,60.0,13645.0
2023-08-02,福建,漳州,芗城区,江滨,建元南花园,1室1厅,41.75,,55.0,13174.0
2023-08-01,福建,漳州,芗城区,江滨,建元南花园,3室2厅,116.51,,142.0,12188.0
2023-07-29,福建,漳州,芗城区,江滨,建元南花园,1室1厅,38.26,,52.0,13749.0
2023-06-10,福建,漳州,芗城区,江滨,建元南花园,2室2厅,85.55,,108.0,12625.0
2023-05-15,福建,漳州,芗城区,江滨,建元南花园,3室2厅,150.69,,135.0,8959.0
2023-05-06,福建,漳州,芗城区,江滨,建元南花园,,38.26,,53.0,13853.0
2023-05-05,福建,漳州,芗城区,江滨,建元南花园,3室2厅,111.39,,142.0,12801.0
2023-04-22,福建,漳州,芗城区,江滨,建元南花园,1室1厅,44.56,,58.0,13196.0
2023-03-19,福建,漳州,芗城区,江滨,建元南花园,1室1厅,41.75,,54.0,13054.0
2023-03-12,福建,漳州,芗城区,江滨,建元南花园,3室1厅,75.81,,101.0,13372.0
2023-02-26,福建,漳州,芗城区,江滨,建元南花园,3室1厅,85.55,,105.0,12332.0
2023-02-17,福建,漳州,芗城区,江滨,建元南花园,2室2厅,99.61,,102.0,10240.0
2023-01-09,福建,漳州,芗城区,江滨,建元南花园,2室2厅,81.0,,96.0,11852.0
2025-11-09,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,2室2厅,66.71,,47.0,7121.0
2025-11-08,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,3室2厅,100.41,,76.0,7569.0
2025-11-07,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,3室2厅,88.14,,84.0,9531.0
2025-11-06,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,2室2厅,66.66,,48.0,7201.0
2025-11-04,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,3室1厅,89.65,,74.0,8322.0
2025-11-03,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,3室2厅,88.0,,75.0,8523.0
2025-11-02,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,3室1厅,111.0,,82.0,7421.0
2025-11-01,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,3室2厅,88.0,,82.0,9410.0
2025-10-31,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,3室1厅,78.85,,66.0,8371.0
2025-10-31,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,4室1厅,99.25,,103.0,10429.0
2025-10-29,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,3室2厅,77.04,,68.0,8827.0
2025-10-27,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,3室2厅,102.76,,80.0,7863.0
2025-10-27,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,2室2厅,64.63,,41.0,6437.0
2025-10-27,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,3室1厅,89.72,,68.0,7580.0
2025-10-24,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,3室2厅,89.08,,82.0,9206.0
2025-10-21,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,3室2厅,102.67,,81.0,7890.0
2025-10-19,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,3室2厅,89.72,,75.0,8360.0
2025-10-17,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,3室1厅,89.0,,91.0,10225.0
2025-10-16,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,2室1厅,74.03,,53.0,7227.0
2025-10-15,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,3室1厅,87.52,,88.0,10055.0
2025-10-14,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,3室1厅,102.3,,92.0,8994.0
2025-10-13,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,3室2厅,90.3,,68.0,7597.0
2025-10-12,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,,28.0,,2.0,1000.0
2025-10-12,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,3室2厅,89.49,,86.0,9700.0
2025-10-11,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,2室1厅,66.53,,67.0,10071.0
2025-10-10,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,,29.6,,4.0,1352.0
2025-10-10,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,2室2厅,66.53,,47.0,7140.0
2025-10-09,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,3室1厅,89.0,,67.0,7607.0
2025-10-04,福建,漳州,角美台商投资区,龙池开发区,中骏四季阳光三期,4室2厅,126.6,,120.0,9479.0
