成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-10-23,福建,福州,鼓楼区,八一七北路,津泰新村,3室1厅,76.96,,235.0,30562.0
2025-10-16,福建,福州,鼓楼区,八一七北路,津泰新村,3室1厅,75.95,,249.0,32812.0
2025-08-22,福建,福州,鼓楼区,八一七北路,津泰新村,2室1厅,64.4,,241.0,37423.0
2025-08-21,福建,福州,鼓楼区,八一七北路,津泰新村,2室1厅,51.48,,236.0,45844.0
2025-08-06,福建,福州,鼓楼区,八一七北路,津泰新村,1室1厅,36.93,,219.0,59302.0
2025-06-29,福建,福州,鼓楼区,八一七北路,津泰新村,3室2厅,73.41,,247.0,33715.0
2025-06-22,福建,福州,鼓楼区,八一七北路,津泰新村,2室1厅,56.33,,267.0,47400.0
2025-05-29,福建,福州,鼓楼区,八一七北路,津泰新村,2室1厅,64.4,,265.0,41150.0
2025-05-08,福建,福州,鼓楼区,八一七北路,津泰新村,3室2厅,81.32,,207.0,25455.0
2025-04-26,福建,福州,鼓楼区,八一七北路,津泰新村,2室1厅,62.96,,253.0,40312.0
2025-04-22,福建,福州,鼓楼区,八一七北路,津泰新村,2室1厅,36.93,,213.0,57840.0
2025-04-02,福建,福州,鼓楼区,八一七北路,津泰新村,2室1厅,54.41,,140.0,25731.0
2025-04-01,福建,福州,鼓楼区,八一七北路,津泰新村,3室1厅,73.14,,276.0,37805.0
2025-03-28,福建,福州,鼓楼区,八一七北路,津泰新村,2室1厅,48.41,,120.0,24789.0
2025-03-01,福建,福州,鼓楼区,八一七北路,津泰新村,2室1厅,63.62,,262.0,41183.0
2025-02-21,福建,福州,鼓楼区,八一七北路,津泰新村,1室1厅,36.93,,223.0,60385.0
2025-01-17,福建,福州,鼓楼区,八一七北路,津泰新村,2室1厅,59.14,,266.0,45114.0
2025-01-10,福建,福州,鼓楼区,八一七北路,津泰新村,2室1厅,50.14,,220.0,43878.0
2025-01-09,福建,福州,鼓楼区,八一七北路,津泰新村,3室1厅,70.35,,300.0,42644.0
2024-12-03,福建,福州,鼓楼区,八一七北路,津泰新村,2室1厅,50.41,,295.0,58521.0
2024-11-13,福建,福州,鼓楼区,八一七北路,津泰新村,1室1厅,39.87,,201.0,50414.0
2024-11-08,福建,福州,鼓楼区,八一七北路,津泰新村,4室2厅,106.6,,350.0,32834.0
2024-10-10,福建,福州,鼓楼区,八一七北路,津泰新村,1室1厅,38.9,,236.0,60669.0
2024-09-04,福建,福州,鼓楼区,八一七北路,津泰新村,2室1厅,53.32,,145.0,27345.0
2024-08-14,福建,福州,鼓楼区,八一七北路,津泰新村,2室1厅,55.6,,260.0,46763.0
2024-04-04,福建,福州,鼓楼区,八一七北路,津泰新村,2室1厅,61.88,,303.0,48966.0
