成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2025-11-21,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.52,,1.0,10949.0
2025-11-13,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,102.87,,112.0,10917.0
2025-11-10,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.52,,175.0,13306.0
2025-10-26,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,102.87,,112.0,10956.0
2025-10-20,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.5,,130.0,9886.0
2025-10-17,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,156.04,,232.0,14868.0
2025-09-21,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.52,,206.0,15709.0
2025-08-28,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.52,,127.0,9687.0
2025-08-27,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,132.54,,176.0,13280.0
2025-08-23,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,4室1厅,156.0,,215.0,13783.0
2025-08-16,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,121.03,,150.0,12394.0
2025-08-11,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.52,,169.0,12888.0
2025-08-06,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,2室2厅,88.22,,93.0,10542.0
2025-08-01,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室1厅,131.52,,142.0,10797.0
2025-07-24,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,2室1厅,88.0,,105.0,11932.0
2025-06-28,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,102.87,,137.0,13318.0
2025-06-28,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.52,,153.0,11634.0
2025-06-26,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.52,,178.0,13535.0
2025-06-10,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.0,,176.0,13436.0
2025-06-09,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室1厅,102.87,,125.0,12200.0
2025-06-05,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,121.03,,151.0,12518.0
2025-05-23,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.0,,164.0,12520.0
2025-05-18,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.26,,153.0,11687.0
2025-05-11,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,102.87,,139.0,13561.0
2025-04-28,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.0,,224.0,17100.0
2025-04-27,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.52,,168.0,12774.0
2025-04-16,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,4室2厅,156.04,,213.0,13651.0
2025-03-30,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,2室1厅,88.27,,90.0,10196.0
2025-03-23,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,102.87,,137.0,13367.0
2025-03-22,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,121.0,,163.0,13472.0
2025-03-21,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.52,,175.0,13306.0
2025-03-10,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,4室2厅,156.04,,280.0,17945.0
2025-03-01,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,2室2厅,88.43,,110.0,12440.0
2025-02-28,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,121.03,,150.0,12394.0
2025-01-13,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,102.87,,134.0,13075.0
2024-12-31,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.52,,179.0,13611.0
2024-12-30,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.15,,227.0,17309.0
2024-12-19,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.26,,300.0,22856.0
2024-12-17,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,121.03,,136.0,11237.0
2024-10-22,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.0,,163.0,12443.0
2024-10-20,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.52,,171.0,13002.0
2024-10-12,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室1厅,103.02,,130.0,12619.0
2024-10-11,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,4室2厅,156.04,,194.0,12433.0
2024-10-07,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室1厅,102.87,,122.0,11909.0
2024-10-04,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,4室2厅,156.04,,213.0,13651.0
2024-10-02,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,103.0,,137.0,13350.0
2024-09-25,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,101.0,,119.0,11783.0
2024-09-19,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,121.25,,147.0,12124.0
2024-09-01,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,2室2厅,89.1,,108.0,12122.0
2024-08-20,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,121.21,,134.0,11056.0
2024-07-27,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,102.87,,130.0,12638.0
2024-07-12,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,121.0,,144.0,11901.0
2024-06-28,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,121.0,,155.0,12810.0
2024-06-19,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,102.87,,129.0,12541.0
2024-06-19,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,121.03,,143.0,11816.0
2024-05-26,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,4室2厅,156.04,,203.0,13042.0
2024-05-23,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,4室2厅,156.0,,229.0,14699.0
2024-05-08,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,2室2厅,88.22,,103.0,11699.0
2024-04-30,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.52,,200.0,15207.0
2024-04-08,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,121.03,,141.0,11717.0
2024-04-04,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,2室2厅,88.22,,103.0,11676.0
2024-03-31,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,121.03,,145.0,12047.0
2024-03-31,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.52,,156.0,11900.0
2024-03-10,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,2室2厅,88.43,,101.0,11479.0
2024-03-03,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.51,,165.0,12585.0
2024-03-01,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,2室1厅,88.43,,103.0,11682.0
2024-01-30,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,132.54,,170.0,12827.0
2024-01-11,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,4室2厅,156.04,,323.0,20700.0
2023-12-10,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,4室2厅,156.0,,200.0,12821.0
2023-11-26,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,132.54,,176.0,13280.0
2023-09-17,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,103.06,,133.0,12954.0
2023-09-06,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,4室2厅,156.0,,210.0,13462.0
2023-09-04,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,132.54,,182.0,13732.0
2023-08-09,辽宁,辽宁省,大东,望花,龙湖中铁建云璟,3室2厅,131.52,,186.0,14143.0
2025-11-13,辽宁,辽宁省,大东,小北,瑞士家园,2室1厅,109.42,,65.0,5941.0
2025-09-23,辽宁,辽宁省,大东,小北,瑞士家园,2室2厅,118.71,,71.0,6024.0
2025-05-18,辽宁,辽宁省,大东,小北,瑞士家园,3室2厅,138.75,,93.0,6703.0
2025-05-18,辽宁,辽宁省,大东,小北,瑞士家园,1室1厅,25.34,,7.0,2763.0
2024-11-30,辽宁,辽宁省,大东,小北,瑞士家园,1室2厅,63.5,,43.0,6898.0
2024-09-18,辽宁,辽宁省,大东,小北,瑞士家园,3室2厅,155.56,,93.0,5992.0
2024-05-22,辽宁,辽宁省,大东,小北,瑞士家园,3室2厅,158.19,,111.0,7017.0
2024-03-25,辽宁,辽宁省,大东,小北,瑞士家园,3室2厅,153.99,,108.0,7014.0
2024-03-13,辽宁,辽宁省,大东,小北,瑞士家园,3室2厅,168.37,,137.0,8137.0
2023-09-10,辽宁,辽宁省,大东,小北,瑞士家园,3室2厅,137.64,,85.0,6176.0
2025-11-13,辽宁,辽宁省,大东,滂江街,跃进小区,2室2厅,65.67,,31.0,4721.0
2025-11-13,辽宁,辽宁省,大东,望花,富力尚悦居,3室1厅,88.56,,61.0,6888.0
2025-10-07,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,63.24,,45.0,7116.0
2025-10-06,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,77.75,,65.0,8464.0
2025-09-27,辽宁,辽宁省,大东,望花,富力尚悦居,3室2厅,88.53,,74.0,8450.0
2025-09-24,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,70.34,,64.0,9099.0
2025-09-23,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,63.24,,36.0,5693.0
2025-08-16,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,63.73,,37.0,5904.0
2025-08-10,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,70.84,,67.0,9501.0
2025-07-30,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,71.01,,61.0,8591.0
2025-07-27,辽宁,辽宁省,大东,望花,富力尚悦居,3室1厅,88.82,,72.0,8129.0
2025-07-25,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,75.64,,58.0,7774.0
2025-07-10,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,64.2,,52.0,8100.0
2025-06-21,辽宁,辽宁省,大东,望花,富力尚悦居,3室2厅,87.56,,74.0,8452.0
2025-06-16,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,70.84,,63.0,8922.0
2025-06-08,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,70.0,,60.0,8643.0
2025-06-05,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,72.97,,52.0,7236.0
2025-05-27,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,70.23,,57.0,8188.0
2025-05-25,辽宁,辽宁省,大东,望花,富力尚悦居,3室2厅,89.46,,76.0,8552.0
2025-05-19,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,68.68,,58.0,8445.0
2025-05-18,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,75.64,,50.0,6677.0
2025-05-03,辽宁,辽宁省,大东,望花,富力尚悦居,3室2厅,88.82,,78.0,8839.0
2025-05-02,辽宁,辽宁省,大东,望花,富力尚悦居,3室1厅,88.56,,80.0,9090.0
2025-04-14,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,63.24,,43.0,6919.0
2025-04-10,辽宁,辽宁省,大东,望花,富力尚悦居,3室2厅,85.11,,85.0,10046.0
2025-04-03,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,76.38,,48.0,6311.0
2025-03-22,辽宁,辽宁省,大东,望花,富力尚悦居,3室1厅,88.23,,80.0,9124.0
2025-03-17,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,69.22,,56.0,8192.0
2025-03-13,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,73.96,,61.0,8248.0
2025-03-12,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,73.0,,61.0,8425.0
2025-03-12,辽宁,辽宁省,大东,望花,富力尚悦居,3室2厅,88.91,,78.0,8863.0
2025-03-12,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,72.31,,49.0,6777.0
2025-03-03,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,72.97,,61.0,8470.0
2025-03-02,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,75.64,,54.0,7232.0
2025-03-01,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,70.23,,58.0,8373.0
2025-02-24,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,73.31,,57.0,7844.0
2025-02-19,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,73.0,,66.0,9110.0
2025-02-18,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,73.83,,48.0,6502.0
2025-02-18,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,63.24,,39.0,6167.0
2025-02-11,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,68.79,,65.0,9450.0
2025-02-09,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,64.2,,40.0,6356.0
2025-02-06,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,64.2,,40.0,6231.0
2025-02-05,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,71.38,,63.0,8939.0
2025-01-10,辽宁,辽宁省,大东,望花,富力尚悦居,3室1厅,85.11,,60.0,7050.0
2025-01-01,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,74.37,,64.0,8606.0
2024-12-24,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,72.31,,63.0,8824.0
2024-12-08,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,73.83,,62.0,8466.0
2024-12-08,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,77.0,,66.0,8572.0
2024-12-03,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,71.09,,63.0,8975.0
2024-11-22,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,79.84,,63.0,7979.0
2024-11-13,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,64.2,,42.0,6543.0
2024-11-11,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,63.73,,48.0,7532.0
2024-11-09,辽宁,辽宁省,大东,望花,富力尚悦居,3室2厅,88.23,,74.0,8473.0
2024-10-28,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,65.23,,49.0,7512.0
2024-10-15,辽宁,辽宁省,大东,望花,富力尚悦居,3室2厅,132.21,,94.0,7110.0
2024-10-12,辽宁,辽宁省,大东,望花,富力尚悦居,3室2厅,81.07,,64.0,7994.0
2024-10-09,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,69.38,,48.0,6919.0
2024-09-19,辽宁,辽宁省,大东,望花,富力尚悦居,3室1厅,88.53,,77.0,8698.0
2024-08-29,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,63.88,,49.0,7671.0
2024-08-24,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,70.84,,63.0,8894.0
2024-08-20,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,75.64,,61.0,8091.0
2024-08-17,辽宁,辽宁省,大东,望花,富力尚悦居,3室1厅,79.53,,62.0,7897.0
2024-08-17,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,70.23,,62.0,8829.0
2024-08-12,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,79.84,,61.0,7703.0
2024-08-11,辽宁,辽宁省,大东,望花,富力尚悦居,2室1厅,75.64,,61.0,8164.0
2024-08-09,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,72.69,,60.0,8255.0
2024-08-09,辽宁,辽宁省,大东,望花,富力尚悦居,2室2厅,79.84,,57.0,7202.0
2024-08-01,辽宁,辽宁省,大东,望花,富力尚悦居,4室1厅,138.54,,97.0,7002.0
2024-07-24,辽宁,辽宁省,大东,望花,富力尚悦居,3室1厅,87.56,,76.0,8680.0
