成交日期,省份,城市,区域,商圈,小区,户型,面积（m²）,挂牌价（万元）,成交价（万元）,成交单价（元）
2024-06-04,黑龙江,哈尔滨市,道里,群力东区,海富禧园,2室1厅,76.99,,101,13184.0
2023-08-20,黑龙江,哈尔滨市,道里,群力东区,海富禧园,2室1厅,66.75,,82,12390.0
2023-06-10,黑龙江,哈尔滨市,道里,群力东区,海富禧园,2室1厅,67.0,,71,10717.0
2024-04-19,黑龙江,哈尔滨市,道里,群力东区,恒大天地人和,2室1厅,95.43,,102,10773.0
2023-06-02,黑龙江,哈尔滨市,道里,群力东区,恒大天地人和,3室2厅,170.27,,315,18501.0
2023-04-01,黑龙江,哈尔滨市,道里,群力东区,恒大天地人和,2室1厅,93.81,,124,13240.0
2024-05-28,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,98.5,,42,4273.0
2024-05-08,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,134.2,,74,5567.0
2024-04-29,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,97.0,,55,5691.0
2024-04-12,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,97.84,,58,5980.0
2024-03-31,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,97.0,,40,4176.0
2024-02-22,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,3室1厅,160.0,,66,4157.0
2024-01-24,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,84.45,,42,5021.0
2024-01-11,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,138.52,,65,4729.0
2023-12-28,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,97.02,,45,4690.0
2023-12-17,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,134.2,,72,5381.0
2023-12-14,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,3室1厅,161.0,,76,4758.0
2023-12-03,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,3室1厅,153.5,,66,4333.0
2023-11-20,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,97.1,,55,5747.0
2023-10-25,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,3室2厅,155.75,,55,3564.0
2023-10-10,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,134.0,,80,6008.0
2023-10-06,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,138.9,,79,5731.0
2023-09-27,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,134.0,,60,4515.0
2023-09-19,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,97.0,,66,6856.0
2023-08-15,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,114.0,,46,4106.0
2023-07-20,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,3室1厅,152.27,,70,4644.0
2023-05-28,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,3室1厅,155.36,,83,5394.0
2023-05-22,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,83.54,,48,5794.0
2023-04-23,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,138.0,,69,5037.0
2023-04-17,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,134.0,,69,5187.0
2023-04-15,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,97.0,,61,6320.0
2023-03-27,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,139.0,,74,5375.0
2023-03-07,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,72.94,,42,5827.0
2023-03-06,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,138.17,,64,4669.0
2023-02-28,黑龙江,哈尔滨市,呼兰区,学院路,丽景花园,2室1厅,97.02,,59,6133.0
2024-06-04,黑龙江,哈尔滨市,呼兰区,学院路,滨才城三期,2室1厅,87.5,,44,5063.0
2024-06-03,黑龙江,哈尔滨市,呼兰区,学院路,滨才城三期,2室1厅,78.67,,36,4640.0
2024-05-31,黑龙江,哈尔滨市,呼兰区,学院路,滨才城三期,2室1厅,105.0,,61,5858.0
2024-05-31,黑龙江,哈尔滨市,呼兰区,学院路,滨才城三期,1室1厅,38.0,,13,3645.0
2024-05-31,黑龙江,哈尔滨市,呼兰区,学院路,滨才城三期,2室1厅,74.35,,37,5044.0
2024-05-31,黑龙江,哈尔滨市,呼兰区,学院路,滨才城三期,2室1厅,74.0,,35,4757.0
2024-05-30,黑龙江,哈尔滨市,呼兰区,学院路,滨才城三期,2室1厅,86.56,,41,4830.0
2024-05-29,黑龙江,哈尔滨市,呼兰区,学院路,滨才城三期,2室1厅,54.0,,17,3260.0
2024-05-29,黑龙江,哈尔滨市,呼兰区,学院路,滨才城三期,2室1厅,90.68,,56,6264.0
2024-05-28,黑龙江,哈尔滨市,呼兰区,学院路,滨才城三期,2室1厅,87.8,,51,5866.0
2024-05-28,黑龙江,哈尔滨市,呼兰区,学院路,滨才城三期,2室1厅,96.28,,45,4757.0
