community,district,business_area,title,room_type,area,orientation,floor_info,total_price,unit_price,deal_date,source,url
天下锦城温莎城,包河,姚公庙十五里河,天下锦城巴斯镇 3室2厅 113.68平米,3室2厅,113.68,,,249,21904元,2024-04-17,市场信息,https://hf.esf.fang.com/chengjiao/1086309_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城康桥郡 3室2厅 141.21平米,3室2厅,141.21,,,370,26203元,2024-03-18,市场信息,https://hf.esf.fang.com/chengjiao/1083637_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城康桥郡 2室1厅 94.04平米,2室1厅,94.04,,,235,24990元,2024-03-17,市场信息,https://hf.esf.fang.com/chengjiao/1083498_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城康桥郡 2室2厅 93.34平米,2室2厅,93.34,,,191,20517元,2024-03-10,市场信息,https://hf.esf.fang.com/chengjiao/1082920_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城温莎城 3室1厅 108.32平米,3室1厅,108.32,,,273,25204元,2024-03-08,市场信息,https://hf.esf.fang.com/chengjiao/1082617_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城康桥郡 3室2厅 151.57平米,3室2厅,151.57,,,315,20823元,2024-03-03,市场信息,https://hf.esf.fang.com/chengjiao/1081982_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城康桥郡 2室2厅 95.45平米,2室2厅,95.45,,,215,22525元,2024-02-19,市场信息,https://hf.esf.fang.com/chengjiao/1081373_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城巴斯镇 2室2厅 85.88平米,2室2厅,85.88,,,183,21402元,2024-02-04,市场信息,https://hf.esf.fang.com/chengjiao/1081245_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城巴斯镇 3室2厅 118.69平米,3室2厅,118.69,,,322,27130元,2023-12-10,市场信息,https://hf.esf.fang.com/chengjiao/1078361_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城爱丁堡 3室2厅 126.36平米,3室2厅,126.36,,,349,27660元,2023-11-21,市场信息,https://hf.esf.fang.com/chengjiao/1077420_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城爱丁堡 2室2厅 94.27平米,2室2厅,94.27,,,180,19148元,2023-11-15,市场信息,https://hf.esf.fang.com/chengjiao/1076990_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城巴斯镇 3室2厅 152.6平米,3室2厅,152.6,,,410,26868元,2023-10-13,市场信息,https://hf.esf.fang.com/chengjiao/1075522_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城温莎城 4室2厅 152.41平米,4室2厅,152.41,,,427,28017元,2023-10-10,市场信息,https://hf.esf.fang.com/chengjiao/1074691_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城巴斯镇 3室2厅 113.68平米,3室2厅,113.68,,,268,23619元,2023-07-15,市场信息,https://hf.esf.fang.com/chengjiao/1069474_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城爱丁堡 5室2厅 221.98平米,5室2厅,221.98,,,582,26219元,2023-06-12,市场信息,https://hf.esf.fang.com/chengjiao/1067715_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城巴斯镇 3室2厅 113.74平米,3室2厅,113.74,,,317,27924元,2023-03-30,市场信息,https://hf.esf.fang.com/chengjiao/1062607_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城康桥郡 3室2厅 91.11平米,3室2厅,91.11,,,292,32116元,2023-03-28,市场信息,https://hf.esf.fang.com/chengjiao/1057693_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城康桥郡 2室1厅 93.34平米,2室1厅,93.34,,,241,25820元,2023-03-10,市场信息,https://hf.esf.fang.com/chengjiao/1041500_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城康桥郡 4室2厅 89.54平米,4室2厅,89.54,,,283,31606元,2023-02-27,市场信息,https://hf.esf.fang.com/chengjiao/1043915_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城爱丁堡 5室2厅 343.06平米,5室2厅,343.06,,,543,15829元,2023-02-21,市场信息,https://hf.esf.fang.com/chengjiao/1085488_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城巴斯镇 3室2厅 143.47平米,3室2厅,143.47,,,316,22026元,2023-02-21,市场信息,https://hf.esf.fang.com/chengjiao/1062221_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城温莎城 4室2厅 295.9平米,4室2厅,295.9,,,395,13350元,2023-02-20,市场信息,https://hf.esf.fang.com/chengjiao/1061525_1_2.htm
天下锦城温莎城,包河,姚公庙十五里河,天下锦城巴斯镇 2室2厅 91.97平米,2室2厅,91.97,,,246,26803元,2023-02-19,市场信息,https://hf.esf.fang.com/chengjiao/1045747_1_2.htm
