community,district,business_area,title,room_type,area,orientation,floor_info,total_price,unit_price,deal_date,source,url
海富禧园,道里,群力东区,海富禧园 2室1厅 76.99平米,2室1厅,76.99,,,101,13184元,2024-06-04,市场信息,https://hrb.esf.fang.com/chengjiao/36625_1_2.htm
海富禧园,道里,群力东区,海富禧园 2室1厅 66.75平米,2室1厅,66.75,,,82,12390元,2023-08-20,市场信息,https://hrb.esf.fang.com/chengjiao/29113_1_2.htm
海富禧园,道里,群力东区,海富禧园 2室1厅 67平米,2室1厅,67,,,71,10717元,2023-06-10,市场信息,https://hrb.esf.fang.com/chengjiao/27748_1_2.htm
恒大天地人和,道里,群力东区,恒大天地人和 2室1厅 95.43平米,2室1厅,95.43,,,102,10773元,2024-04-19,市场信息,https://hrb.esf.fang.com/chengjiao/35107_1_2.htm
恒大天地人和,道里,群力东区,恒大天地人和 3室2厅 170.27平米,3室2厅,170.27,,,315,18501元,2023-06-02,市场信息,https://hrb.esf.fang.com/chengjiao/27612_1_2.htm
恒大天地人和,道里,群力东区,恒大天地人和 2室1厅 93.81平米,2室1厅,93.81,,,124,13240元,2023-04-01,市场信息,https://hrb.esf.fang.com/chengjiao/26736_1_2.htm
丽景花园,呼兰区,学院路,丽景花园 2室1厅 98.5平米,2室1厅,98.5,,,42,4273元,2024-05-28,市场信息,https://hrb.esf.fang.com/chengjiao/36401_1_2.htm
丽景花园,呼兰区,学院路,丽景花园 2室1厅 134.2平米,2室1厅,134.2,,,74,5567元,2024-05-08,市场信息,https://hrb.esf.fang.com/chengjiao/35768_1_2.htm
丽景花园,呼兰区,学院路,丽景花园 2室1厅 97平米,2室1厅,97,,,55,5691元,2024-04-29,市场信息,https://hrb.esf.fang.com/chengjiao/35493_1_2.htm
丽景花园,呼兰区,学院路,丽景花园 2室1厅 97.84平米,2室1厅,97.84,,,58,5980元,2024-04-12,市场信息,https://hrb.esf.fang.com/chengjiao/34835_1_2.htm
丽景花园,呼兰区,学院路,丽景花园 2室1厅 97平米,2室1厅,97,,,40,4176元,2024-03-31,市场信息,https://hrb.esf.fang.com/chengjiao/34247_1_2.htm
丽景花园,呼兰区,学院路,丽景花园 3室1厅 160平米,3室1厅,160,,,66,4157元,2024-02-22,市场信息,https://hrb.esf.fang.com/chengjiao/32671_1_2.htm
丽景花园,呼兰区,学院路,丽景花园 2室1厅 84.45平米,2室1厅,84.45,,,42,5021元,2024-01-24,市场信息,https://hrb.esf.fang.com/chengjiao/32239_1_2.htm
