community,district,business_area,title,room_type,area,orientation,floor_info,total_price,unit_price,deal_date,source,url
绿地璀璨天城,平城区,,绿地璀璨天城 3室1厅 131平米,3室1厅,131.0,,,67,5146元,2025-11-14,市场信息,https://datong.esf.fang.com/chengjiao/1610554_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 3室2厅 133.3平米,3室2厅,133.3,,,66,4952元,2025-10-24,市场信息,https://datong.esf.fang.com/chengjiao/1610431_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 2室2厅 95平米,2室2厅,95.0,,,60,6390元,2025-10-12,市场信息,https://datong.esf.fang.com/chengjiao/1610412_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 2室2厅 94平米,2室2厅,94.0,,,65,6947元,2025-09-25,市场信息,https://datong.esf.fang.com/chengjiao/1610252_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 5室1厅 268平米,5室1厅,268.0,,,161,6008元,2025-09-25,市场信息,https://datong.esf.fang.com/chengjiao/1610284_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 3室2厅 116平米,3室2厅,116.0,,,62,5345元,2025-09-23,市场信息,https://datong.esf.fang.com/chengjiao/1610247_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 1室1厅 60平米,1室1厅,60.0,,,42,7000元,2025-09-23,市场信息,https://datong.esf.fang.com/chengjiao/1610258_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 1室1厅 58.9平米,1室1厅,58.9,,,30,5179元,2025-09-17,市场信息,https://datong.esf.fang.com/chengjiao/1610214_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 3室1厅 114平米,3室1厅,114.0,,,81,7150元,2025-09-13,市场信息,https://datong.esf.fang.com/chengjiao/1610200_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 3室1厅 131.47平米,3室1厅,131.47,,,57,4336元,2025-09-07,市场信息,https://datong.esf.fang.com/chengjiao/1610154_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 1室1厅 58.12平米,1室1厅,58.12,,,32,5506元,2025-08-18,市场信息,https://datong.esf.fang.com/chengjiao/1610075_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 3室2厅 144.95平米,3室2厅,144.95,,,73,5037元,2025-08-05,市场信息,https://datong.esf.fang.com/chengjiao/1610025_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 1室1厅 58.44平米,1室1厅,58.44,,,30,5134元,2025-07-26,市场信息,https://datong.esf.fang.com/chengjiao/1609962_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 1室1厅 61平米,1室1厅,61.0,,,34,5574元,2025-07-14,市场信息,https://datong.esf.fang.com/chengjiao/1609909_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 1室1厅 59平米,1室1厅,59.0,,,41,6950元,2025-07-12,市场信息,https://datong.esf.fang.com/chengjiao/1609847_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 2室2厅 95.07平米,2室2厅,95.07,,,57,6080元,2025-07-04,市场信息,https://datong.esf.fang.com/chengjiao/1609842_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 3室2厅 116.34平米,3室2厅,116.34,,,60,5201元,2025-06-26,市场信息,https://datong.esf.fang.com/chengjiao/1609776_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 3室2厅 131平米,3室2厅,131.0,,,94,7176元,2025-06-22,市场信息,https://datong.esf.fang.com/chengjiao/1609714_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 1室2厅 58平米,1室2厅,58.0,,,31,5345元,2025-06-14,市场信息,https://datong.esf.fang.com/chengjiao/1609669_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 3室2厅 133平米,3室2厅,133.0,,,73,5489元,2025-06-12,市场信息,https://datong.esf.fang.com/chengjiao/1609650_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 1室1厅 113.58平米,1室1厅,113.58,,,100,8805元,2025-06-12,市场信息,https://datong.esf.fang.com/chengjiao/1609687_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 2室1厅 95平米,2室1厅,95.0,,,69,7327元,2025-05-24,市场信息,https://datong.esf.fang.com/chengjiao/1609594_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 3室2厅 110平米,3室2厅,110.0,,,84,7637元,2025-05-17,市场信息,https://datong.esf.fang.com/chengjiao/1609543_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 1室1厅 61.75平米,1室1厅,61.75,,,33,5490元,2025-05-11,市场信息,https://datong.esf.fang.com/chengjiao/1609502_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 4室2厅 143平米,4室2厅,143.0,,,86,6070元,2025-04-27,市场信息,https://datong.esf.fang.com/chengjiao/1609429_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 4室3厅 223平米,4室3厅,223.0,,,313,14036元,2025-04-26,市场信息,https://datong.esf.fang.com/chengjiao/1609451_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 3室2厅 116.53平米,3室2厅,116.53,,,68,5862元,2025-04-26,市场信息,https://datong.esf.fang.com/chengjiao/1609431_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 1室1厅 62平米,1室1厅,62.0,,,34,5581元,2025-04-19,市场信息,https://datong.esf.fang.com/chengjiao/1609366_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 3室2厅 143.14平米,3室2厅,143.14,,,98,6847元,2025-04-16,市场信息,https://datong.esf.fang.com/chengjiao/1609395_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 3室2厅 143平米,3室2厅,143.0,,,95,6644元,2025-04-11,市场信息,https://datong.esf.fang.com/chengjiao/1609343_1_2.htm
绿地璀璨天城,平城区,,绿地璀璨天城 3室2厅 131平米,3室2厅,131.0,,,68,5191元,2025-04-10,市场信息,https://datong.esf.fang.com/chengjiao/1609339_1_2.htm
