community,district,business_area,title,room_type,area,orientation,floor_info,total_price,unit_price,deal_date,source,url
恒生城市花园,张店区,义乌商品城,恒生城市花园 3室2厅 127.06平米,3室2厅,127.06,,,66,5195元,2025-09-07,市场信息,https://zb.esf.fang.com/chengjiao/1726739_1_2.htm
恒生城市花园,张店区,义乌商品城,恒生城市花园 3室2厅 166.12平米,3室2厅,166.12,,,76,4576元,2025-03-24,市场信息,https://zb.esf.fang.com/chengjiao/1725159_1_2.htm
恒生城市花园,张店区,义乌商品城,恒生城市花园 3室2厅 166.12平米,3室2厅,166.12,,,86,5177元,2024-11-12,市场信息,https://zb.esf.fang.com/chengjiao/289986_1_2.htm
恒生城市花园,张店区,义乌商品城,恒生城市花园 3室2厅 111.84平米,3室2厅,111.84,,,57,5160元,2024-09-12,市场信息,https://zb.esf.fang.com/chengjiao/289592_1_2.htm
恒生城市花园,张店区,义乌商品城,恒生城市花园 3室2厅 127.6平米,3室2厅,127.6,,,96,7563元,2024-07-07,市场信息,https://zb.esf.fang.com/chengjiao/289141_1_2.htm
恒生城市花园,张店区,义乌商品城,恒生城市花园 3室2厅 148平米,3室2厅,148,,,98,6622元,2024-05-02,市场信息,https://zb.esf.fang.com/chengjiao/288826_1_2.htm
恒生城市花园,张店区,义乌商品城,恒生城市花园 3室2厅 108平米,3室2厅,108,,,76,7038元,2024-04-04,市场信息,https://zb.esf.fang.com/chengjiao/288656_1_2.htm
恒生城市花园,张店区,义乌商品城,恒生城市花园 3室2厅 111.84平米,3室2厅,111.84,,,85,7601元,2023-10-23,市场信息,https://zb.esf.fang.com/chengjiao/287869_1_2.htm
恒生城市花园,张店区,义乌商品城,恒生城市花园 3室2厅 132.46平米,3室2厅,132.46,,,112,8456元,2023-04-30,市场信息,https://zb.esf.fang.com/chengjiao/287034_1_2.htm
汇智·荣悦城,张店区,,汇智·荣悦城 3室2厅 143.16平米,3室2厅,143.16,,,145,10129元,2025-07-08,市场信息,https://zb.esf.fang.com/chengjiao/1726152_1_2.htm
汇智·荣悦城,张店区,,汇智·荣悦城 3室2厅 116平米,3室2厅,116,,,98,8449元,2025-06-18,市场信息,https://zb.esf.fang.com/chengjiao/1725931_1_2.htm
汇智·荣悦城,张店区,,汇智·荣悦城 3室2厅 119.53平米,3室2厅,119.53,,,108,9036元,2025-06-08,市场信息,https://zb.esf.fang.com/chengjiao/1725881_1_2.htm
汇智·荣悦城,张店区,,汇智·荣悦城 3室2厅 130平米,3室2厅,130,,,116,8924元,2024-09-10,市场信息,https://zb.esf.fang.com/chengjiao/289588_1_2.htm
汇智·荣悦城,张店区,,汇智·荣悦城 3室2厅 145平米,3室2厅,145,,,119,8242元,2024-07-16,市场信息,https://zb.esf.fang.com/chengjiao/289217_1_2.htm
汇智·荣悦城,张店区,,汇智·荣悦城 3室2厅 143平米,3室2厅,143,,,126,8812元,2024-06-11,市场信息,https://zb.esf.fang.com/chengjiao/289016_1_2.htm
汇智·荣悦城,张店区,,汇智·荣悦城 3室2厅 146平米,3室2厅,146,,,118,8083元,2024-03-28,市场信息,https://zb.esf.fang.com/chengjiao/290121_1_2.htm
张店区机关第一宿舍,张店区,博物馆,张店区机关第一宿舍 3室2厅 86.86平米,3室2厅,86.86,,,36,4145元,2024-11-19,市场信息,https://zb.esf.fang.com/chengjiao/290042_1_2.htm
张店区机关第一宿舍,张店区,博物馆,张店区机关第一宿舍 3室2厅 86.86平米,3室2厅,86.86,,,48,5527元,2024-08-07,市场信息,https://zb.esf.fang.com/chengjiao/289441_1_2.htm
张店区机关第一宿舍,张店区,博物馆,张店区机关第一宿舍 3室2厅 104.85平米,3室2厅,104.85,,,103,9824元,2023-12-27,市场信息,https://zb.esf.fang.com/chengjiao/288185_1_2.htm
张店区机关第一宿舍,张店区,博物馆,张店区机关第一宿舍 3室2厅 86.86平米,3室2厅,86.86,,,56,6448元,2023-08-27,市场信息,https://zb.esf.fang.com/chengjiao/287648_1_2.htm
张店区机关第一宿舍,张店区,博物馆,张店区机关第一宿舍 3室1厅 85.7平米,3室1厅,85.7,,,78,9102元,2023-06-07,市场信息,https://zb.esf.fang.com/chengjiao/287311_1_2.htm
张店区机关第一宿舍,张店区,博物馆,张店区机关第一宿舍 3室2厅 86.86平米,3室2厅,86.86,,,73,8405元,2023-05-25,市场信息,https://zb.esf.fang.com/chengjiao/287219_1_2.htm
张店区机关第一宿舍,张店区,博物馆,张店区机关第一宿舍 3室2厅 87.2平米,3室2厅,87.2,,,60,6881元,2023-04-07,市场信息,https://zb.esf.fang.com/chengjiao/286582_1_2.htm
张店区机关第一宿舍,张店区,博物馆,张店区机关第一宿舍 3室2厅 86.86平米,3室2厅,86.86,,,65,7541元,2023-04-07,市场信息,https://zb.esf.fang.com/chengjiao/286666_1_2.htm
金润和谐居小区,张店区,龙凤苑,金润和谐居小区 1室1厅 42.71平米,1室1厅,42.71,,,33,7868元,2025-07-22,市场信息,https://zb.esf.fang.com/chengjiao/1726178_1_2.htm
金润和谐居小区,张店区,龙凤苑,金润和谐居小区 1室1厅 39平米,1室1厅,39,,,29,7436元,2025-06-08,市场信息,https://zb.esf.fang.com/chengjiao/1725865_1_2.htm
金润和谐居小区,张店区,龙凤苑,金润和谐居小区 54.95平米,,54.95,,,39,7098元,2024-12-25,市场信息,https://zb.esf.fang.com/chengjiao/1724466_1_2.htm
金润和谐居小区,张店区,龙凤苑,金润和谐居小区 3室2厅 119.6平米,3室2厅,119.6,,,120,10076元,2024-05-17,市场信息,https://zb.esf.fang.com/chengjiao/288877_1_2.htm
