community,district,business_area,title,room_type,area,orientation,floor_info,total_price,unit_price,deal_date,source,url
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚璟 3室2厅 113.09平米,3室2厅,113.09,,,7**,6279元,2025-11-23,市场信息,https://qd.esf.fang.com/chengjiao/1839866_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾樾璟 4室2厅 136.05平米,4室2厅,136.05,,,145,10658元,2025-11-15,市场信息,https://qd.esf.fang.com/chengjiao/1838762_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚璟 3室2厅 115.42平米,3室2厅,115.42,,,66,5719元,2025-11-07,市场信息,https://qd.esf.fang.com/chengjiao/1838125_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚院 3室2厅 98.95平米,3室2厅,98.95,,,54,5539元,2025-10-30,市场信息,https://qd.esf.fang.com/chengjiao/1837168_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚璟 3室2厅 111.02平米,3室2厅,111.02,,,75,6828元,2025-10-29,市场信息,https://qd.esf.fang.com/chengjiao/1837175_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾一期 4室2厅 196.5平米,4室2厅,196.5,,,205,10433元,2025-10-25,市场信息,https://qd.esf.fang.com/chengjiao/1836654_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾樾璟 4室2厅 135.81平米,4室2厅,135.81,,,145,10736元,2025-10-23,市场信息,https://qd.esf.fang.com/chengjiao/1836530_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚院 2室1厅 86.33平米,2室1厅,86.33,,,47,5445元,2025-10-23,市场信息,https://qd.esf.fang.com/chengjiao/1836532_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚璟 3室2厅 136.8平米,3室2厅,136.8,,,123,9036元,2025-10-15,市场信息,https://qd.esf.fang.com/chengjiao/1835267_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾一期 2室2厅 81.69平米,2室2厅,81.69,,,45,5509元,2025-10-13,市场信息,https://qd.esf.fang.com/chengjiao/1835363_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚璟 3室1厅 136.8平米,3室1厅,136.8,,,123,9058元,2025-10-06,市场信息,https://qd.esf.fang.com/chengjiao/1834667_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚璟 3室1厅 113.07平米,3室1厅,113.07,,,76,6775元,2025-09-24,市场信息,https://qd.esf.fang.com/chengjiao/1833694_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚璟 2室2厅 108.63平米,2室2厅,108.63,,,64,5938元,2025-09-23,市场信息,https://qd.esf.fang.com/chengjiao/1833561_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾一期 4室2厅 215.7平米,4室2厅,215.7,,,366,16969元,2025-09-12,市场信息,https://qd.esf.fang.com/chengjiao/1832692_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾樾璟 3室1厅 125.37平米,3室1厅,125.37,,,135,10769元,2025-09-07,市场信息,https://qd.esf.fang.com/chengjiao/1832914_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾樾璟 4室2厅 136.38平米,4室2厅,136.38,,,138,10119元,2025-08-29,市场信息,https://qd.esf.fang.com/chengjiao/1831644_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾一期 2室2厅 81.75平米,2室2厅,81.75,,,46,5627元,2025-08-18,市场信息,https://qd.esf.fang.com/chengjiao/1831271_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚院 2室1厅 86.36平米,2室1厅,86.36,,,48,5651元,2025-08-17,市场信息,https://qd.esf.fang.com/chengjiao/1831172_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾樾璟 3室2厅 119.8平米,3室2厅,119.8,,,127,10643元,2025-08-15,市场信息,https://qd.esf.fang.com/chengjiao/1830594_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚璟 3室2厅 89.96平米,3室2厅,89.96,,,61,6792元,2025-08-12,市场信息,https://qd.esf.fang.com/chengjiao/1830497_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚院 3室2厅 143.53平米,3室2厅,143.53,,,232,16206元,2025-08-12,市场信息,https://qd.esf.fang.com/chengjiao/1830564_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾一期 3室2厅 195.96平米,3室2厅,195.96,,,260,13309元,2025-08-10,市场信息,https://qd.esf.fang.com/chengjiao/1830587_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚璟 3室2厅 136.83平米,3室2厅,136.83,,,126,9209元,2025-07-25,市场信息,https://qd.esf.fang.com/chengjiao/1829088_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚院 3室2厅 103.15平米,3室2厅,103.15,,,70,6835元,2025-07-06,市场信息,https://qd.esf.fang.com/chengjiao/1827230_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾樾璟 3室2厅 119.8平米,3室2厅,119.8,,,125,10501元,2025-07-06,市场信息,https://qd.esf.fang.com/chengjiao/1827352_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾樾璟 3室2厅 119.84平米,3室2厅,119.84,,,126,10581元,2025-06-29,市场信息,https://qd.esf.fang.com/chengjiao/1826436_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾一期 3室2厅 125.58平米,3室2厅,125.58,,,101,8059元,2025-06-28,市场信息,https://qd.esf.fang.com/chengjiao/1826279_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚璟 3室2厅 127.84平米,3室2厅,127.84,,,120,9387元,2025-06-26,市场信息,https://qd.esf.fang.com/chengjiao/1826326_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,珊瑚湾熙院 3室2厅 155.42平米,3室2厅,155.42,,,189,12161元,2025-06-25,市场信息,https://qd.esf.fang.com/chengjiao/1826185_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚院 3室1厅 142.04平米,3室1厅,142.04,,,156,10983元,2025-06-18,市场信息,https://qd.esf.fang.com/chengjiao/1825339_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾一期 3室2厅 137.03平米,3室2厅,137.03,,,158,11553元,2025-06-12,市场信息,https://qd.esf.fang.com/chengjiao/1824177_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾一期 2室1厅 81.75平米,2室1厅,81.75,,,46,5689元,2025-06-11,市场信息,https://qd.esf.fang.com/chengjiao/1824432_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚璟 3室2厅 113.09平米,3室2厅,113.09,,,77,6809元,2025-06-09,市场信息,https://qd.esf.fang.com/chengjiao/1824625_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾樾璟 3室2厅 119.92平米,3室2厅,119.92,,,133,11141元,2025-06-07,市场信息,https://qd.esf.fang.com/chengjiao/1824293_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾樾璟 3室2厅 119.8平米,3室2厅,119.8,,,124,10370元,2025-05-31,市场信息,https://qd.esf.fang.com/chengjiao/1823499_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚璟 3室2厅 136.8平米,3室2厅,136.8,,,123,9028元,2025-05-28,市场信息,https://qd.esf.fang.com/chengjiao/1823643_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚院 2室2厅 86.33平米,2室2厅,86.33,,,55,6371元,2025-05-23,市场信息,https://qd.esf.fang.com/chengjiao/1823101_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚院 4室2厅 182.47平米,4室2厅,182.47,,,350,19182元,2025-05-22,市场信息,https://qd.esf.fang.com/chengjiao/1822985_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾一期 4室2厅 140.05平米,4室2厅,140.05,,,156,11139元,2025-05-12,市场信息,https://qd.esf.fang.com/chengjiao/1820865_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾樾璟 4室2厅 142.36平米,4室2厅,142.36,,,175,12328元,2025-05-06,市场信息,https://qd.esf.fang.com/chengjiao/1820979_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾樾璟 3室2厅 119平米,3室2厅,119,,,139,11723元,2025-05-05,市场信息,https://qd.esf.fang.com/chengjiao/1821170_1_2.htm
领秀珊瑚湾樾璟,城阳,高新区,领秀珊瑚湾尚璟 3室1厅 109.48平米,3室1厅,109.48,,,73,6668元,2025-04-30,市场信息,https://qd.esf.fang.com/chengjiao/1820452_1_2.htm
