community,district,business_area,title,room_type,area,orientation,floor_info,total_price,unit_price,deal_date,source,url
果园小区,红旗区,红旗分局,果园小区 1室1厅 57.17平米,1室1厅,57.17,,,12,2100元,2025-05-27,市场信息,https://xx.esf.fang.com/chengjiao/1729547_1_2.htm
果园小区,红旗区,红旗分局,果园小区 3室1厅 79.36平米,3室1厅,79.36,,,19,2395元,2025-02-04,市场信息,https://xx.esf.fang.com/chengjiao/1727262_1_2.htm
果园小区,红旗区,红旗分局,果园小区 2室1厅 58平米,2室1厅,58,,,25,4414元,2024-12-01,市场信息,https://xx.esf.fang.com/chengjiao/291634_1_2.htm
果园小区,红旗区,红旗分局,果园小区 3室1厅 91.41平米,3室1厅,91.41,,,30,3282元,2024-10-08,市场信息,https://xx.esf.fang.com/chengjiao/290548_1_2.htm
果园小区,红旗区,红旗分局,果园小区 3室2厅 107.75平米,3室2厅,107.75,,,51,4752元,2024-05-02,市场信息,https://xx.esf.fang.com/chengjiao/288492_1_2.htm
果园小区,红旗区,红旗分局,果园小区 2室2厅 76.26平米,2室2厅,76.26,,,41,5377元,2024-03-15,市场信息,https://xx.esf.fang.com/chengjiao/287876_1_2.htm
果园小区,红旗区,红旗分局,果园小区 3室2厅 88.73平米,3室2厅,88.73,,,42,4734元,2024-02-26,市场信息,https://xx.esf.fang.com/chengjiao/287592_1_2.htm
果园小区,红旗区,红旗分局,果园小区 2室1厅 71.09平米,2室1厅,71.09,,,24,3377元,2023-09-15,市场信息,https://xx.esf.fang.com/chengjiao/286430_1_2.htm
果园小区,红旗区,红旗分局,红旗区果园 2室2厅 88.35平米,2室2厅,88.35,,,25,2830元,2023-06-26,市场信息,https://xx.esf.fang.com/chengjiao/285779_1_2.htm
果园小区,红旗区,红旗分局,果园小区 2室1厅 62.42平米,2室1厅,62.42,,,15,2404元,2023-04-23,市场信息,https://xx.esf.fang.com/chengjiao/285274_1_2.htm
果园小区,红旗区,红旗分局,红旗区果园 3室2厅 83.68平米,3室2厅,83.68,,,36,4303元,2023-02-09,市场信息,https://xx.esf.fang.com/chengjiao/283970_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 3室2厅 96.09平米,3室2厅,96.09,,,54,5620元,2025-07-23,市场信息,https://xx.esf.fang.com/chengjiao/1730305_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 3室2厅 115.36平米,3室2厅,115.36,,,58,5080元,2025-07-21,市场信息,https://xx.esf.fang.com/chengjiao/1730222_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 3室2厅 133平米,3室2厅,133,,,69,5226元,2025-07-21,市场信息,https://xx.esf.fang.com/chengjiao/1730218_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 2室2厅 91平米,2室2厅,91,,,40,4484元,2025-07-09,市场信息,https://xx.esf.fang.com/chengjiao/1730087_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 3室2厅 111平米,3室2厅,111,,,67,6037元,2025-07-03,市场信息,https://xx.esf.fang.com/chengjiao/1730134_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 3室2厅 115平米,3室2厅,115,,,60,5218元,2025-06-30,市场信息,https://xx.esf.fang.com/chengjiao/1729916_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 3室2厅 117.68平米,3室2厅,117.68,,,64,5481元,2025-06-19,市场信息,https://xx.esf.fang.com/chengjiao/1729870_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 3室1厅 96平米,3室1厅,96,,,63,6563元,2025-06-17,市场信息,https://xx.esf.fang.com/chengjiao/1729869_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 2室2厅 96平米,2室2厅,96,,,48,5000元,2025-06-16,市场信息,https://xx.esf.fang.com/chengjiao/1729845_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 3室2厅 114.18平米,3室2厅,114.18,,,78,6832元,2025-06-15,市场信息,https://xx.esf.fang.com/chengjiao/1729754_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 2室2厅 96.06平米,2室2厅,96.06,,,46,4862元,2025-06-15,市场信息,https://xx.esf.fang.com/chengjiao/1729624_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 2室2厅 96平米,2室2厅,96,,,47,4948元,2025-06-10,市场信息,https://xx.esf.fang.com/chengjiao/1729766_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 2室2厅 94.03平米,2室2厅,94.03,,,47,5041元,2025-06-03,市场信息,https://xx.esf.fang.com/chengjiao/1729575_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 2室1厅 47平米,2室1厅,47,,,28,5979元,2025-05-26,市场信息,https://xx.esf.fang.com/chengjiao/1729546_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 3室2厅 117.8平米,3室2厅,117.8,,,62,5332元,2025-05-21,市场信息,https://xx.esf.fang.com/chengjiao/1729462_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 3室2厅 95平米,3室2厅,95,,,62,6527元,2025-05-18,市场信息,https://xx.esf.fang.com/chengjiao/1729320_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 3室2厅 124平米,3室2厅,124,,,60,4880元,2025-05-15,市场信息,https://xx.esf.fang.com/chengjiao/1729307_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 3室2厅 115平米,3室2厅,115,,,62,5435元,2025-05-15,市场信息,https://xx.esf.fang.com/chengjiao/1729323_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 3室2厅 115.5平米,3室2厅,115.5,,,62,5420元,2025-05-13,市场信息,https://xx.esf.fang.com/chengjiao/1729167_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 2室2厅 94平米,2室2厅,94,,,50,5373元,2025-05-09,市场信息,https://xx.esf.fang.com/chengjiao/1729094_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 1室1厅 47平米,1室1厅,47,,,31,6788元,2025-05-09,市场信息,https://xx.esf.fang.com/chengjiao/1729124_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 3室2厅 121平米,3室2厅,121,,,71,5934元,2025-05-03,市场信息,https://xx.esf.fang.com/chengjiao/1728922_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 3室2厅 90平米,3室2厅,90,,,62,6889元,2025-05-03,市场信息,https://xx.esf.fang.com/chengjiao/1728962_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 3室2厅 119.5平米,3室2厅,119.5,,,78,6528元,2025-05-01,市场信息,https://xx.esf.fang.com/chengjiao/1728963_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 2室2厅 88.18平米,2室2厅,88.18,,,45,5172元,2025-04-22,市场信息,https://xx.esf.fang.com/chengjiao/1728797_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 3室2厅 110.58平米,3室2厅,110.58,,,55,5029元,2025-04-20,市场信息,https://xx.esf.fang.com/chengjiao/1728773_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 3室2厅 111平米,3室2厅,111,,,70,6307元,2025-04-14,市场信息,https://xx.esf.fang.com/chengjiao/1728775_1_2.htm
诚城常青藤,红旗区,大学城,诚城常青藤 3室2厅 133平米,3室2厅,133,,,81,6128元,2025-04-09,市场信息,https://xx.esf.fang.com/chengjiao/1728560_1_2.htm
