community,district,business_area,title,room_type,area,orientation,floor_info,total_price,unit_price,deal_date,source,url
北福华铁银小区,二七区,古玩城,北福华铁银小区 3室1厅 67.49平米,3室1厅,67.49,,,37,5557元,2023-10-14,市场信息,https://zz.esf.fang.com/chengjiao/151758_1_2.htm
北福华铁银小区,二七区,古玩城,北福华铁银小区 2室2厅 80.29平米,2室2厅,80.29,,,55,6888元,2023-09-29,市场信息,https://zz.esf.fang.com/chengjiao/151207_1_2.htm
北福华铁银小区,二七区,古玩城,北福华铁银小区 2室1厅 61.54平米,2室1厅,61.54,,,36,5980元,2023-08-08,市场信息,https://zz.esf.fang.com/chengjiao/148004_1_2.htm
北福华铁银小区,二七区,古玩城,铁路北福华小区一号院 2室1厅 59.35平米,2室1厅,59.35,,,46,7835元,2023-05-29,市场信息,https://zz.esf.fang.com/chengjiao/144284_1_2.htm
北福华铁银小区,二七区,古玩城,北福华铁银小区 2室1厅 61.2平米,2室1厅,61.2,,,40,6634元,2023-05-28,市场信息,https://zz.esf.fang.com/chengjiao/144463_1_2.htm
富田陇海花园,二七区,市财政局,富田陇海花园 5室2厅 176.82平米,5室2厅,176.82,,,153,8699元,2023-12-24,市场信息,https://zz.esf.fang.com/chengjiao/155940_1_2.htm
富田陇海花园,二七区,市财政局,富田陇海花园 38.96平米,,38.96,,,24,6186元,2023-11-14,市场信息,https://zz.esf.fang.com/chengjiao/153773_1_2.htm
富田陇海花园,二七区,市财政局,富田陇海花园 5室2厅 205.3平米,5室2厅,205.3,,,188,9182元,2023-04-30,市场信息,https://zz.esf.fang.com/chengjiao/163091_1_2.htm
富田陇海花园,二七区,市财政局,富田陇海花园 3室2厅 124.61平米,3室2厅,124.61,,,169,13566元,2023-02-25,市场信息,https://zz.esf.fang.com/chengjiao/133624_1_2.htm
富田陇海花园,二七区,市财政局,富田陇海花园 4室3厅 169.6平米,4室3厅,169.6,,,167,9877元,2023-02-25,市场信息,https://zz.esf.fang.com/chengjiao/135836_1_2.htm
金牛美景园,二七区,万客来,金牛美景园 3室2厅 87.18平米,3室2厅,87.18,,,76,8718元,2024-04-12,市场信息,https://zz.esf.fang.com/chengjiao/163250_1_2.htm
