community,district,business_area,title,room_type,area,orientation,floor_info,total_price,unit_price,deal_date,source,url
南湖·名門世家,岳阳楼区,南湖,南湖·名門世家 4室2厅 141.77平米,4室2厅,141.77,,,120,8465元,2025-07-09,市场信息,https://yueyang.esf.fang.com/chengjiao/1718735_1_2.htm
南湖·名門世家,岳阳楼区,南湖,南湖·名門世家 4室2厅 141平米,4室2厅,141,,,139,9915元,2024-11-11,市场信息,https://yueyang.esf.fang.com/chengjiao/283591_1_2.htm
南湖·名門世家,岳阳楼区,南湖,南湖·名門世家 3室2厅 123.63平米,3室2厅,123.63,,,105,8494元,2024-06-23,市场信息,https://yueyang.esf.fang.com/chengjiao/282844_1_2.htm
巴陵石化南湖社区,岳阳楼区,南湖,巴陵石化南湖社区 4室2厅 109.73平米,4室2厅,109.73,,,55,5086元,2024-04-03,市场信息,https://yueyang.esf.fang.com/chengjiao/282439_1_2.htm
巴陵石化南湖社区,岳阳楼区,南湖,巴陵石化南湖社区 2室2厅 88平米,2室2厅,88,,,51,5853元,2023-02-20,市场信息,https://yueyang.esf.fang.com/chengjiao/281359_1_2.htm
巴陵石化南湖社区,岳阳楼区,南湖,巴陵石化南湖社区 3室2厅 89平米,3室2厅,89,,,47,5281元,2023-02-19,市场信息,https://yueyang.esf.fang.com/chengjiao/281641_1_2.htm
岳阳神驰保养厂家属区,岳阳楼区,天伦城,岳阳神驰保养厂家属区 3室2厅 112.67平米,3室2厅,112.67,,,42,3728元,2024-05-16,市场信息,https://yueyang.esf.fang.com/chengjiao/282664_1_2.htm
岳阳神驰保养厂家属区,岳阳楼区,天伦城,岳阳神驰保养厂家属区 3室2厅 77.29平米,3室2厅,77.29,,,43,5564元,2024-04-03,市场信息,https://yueyang.esf.fang.com/chengjiao/282442_1_2.htm
岳阳神驰保养厂家属区,岳阳楼区,天伦城,岳阳神驰保养厂家属区 3室2厅 77.49平米,3室2厅,77.49,,,33,4361元,2023-10-08,市场信息,https://yueyang.esf.fang.com/chengjiao/281997_1_2.htm
滨水翡丽城,岳阳楼区,湖滨,滨水翡丽城 3室2厅 123.9平米,3室2厅,123.9,,,58,4682元,2025-07-30,市场信息,https://yueyang.esf.fang.com/chengjiao/1718877_1_2.htm
滨水翡丽城,岳阳楼区,湖滨,滨水翡丽城 3室2厅 128.09平米,3室2厅,128.09,,,63,4919元,2025-07-16,市场信息,https://yueyang.esf.fang.com/chengjiao/1718815_1_2.htm
滨水翡丽城,岳阳楼区,湖滨,滨水翡丽城 3室2厅 142.21平米,3室2厅,142.21,,,70,4944元,2025-06-29,市场信息,https://yueyang.esf.fang.com/chengjiao/1718660_1_2.htm
滨水翡丽城,岳阳楼区,湖滨,滨水翡丽城 3室2厅 88.54平米,3室2厅,88.54,,,56,6416元,2025-06-27,市场信息,https://yueyang.esf.fang.com/chengjiao/1718659_1_2.htm
滨水翡丽城,岳阳楼区,湖滨,滨水翡丽城 3室2厅 91.07平米,3室2厅,91.07,,,43,4788元,2025-06-04,市场信息,https://yueyang.esf.fang.com/chengjiao/1718540_1_2.htm
滨水翡丽城,岳阳楼区,湖滨,滨水翡丽城 3室2厅 118.92平米,3室2厅,118.92,,,62,5281元,2025-04-01,市场信息,https://yueyang.esf.fang.com/chengjiao/1718162_1_2.htm
滨水翡丽城,岳阳楼区,湖滨,滨水翡丽城 3室2厅 108.34平米,3室2厅,108.34,,,58,5354元,2025-03-21,市场信息,https://yueyang.esf.fang.com/chengjiao/1718061_1_2.htm
滨水翡丽城,岳阳楼区,湖滨,滨水翡丽城 2室2厅 90.18平米,2室2厅,90.18,,,47,5212元,2025-02-11,市场信息,https://yueyang.esf.fang.com/chengjiao/1717784_1_2.htm
滨水翡丽城,岳阳楼区,湖滨,滨水翡丽城 3室2厅 124平米,3室2厅,124,,,60,4839元,2025-02-09,市场信息,https://yueyang.esf.fang.com/chengjiao/1717741_1_2.htm
