community,district,business_area,title,room_type,area,orientation,floor_info,total_price,unit_price,deal_date,source,url
东环新城南区,芦淞区,芦淞,东环新城南区 3室1厅 101.33平米,3室1厅,101.33,,,26,2575元,2025-11-15,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1406554_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 3室2厅 101.33平米,3室2厅,101.33,,,24,2448元,2025-09-23,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1405581_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 3室2厅 101.43平米,3室2厅,101.43,,,21,2071元,2025-09-11,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1405404_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 3室2厅 111.2平米,3室2厅,111.2,,,26,2411元,2025-07-07,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1404253_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 3室2厅 150.3平米,3室2厅,150.3,,,27,1830元,2025-06-15,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1403742_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 2室2厅 87.04平米,2室2厅,87.04,,,21,2413元,2025-05-24,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1403500_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 2室2厅 89.47平米,2室2厅,89.47,,,24,2772元,2025-05-22,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1403504_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 3室2厅 101.33平米,3室2厅,101.33,,,34,3374元,2025-03-01,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1401912_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 2室2厅 88平米,2室2厅,88,,,24,2750元,2024-12-16,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1400973_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 3室2厅 102.12平米,3室2厅,102.12,,,32,3134元,2024-12-16,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1401017_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 2室2厅 89平米,2室2厅,89,,,19,2135元,2024-12-08,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1326976_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 5室1厅 170.27平米,5室1厅,170.27,,,40,2350元,2024-11-16,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1326191_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 3室2厅 111.42平米,3室2厅,111.42,,,19,1786元,2024-10-11,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1325068_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 5室2厅 196.79平米,5室2厅,196.79,,,30,1525元,2024-09-24,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1324691_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 3室2厅 115.08平米,3室2厅,115.08,,,28,2510元,2024-09-21,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1325038_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 3室2厅 101.33平米,3室2厅,101.33,,,36,3553元,2024-09-20,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1326716_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 2室1厅 89.57平米,2室1厅,89.57,,,23,2669元,2024-09-09,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1325760_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 4室2厅 143平米,4室2厅,143,,,40,2817元,2024-08-18,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1324631_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 3室2厅 102.35平米,3室2厅,102.35,,,28,2785元,2024-07-25,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1325834_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 3室2厅 103平米,3室2厅,103,,,28,2766元,2024-07-09,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1325672_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 2室1厅 87.5平米,2室1厅,87.5,,,25,2949元,2024-06-25,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1324990_1_2.htm
东环新城南区,芦淞区,芦淞,东环新城南区 2室2厅 87.45平米,2室2厅,87.45,,,22,2617元,2024-06-20,市场信息,https://zhuzhou.esf.fang.com/chengjiao/1325476_1_2.htm
