community,district,business_area,title,room_type,area,orientation,floor_info,total_price,unit_price,deal_date,source,url
雁城世家,蒸湘区,华新开发区,雁城世家 4室2厅 184平米,4室2厅,184,,,40,2174元,2025-11-15,市场信息,https://hengyang.esf.fang.com/chengjiao/1357215_1_2.htm
雁城世家,蒸湘区,华新开发区,雁城世家 4室2厅 180.73平米,4室2厅,180.73,,,43,2390元,2024-11-09,市场信息,https://hengyang.esf.fang.com/chengjiao/366320_1_2.htm
雁城世家,蒸湘区,华新开发区,雁城世家 4室2厅 180.72平米,4室2厅,180.72,,,54,3033元,2024-06-24,市场信息,https://hengyang.esf.fang.com/chengjiao/366336_1_2.htm
雁城世家,蒸湘区,华新开发区,雁城世家 3室2厅 158平米,3室2厅,158,,,48,3070元,2024-06-07,市场信息,https://hengyang.esf.fang.com/chengjiao/366327_1_2.htm
雅士林欣城东区,石鼓区,蒸阳北路,雅士林欣城东区 2室2厅 95.35平米,2室2厅,95.35,,,3**,3357元,2025-11-22,市场信息,https://hengyang.esf.fang.com/chengjiao/1357239_1_2.htm
雅士林欣城东区,石鼓区,蒸阳北路,雅士林欣城东区 4室2厅 151.34平米,4室2厅,151.34,,,99,6542元,2025-11-14,市场信息,https://hengyang.esf.fang.com/chengjiao/1357213_1_2.htm
雅士林欣城东区,石鼓区,蒸阳北路,雅士林欣城东区 2室2厅 79.6平米,2室2厅,79.6,,,28,3619元,2025-10-19,市场信息,https://hengyang.esf.fang.com/chengjiao/1357152_1_2.htm
雅士林欣城东区,石鼓区,蒸阳北路,雅士林欣城 37平米,,37,,,16,4373元,2025-02-17,市场信息,https://hengyang.esf.fang.com/chengjiao/1356475_1_2.htm
中建和城壹品,珠晖区,衡州大道东,中建和城壹品 4室2厅 141.5平米,4室2厅,141.5,,,6**,4550元,2025-11-18,市场信息,https://hengyang.esf.fang.com/chengjiao/1357229_1_2.htm
中建和城壹品,珠晖区,衡州大道东,中建和城壹品 4室2厅 142平米,4室2厅,142,,,68,4846元,2025-11-14,市场信息,https://hengyang.esf.fang.com/chengjiao/1357217_1_2.htm
中建和城壹品,珠晖区,衡州大道东,中建和城壹品 4室2厅 141.51平米,4室2厅,141.51,,,68,4806元,2025-10-22,市场信息,https://hengyang.esf.fang.com/chengjiao/1357159_1_2.htm
中建和城壹品,珠晖区,衡州大道东,中建和城壹品 4室2厅 142平米,4室2厅,142,,,73,5196元,2025-09-13,市场信息,https://hengyang.esf.fang.com/chengjiao/1357043_1_2.htm
中建和城壹品,珠晖区,衡州大道东,中建和城壹品 3室2厅 105.88平米,3室2厅,105.88,,,47,4439元,2025-09-07,市场信息,https://hengyang.esf.fang.com/chengjiao/1357029_1_2.htm
中建和城壹品,珠晖区,衡州大道东,中建和城壹品 3室2厅 114.81平米,3室2厅,114.81,,,52,4530元,2025-09-01,市场信息,https://hengyang.esf.fang.com/chengjiao/1357015_1_2.htm
中建和城壹品,珠晖区,衡州大道东,中建和城壹品 3室2厅 115平米,3室2厅,115,,,55,4800元,2025-07-23,市场信息,https://hengyang.esf.fang.com/chengjiao/1356900_1_2.htm
中建和城壹品,珠晖区,衡州大道东,中建和城壹品 3室1厅 117平米,3室1厅,117,,,70,5983元,2025-01-06,市场信息,https://hengyang.esf.fang.com/chengjiao/1356382_1_2.htm
中建和城壹品,珠晖区,衡州大道东,中建和城壹品 4室2厅 141平米,4室2厅,141,,,72,5107元,2024-10-01,市场信息,https://hengyang.esf.fang.com/chengjiao/366252_1_2.htm
天嘉天樾,雁峰区,湘江南路,天嘉天樾 3室2厅 98.14平米,3室2厅,98.14,,,52,5381元,2025-11-13,市场信息,https://hengyang.esf.fang.com/chengjiao/1357214_1_2.htm
