community,district,business_area,title,room_type,area,orientation,floor_info,total_price,unit_price,deal_date,source,url
湘域芯城二期,长沙县,长沙县,湘域芯城二期 4室2厅 137.13平米,4室2厅,137.13,,,97,7111元,2025-08-17,市场信息,https://cs.esf.fang.com/chengjiao/1732412_1_2.htm
湘域芯城二期,长沙县,长沙县,湘域芯城二期 3室2厅 123.35平米,3室2厅,123.35,,,92,7482元,2025-06-08,市场信息,https://cs.esf.fang.com/chengjiao/1724694_1_2.htm
湘域芯城二期,长沙县,长沙县,湘域芯城二期 4室2厅 177.28平米,4室2厅,177.28,,,260,14667元,2025-04-23,市场信息,https://cs.esf.fang.com/chengjiao/1719461_1_2.htm
星卫佳园,长沙县,开元中路,星卫佳园 3室2厅 100.73平米,3室2厅,100.73,,,59,5858元,2023-03-09,市场信息,https://cs.esf.fang.com/chengjiao/129679_1_2.htm
新城悦隽公园,长沙县,开元东路,新城悦隽公园 2室1厅 36.02平米,2室1厅,36.02,,,16,4603元,2025-09-29,市场信息,https://cs.esf.fang.com/chengjiao/1737581_1_2.htm
新城悦隽公园,长沙县,开元东路,新城悦隽公园 1室1厅 29.59平米,1室1厅,29.59,,,12,4056元,2025-09-05,市场信息,https://cs.esf.fang.com/chengjiao/1734048_1_2.htm
新城悦隽公园,长沙县,开元东路,新城悦隽公园 2室1厅 42.04平米,2室1厅,42.04,,,23,5662元,2025-07-26,市场信息,https://cs.esf.fang.com/chengjiao/1729240_1_2.htm
新城悦隽公园,长沙县,开元东路,新城悦隽公园 3室1厅 41.97平米,3室1厅,41.97,,,21,5004元,2025-07-26,市场信息,https://cs.esf.fang.com/chengjiao/1729340_1_2.htm
新城悦隽公园,长沙县,开元东路,新城悦隽公园 2室1厅 42.89平米,2室1厅,42.89,,,24,5596元,2025-07-18,市场信息,https://cs.esf.fang.com/chengjiao/1728595_1_2.htm
新城悦隽公园,长沙县,开元东路,新城悦隽公园 1室1厅 34.76平米,1室1厅,34.76,,,13,3913元,2025-06-19,市场信息,https://cs.esf.fang.com/chengjiao/1725644_1_2.htm
