community,district,business_area,title,room_type,area,orientation,floor_info,total_price,unit_price,deal_date,source,url
建元南花园,芗城区,江滨,建元南花园 29.36平米,,29.36,,,44,15259元,2025-11-11,市场信息,https://zhangzhou.esf.fang.com/chengjiao/1462269_1_2.htm
建元南花园,芗城区,江滨,建元南花园 4室1厅 133.12平米,4室1厅,133.12,,,111,8399元,2025-10-23,市场信息,https://zhangzhou.esf.fang.com/chengjiao/1461822_1_2.htm
建元南花园,芗城区,江滨,建元南花园 38.26平米,,38.26,,,52,13801元,2025-10-12,市场信息,https://zhangzhou.esf.fang.com/chengjiao/1461677_1_2.htm
建元南花园,芗城区,江滨,建元南花园 29.36平米,,29.36,,,44,15259元,2025-08-05,市场信息,https://zhangzhou.esf.fang.com/chengjiao/1460471_1_2.htm
建元南花园,芗城区,江滨,建元南花园 1室1厅 38.26平米,1室1厅,38.26,,,57,14899元,2025-07-30,市场信息,https://zhangzhou.esf.fang.com/chengjiao/1460322_1_2.htm
建元南花园,芗城区,江滨,建元南花园 4室1厅 135.36平米,4室1厅,135.36,,,148,10934元,2025-05-29,市场信息,https://zhangzhou.esf.fang.com/chengjiao/1458954_1_2.htm
建元南花园,芗城区,江滨,建元南花园 33.69平米,,33.69,,,16,4898元,2025-05-29,市场信息,https://zhangzhou.esf.fang.com/chengjiao/1459042_1_2.htm
建元南花园,芗城区,江滨,建元南花园 3室1厅 150.17平米,3室1厅,150.17,,,149,9923元,2025-05-23,市场信息,https://zhangzhou.esf.fang.com/chengjiao/1458889_1_2.htm
建元南花园,芗城区,江滨,建元南花园 3室2厅 111.39平米,3室2厅,111.39,,,129,11600元,2025-04-01,市场信息,https://zhangzhou.esf.fang.com/chengjiao/1457620_1_2.htm
建元南花园,芗城区,江滨,建元南花园 2室1厅 70.5平米,2室1厅,70.5,,,83,11844元,2025-03-29,市场信息,https://zhangzhou.esf.fang.com/chengjiao/1457622_1_2.htm
建元南花园,芗城区,江滨,建元南花园 4室2厅 187.67平米,4室2厅,187.67,,,115,6128元,2025-03-09,市场信息,https://zhangzhou.esf.fang.com/chengjiao/1456775_1_2.htm
建元南花园,芗城区,江滨,建元南花园 1室1厅 38.26平米,1室1厅,38.26,,,52,13801元,2025-02-22,市场信息,https://zhangzhou.esf.fang.com/chengjiao/1456381_1_2.htm
建元南花园,芗城区,江滨,建元南花园 3室2厅 141.03平米,3室2厅,141.03,,,142,10100元,2024-11-21,市场信息,https://zhangzhou.esf.fang.com/chengjiao/21178_1_2.htm
建元南花园,芗城区,江滨,建元南花园 1室1厅 41.75平米,1室1厅,41.75,,,62,14995元,2024-11-18,市场信息,https://zhangzhou.esf.fang.com/chengjiao/21147_1_2.htm
建元南花园,芗城区,江滨,建元南花园 3室2厅 157.73平米,3室2厅,157.73,,,118,7520元,2024-08-08,市场信息,https://zhangzhou.esf.fang.com/chengjiao/19731_1_2.htm
建元南花园,芗城区,江滨,建元南花园 2室1厅 86.71平米,2室1厅,86.71,,,76,8765元,2024-07-20,市场信息,https://zhangzhou.esf.fang.com/chengjiao/19032_1_2.htm
建元南花园,芗城区,江滨,建元南花园 29.36平米,,29.36,,,46,15838元,2024-07-12,市场信息,https://zhangzhou.esf.fang.com/chengjiao/19048_1_2.htm
建元南花园,芗城区,江滨,建元南花园 3室1厅 116.15平米,3室1厅,116.15,,,135,11623元,2024-07-10,市场信息,https://zhangzhou.esf.fang.com/chengjiao/19053_1_2.htm
建元南花园,芗城区,江滨,建元南花园 2室1厅 77平米,2室1厅,77,,,105,13637元,2024-05-15,市场信息,https://zhangzhou.esf.fang.com/chengjiao/18334_1_2.htm
建元南花园,芗城区,江滨,建元南花园 1室1厅 42平米,1室1厅,42,,,58,13950元,2024-05-05,市场信息,https://zhangzhou.esf.fang.com/chengjiao/18273_1_2.htm
建元南花园,芗城区,江滨,建元南花园 1室1厅 41.75平米,1室1厅,41.75,,,58,14036元,2024-04-03,市场信息,https://zhangzhou.esf.fang.com/chengjiao/17876_1_2.htm
建元南花园,芗城区,江滨,建元南花园 3室2厅 132.66平米,3室2厅,132.66,,,110,8292元,2024-03-26,市场信息,https://zhangzhou.esf.fang.com/chengjiao/17738_1_2.htm
建元南花园,芗城区,江滨,建元南花园 2室1厅 65.19平米,2室1厅,65.19,,,86,13193元,2024-03-26,市场信息,https://zhangzhou.esf.fang.com/chengjiao/17753_1_2.htm
